  GROUP      UPPER       LOWER         LETHARGY         DATA        DATA/LETHARGY

     1     1.9640E+07  1.7332E+07     1.2500E-01     0.0000E+00     0.0000E+00
     2     1.7332E+07  1.6905E+07     2.4998E-02     0.0000E+00     0.0000E+00
     3     1.6905E+07  1.6487E+07     2.5001E-02     0.0000E+00     0.0000E+00
     4     1.6487E+07  1.5683E+07     5.0001E-02     0.0000E+00     0.0000E+00
     5     1.5683E+07  1.4918E+07     5.0002E-02     1.1928E+08     2.3855E+09
     6     1.4918E+07  1.4550E+07     2.4998E-02     1.7608E+08     7.0438E+09
     7     1.4550E+07  1.4191E+07     2.4997E-02     6.2853E+07     2.5144E+09
     8     1.4191E+07  1.3840E+07     2.5002E-02     5.8480E+06     2.3390E+08
     9     1.3840E+07  1.3499E+07     2.4999E-02     1.6908E+06     6.7636E+07
    10     1.3499E+07  1.2840E+07     4.9997E-02     1.7753E+06     3.5508E+07
    11     1.2840E+07  1.2523E+07     2.5006E-02     6.4655E+05     2.5856E+07
    12     1.2523E+07  1.2214E+07     2.5000E-02     4.6320E+05     1.8528E+07
    13     1.2214E+07  1.1618E+07     5.0001E-02     5.7011E+05     1.1402E+07
    14     1.1618E+07  1.1052E+07     4.9997E-02     5.0139E+05     1.0028E+07
    15     1.1052E+07  1.0513E+07     5.0000E-02     4.3369E+05     8.6738E+06
    16     1.0513E+07  1.0000E+07     4.9999E-02     4.0740E+05     8.1482E+06
    17     1.0000E+07  9.5123E+06     5.0000E-02     4.1138E+05     8.2275E+06
    18     9.5123E+06  9.0484E+06     5.0000E-02     4.0775E+05     8.1550E+06
    19     9.0484E+06  8.6071E+06     5.0000E-02     3.9009E+05     7.8019E+06
    20     8.6071E+06  8.1873E+06     5.0000E-02     4.2391E+05     8.4782E+06
    21     8.1873E+06  7.7880E+06     5.0000E-02     4.3776E+05     8.7552E+06
    22     7.7880E+06  7.4082E+06     5.0001E-02     4.6747E+05     9.3493E+06
    23     7.4082E+06  7.0469E+06     5.0000E-02     4.8909E+05     9.7818E+06
    24     7.0469E+06  6.7032E+06     5.0000E-02     4.9538E+05     9.9076E+06
    25     6.7032E+06  6.5924E+06     1.6666E-02     1.6593E+05     9.9562E+06
    26     6.5924E+06  6.3763E+06     3.3334E-02     3.3064E+05     9.9190E+06
    27     6.3763E+06  6.0653E+06     4.9999E-02     4.8575E+05     9.7152E+06
    28     6.0653E+06  5.7695E+06     5.0000E-02     4.9383E+05     9.8766E+06
    29     5.7695E+06  5.4881E+06     5.0000E-02     4.8773E+05     9.7547E+06
    30     5.4881E+06  5.2205E+06     5.0000E-02     4.6773E+05     9.3546E+06
    31     5.2205E+06  4.9658E+06     5.0001E-02     4.6689E+05     9.3376E+06
    32     4.9658E+06  4.7237E+06     4.9998E-02     4.7122E+05     9.4247E+06
    33     4.7237E+06  4.4933E+06     5.0001E-02     4.7231E+05     9.4460E+06
    34     4.4933E+06  4.0657E+06     9.9999E-02     9.7966E+05     9.7967E+06
    35     4.0657E+06  3.6788E+06     1.0000E-01     1.0084E+06     1.0084E+07
    36     3.6788E+06  3.3287E+06     9.9999E-02     1.0309E+06     1.0309E+07
    37     3.3287E+06  3.1664E+06     4.9999E-02     5.3031E+05     1.0606E+07
    38     3.1664E+06  3.0119E+06     5.0001E-02     5.3848E+05     1.0769E+07
    39     3.0119E+06  2.8650E+06     4.9999E-02     5.5074E+05     1.1015E+07
    40     2.8650E+06  2.7253E+06     5.0000E-02     5.5215E+05     1.1043E+07
    41     2.7253E+06  2.5924E+06     5.0002E-02     5.4645E+05     1.0929E+07
    42     2.5924E+06  2.4660E+06     4.9999E-02     5.5819E+05     1.1164E+07
    43     2.4660E+06  2.3851E+06     3.3332E-02     3.7582E+05     1.1275E+07
    44     2.3851E+06  2.3653E+06     8.3361E-03     5.7623E+05     6.9125E+07
    45     2.3653E+06  2.3457E+06     8.3337E-03     5.7569E+05     6.9080E+07
    46     2.3457E+06  2.3069E+06     1.6666E-02     6.7050E+05     4.0231E+07
    47     2.3069E+06  2.2313E+06     3.3333E-02     3.7966E+05     1.1390E+07
    48     2.2313E+06  2.1225E+06     4.9999E-02     5.7469E+05     1.1494E+07
    49     2.1225E+06  2.0190E+06     4.9998E-02     5.7558E+05     1.1512E+07
    50     2.0190E+06  1.9205E+06     5.0002E-02     5.7653E+05     1.1530E+07
    51     1.9205E+06  1.8268E+06     4.9998E-02     5.7568E+05     1.1514E+07
    52     1.8268E+06  1.7377E+06     5.0002E-02     5.7485E+05     1.1496E+07
    53     1.7377E+06  1.6530E+06     5.0000E-02     5.7192E+05     1.1438E+07
    54     1.6530E+06  1.5724E+06     5.0002E-02     5.6916E+05     1.1383E+07
    55     1.5724E+06  1.4957E+06     4.9996E-02     5.6636E+05     1.1328E+07
    56     1.4957E+06  1.4227E+06     5.0003E-02     1.3397E+06     2.6792E+07
    57     1.4227E+06  1.3534E+06     5.0002E-02     5.5874E+05     1.1174E+07
    58     1.3534E+06  1.2874E+06     4.9997E-02     5.5649E+05     1.1130E+07
    59     1.2874E+06  1.2246E+06     5.0004E-02     1.4265E+06     2.8528E+07
    60     1.2246E+06  1.1648E+06     4.9998E-02     5.4122E+05     1.0825E+07
    61     1.1648E+06  1.1080E+06     5.0000E-02     1.4528E+06     2.9056E+07
    62     1.1080E+06  1.0026E+06     9.9997E-02     1.0168E+06     1.0168E+07
    63     1.0026E+06  9.6167E+05     4.1668E-02     4.1081E+05     9.8590E+06
    64     9.6167E+05  9.0718E+05     5.8333E-02     5.6528E+05     9.6906E+06
    65     9.0718E+05  8.6294E+05     5.0000E-02     4.7650E+05     9.5299E+06
    66     8.6294E+05  8.2085E+05     5.0000E-02     4.6635E+05     9.3270E+06
    67     8.2085E+05  7.8082E+05     5.0000E-02     4.4994E+05     8.9989E+06
    68     7.8082E+05  7.4274E+05     5.0000E-02     4.3135E+05     8.6270E+06
    69     7.4274E+05  7.0651E+05     5.0000E-02     4.1329E+05     8.2657E+06
    70     7.0651E+05  6.7206E+05     5.0000E-02     3.9456E+05     7.8912E+06
    71     6.7206E+05  6.3928E+05     4.9999E-02     3.7521E+05     7.5043E+06
    72     6.3928E+05  6.0810E+05     5.0000E-02     3.5626E+05     7.1252E+06
    73     6.0810E+05  5.7844E+05     5.0001E-02     3.3835E+05     6.7669E+06
    74     5.7844E+05  5.5023E+05     5.0000E-02     3.2184E+05     6.4368E+06
    75     5.5023E+05  5.2340E+05     5.0000E-02     3.0724E+05     6.1448E+06
