  GROUP      UPPER       LOWER         LETHARGY         DATA        DATA/LETHARGY

     1     2.0000E+07  1.9950E+07     2.5031E-03     0.0000E+00     0.0000E+00
     2     1.9950E+07  1.9050E+07     4.6162E-02     0.0000E+00     0.0000E+00
     3     1.9050E+07  1.8200E+07     4.5646E-02     0.0000E+00     0.0000E+00
     4     1.8200E+07  1.7380E+07     4.6101E-02     0.0000E+00     0.0000E+00
     5     1.7380E+07  1.6600E+07     4.5917E-02     0.0000E+00     0.0000E+00
     6     1.6600E+07  1.5850E+07     4.6233E-02     0.0000E+00     0.0000E+00
     7     1.5850E+07  1.5140E+07     4.5829E-02     3.4100E-06     7.4407E-05
     8     1.5140E+07  1.4450E+07     4.6646E-02     1.1420E-05     2.4482E-04
     9     1.4450E+07  1.3800E+07     4.6026E-02     1.6620E-05     3.6110E-04
    10     1.3800E+07  1.3180E+07     4.5968E-02     2.8240E-05     6.1434E-04
    11     1.3180E+07  1.2590E+07     4.5798E-02     1.5800E-05     3.4500E-04
    12     1.2590E+07  1.2020E+07     4.6331E-02     1.2400E-05     2.6764E-04
    13     1.2020E+07  1.1480E+07     4.5966E-02     6.6980E-05     1.4572E-03
    14     1.1480E+07  1.0960E+07     4.6354E-02     9.0180E-05     1.9455E-03
    15     1.0960E+07  1.0470E+07     4.5738E-02     8.4920E-05     1.8567E-03
    16     1.0470E+07  1.0000E+07     4.5929E-02     1.1560E-04     2.5169E-03
    17     1.0000E+07  9.5500E+06     4.6044E-02     1.8370E-04     3.9897E-03
    18     9.5500E+06  9.1200E+06     4.6071E-02     2.7240E-04     5.9126E-03
    19     9.1200E+06  8.7100E+06     4.5998E-02     3.9070E-04     8.4938E-03
    20     8.7100E+06  8.3180E+06     4.6050E-02     3.4350E-04     7.4593E-03
    21     8.3180E+06  7.9430E+06     4.6131E-02     3.8920E-04     8.4369E-03
    22     7.9430E+06  7.5860E+06     4.5987E-02     5.5280E-04     1.2021E-02
    23     7.5860E+06  7.2440E+06     4.6131E-02     7.1290E-04     1.5454E-02
    24     7.2440E+06  6.9180E+06     4.6047E-02     8.7250E-04     1.8948E-02
    25     6.9180E+06  6.6070E+06     4.5997E-02     9.4020E-04     2.0440E-02
    26     6.6070E+06  6.3100E+06     4.5994E-02     1.2730E-03     2.7678E-02
    27     6.3100E+06  6.0260E+06     4.6052E-02     1.3290E-03     2.8859E-02
    28     6.0260E+06  5.7540E+06     4.6188E-02     1.6150E-03     3.4966E-02
    29     5.7540E+06  5.4950E+06     4.6057E-02     2.0190E-03     4.3837E-02
    30     5.4950E+06  5.2480E+06     4.5992E-02     2.1640E-03     4.7052E-02
    31     5.2480E+06  5.0120E+06     4.6012E-02     2.5580E-03     5.5594E-02
    32     5.0120E+06  4.7860E+06     4.6140E-02     2.4750E-03     5.3641E-02
    33     4.7860E+06  4.5710E+06     4.5963E-02     2.7010E-03     5.8765E-02
    34     4.5710E+06  4.3650E+06     4.6114E-02     3.0470E-03     6.6076E-02
    35     4.3650E+06  4.1690E+06     4.5942E-02     3.3270E-03     7.2417E-02
    36     4.1690E+06  3.9810E+06     4.6143E-02     3.5750E-03     7.7476E-02
    37     3.9810E+06  3.8020E+06     4.6006E-02     3.5530E-03     7.7229E-02
    38     3.8020E+06  3.6310E+06     4.6019E-02     3.9610E-03     8.6073E-02
    39     3.6310E+06  3.4670E+06     4.6218E-02     4.1950E-03     9.0765E-02
    40     3.4670E+06  3.3110E+06     4.6039E-02     4.4380E-03     9.6396E-02
    41     3.3110E+06  3.1620E+06     4.6046E-02     5.2850E-03     1.1478E-01
    42     3.1620E+06  3.0200E+06     4.5948E-02     5.6420E-03     1.2279E-01
    43     3.0200E+06  2.8840E+06     4.6079E-02     5.9360E-03     1.2882E-01
    44     2.8840E+06  2.7540E+06     4.6124E-02     6.2270E-03     1.3501E-01
    45     2.7540E+06  2.6300E+06     4.6071E-02     6.4650E-03     1.4033E-01
    46     2.6300E+06  2.5120E+06     4.5905E-02     7.4640E-03     1.6260E-01
    47     2.5120E+06  2.3990E+06     4.6027E-02     7.1610E-03     1.5558E-01
    48     2.3990E+06  2.2910E+06     4.6064E-02     6.9530E-03     1.5094E-01
    49     2.2910E+06  2.1880E+06     4.6001E-02     6.4350E-03     1.3989E-01
    50     2.1880E+06  2.0890E+06     4.6302E-02     6.8240E-03     1.4738E-01
    51     2.0890E+06  1.9950E+06     4.6041E-02     6.6910E-03     1.4533E-01
    52     1.9950E+06  1.9050E+06     4.6162E-02     7.2370E-03     1.5677E-01
    53     1.9050E+06  1.8200E+06     4.5646E-02     6.8910E-03     1.5097E-01
    54     1.8200E+06  1.7380E+06     4.6101E-02     6.9720E-03     1.5123E-01
    55     1.7380E+06  1.6600E+06     4.5917E-02     7.1250E-03     1.5517E-01
    56     1.6600E+06  1.5850E+06     4.6233E-02     7.0080E-03     1.5158E-01
    57     1.5850E+06  1.5140E+06     4.5829E-02     7.3270E-03     1.5988E-01
    58     1.5140E+06  1.4450E+06     4.6646E-02     7.3250E-03     1.5703E-01
    59     1.4450E+06  1.3800E+06     4.6026E-02     7.1440E-03     1.5522E-01
    60     1.3800E+06  1.3180E+06     4.5968E-02     7.0620E-03     1.5363E-01
    61     1.3180E+06  1.2590E+06     4.5798E-02     7.0280E-03     1.5346E-01
    62     1.2590E+06  1.2020E+06     4.6331E-02     6.4540E-03     1.3930E-01
    63     1.2020E+06  1.1480E+06     4.5966E-02     6.4540E-03     1.4041E-01
    64     1.1480E+06  1.0960E+06     4.6354E-02     6.7830E-03     1.4633E-01
    65     1.0960E+06  1.0470E+06     4.5738E-02     6.7840E-03     1.4832E-01
    66     1.0470E+06  1.0000E+06     4.5929E-02     5.7990E-03     1.2626E-01
    67     1.0000E+06  9.5500E+05     4.6044E-02     6.3860E-03     1.3869E-01
    68     9.5500E+05  9.1200E+05     4.6071E-02     6.2750E-03     1.3620E-01
    69     9.1200E+05  8.7100E+05     4.5998E-02     6.1840E-03     1.3444E-01
    70     8.7100E+05  8.3180E+05     4.6050E-02     6.4960E-03     1.4106E-01
    71     8.3180E+05  7.9430E+05     4.6131E-02     6.5340E-03     1.4164E-01
    72     7.9430E+05  7.5860E+05     4.5987E-02     7.7370E-03     1.6824E-01
    73     7.5860E+05  7.2440E+05     4.6131E-02     7.4760E-03     1.6206E-01
    74     7.2440E+05  6.9180E+05     4.6047E-02     6.5900E-03     1.4312E-01
    75     6.9180E+05  6.6070E+05     4.5997E-02     5.7270E-03     1.2451E-01
    76     6.6070E+05  6.3100E+05     4.5994E-02     6.4420E-03     1.4006E-01
    77     6.3100E+05  6.0260E+05     4.6052E-02     5.6960E-03     1.2369E-01
    78     6.0260E+05  5.7540E+05     4.6188E-02     5.5690E-03     1.2057E-01
    79     5.7540E+05  5.4950E+05     4.6057E-02     5.1660E-03     1.1217E-01
    80     5.4950E+05  5.2480E+05     4.5992E-02     5.6210E-03     1.2222E-01
    81     5.2480E+05  5.0120E+05     4.6012E-02     5.3120E-03     1.1545E-01
    82     5.0120E+05  4.7860E+05     4.6140E-02     4.6850E-03     1.0154E-01
    83     4.7860E+05  4.5710E+05     4.5963E-02     3.9460E-03     8.5852E-02
    84     4.5710E+05  4.3650E+05     4.6114E-02     3.7350E-03     8.0995E-02
    85     4.3650E+05  4.1690E+05     4.5942E-02     3.9490E-03     8.5956E-02
    86     4.1690E+05  3.9810E+05     4.6143E-02     4.5210E-03     9.7978E-02
    87     3.9810E+05  3.8020E+05     4.6006E-02     3.4020E-03     7.3947E-02
    88     3.8020E+05  3.6310E+05     4.6019E-02     4.5490E-03     9.8850E-02
    89     3.6310E+05  3.4670E+05     4.6218E-02     4.6340E-03     1.0026E-01
    90     3.4670E+05  3.3110E+05     4.6039E-02     4.3190E-03     9.3811E-02
    91     3.3110E+05  3.1620E+05     4.6046E-02     3.7940E-03     8.2397E-02
    92     3.1620E+05  3.0200E+05     4.5948E-02     3.1770E-03     6.9144E-02
    93     3.0200E+05  2.8840E+05     4.6079E-02     3.9680E-03     8.6114E-02
    94     2.8840E+05  2.7540E+05     4.6124E-02     5.2030E-03     1.1281E-01
    95     2.7540E+05  2.6300E+05     4.6071E-02     4.6230E-03     1.0035E-01
    96     2.6300E+05  2.5120E+05     4.5905E-02     4.0070E-03     8.7290E-02
    97     2.5120E+05  2.3990E+05     4.6027E-02     3.8100E-03     8.2777E-02
    98     2.3990E+05  2.2910E+05     4.6064E-02     3.2140E-03     6.9773E-02
    99     2.2910E+05  2.1880E+05     4.6001E-02     2.9870E-03     6.4934E-02
   100     2.1880E+05  2.0890E+05     4.6302E-02     2.7090E-03     5.8507E-02
   101     2.0890E+05  1.9950E+05     4.6041E-02     3.8710E-03     8.4076E-02
   102     1.9950E+05  1.9050E+05     4.6162E-02     3.7980E-03     8.2275E-02
   103     1.9050E+05  1.8200E+05     4.5646E-02     3.2510E-03     7.1223E-02
   104     1.8200E+05  1.7380E+05     4.6101E-02     2.7350E-03     5.9326E-02
   105     1.7380E+05  1.6600E+05     4.5917E-02     2.3110E-03     5.0329E-02
   106     1.6600E+05  1.5850E+05     4.6233E-02     1.9020E-03     4.1139E-02
   107     1.5850E+05  1.5140E+05     4.5829E-02     2.0030E-03     4.3706E-02
   108     1.5140E+05  1.4450E+05     4.6646E-02     2.8530E-03     6.1163E-02
   109     1.4450E+05  1.3800E+05     4.6026E-02     3.9300E-03     8.5387E-02
   110     1.3800E+05  1.3180E+05     4.5968E-02     4.2540E-03     9.2543E-02
   111     1.3180E+05  1.2590E+05     4.5798E-02     3.3600E-03     7.3366E-02
   112     1.2590E+05  1.2020E+05     4.6331E-02     2.2470E-03     4.8499E-02
   113     1.2020E+05  1.1480E+05     4.5966E-02     2.8440E-03     6.1872E-02
   114     1.1480E+05  1.0960E+05     4.6354E-02     2.8270E-03     6.0987E-02
   115     1.0960E+05  1.0470E+05     4.5738E-02     2.3550E-03     5.1489E-02
   116     1.0470E+05  1.0000E+05     4.5929E-02     1.8460E-03     4.0193E-02
   117     1.0000E+05  9.5500E+04     4.6044E-02     1.4660E-03     3.1839E-02
   118     9.5500E+04  9.1200E+04     4.6071E-02     1.1960E-03     2.5960E-02
   119     9.1200E+04  8.7100E+04     4.5998E-02     1.6720E-03     3.6349E-02
   120     8.7100E+04  8.3180E+04     4.6050E-02     2.5790E-03     5.6004E-02
   121     8.3180E+04  7.9430E+04     4.6131E-02     3.5030E-03     7.5936E-02
   122     7.9430E+04  7.5860E+04     4.5987E-02     3.6940E-03     8.0328E-02
   123     7.5860E+04  7.2440E+04     4.6131E-02     3.2490E-03     7.0430E-02
   124     7.2440E+04  6.9180E+04     4.6047E-02     2.9070E-03     6.3131E-02
   125     6.9180E+04  6.6070E+04     4.5997E-02     2.4780E-03     5.3873E-02
   126     6.6070E+04  6.3100E+04     4.5994E-02     2.3210E-03     5.0463E-02
   127     6.3100E+04  6.0260E+04     4.6052E-02     2.1830E-03     4.7403E-02
