  GROUP      UPPER       LOWER         LETHARGY         DATA        DATA/LETHARGY

     1     1.1798E+05  1.1276E+05     4.5237E-02     4.0000E-01     8.8423E+00
     2     1.1276E+05  1.0794E+05     4.3668E-02     1.9800E+00     4.5342E+01
     3     1.0794E+05  1.0342E+05     4.2729E-02     5.7200E+00     1.3387E+02
     4     1.0342E+05  9.7832E+04     5.5595E-02     1.5600E+01     2.8060E+02
     5     9.7832E+04  9.2680E+04     5.4099E-02     2.5300E+01     4.6766E+02
     6     9.2680E+04  8.7926E+04     5.2657E-02     3.5600E+01     6.7607E+02
     7     8.7926E+04  8.3572E+04     5.0787E-02     4.5200E+01     8.8999E+02
     8     8.3572E+04  7.8479E+04     6.2877E-02     6.2400E+01     9.9241E+02
     9     7.8479E+04  7.3002E+04     7.2344E-02     8.1000E+01     1.1196E+03
    10     7.3002E+04  6.8080E+04     6.9803E-02     8.7600E+01     1.2550E+03
    11     6.8080E+04  6.2941E+04     7.8486E-02     1.0260E+02     1.3072E+03
    12     6.2941E+04  5.8363E+04     7.5516E-02     1.0680E+02     1.4143E+03
    13     5.8363E+04  5.3175E+04     9.3094E-02     1.2310E+02     1.3223E+03
    14     5.3175E+04  4.8183E+04     9.8582E-02     1.4530E+02     1.4739E+03
    15     4.8183E+04  4.3068E+04     1.1223E-01     1.5500E+02     1.3811E+03
    16     4.3068E+04  3.8067E+04     1.2343E-01     1.5900E+02     1.2882E+03
    17     3.8067E+04  3.3083E+04     1.4033E-01     1.6380E+02     1.1673E+03
    18     3.3083E+04  2.7964E+04     1.6810E-01     1.7840E+02     1.0613E+03
    19     2.7964E+04  2.3002E+04     1.9534E-01     1.6600E+02     8.4981E+02
    20     2.3002E+04  1.8026E+04     2.4377E-01     1.5640E+02     6.4160E+02
    21     1.8026E+04  1.3023E+04     3.2510E-01     1.3890E+02     4.2726E+02
    22     1.3023E+04  8.0100E+03     4.8603E-01     1.1830E+02     2.4340E+02
    23     8.0100E+03  7.5000E+03     6.5788E-02     8.9500E+01     1.3604E+03
    24     7.5000E+03  6.5000E+03     1.4310E-01     8.2300E+01     5.7512E+02
    25     6.5000E+03  5.5000E+03     1.6705E-01     8.3700E+01     5.0104E+02
    26     5.5000E+03  4.5000E+03     2.0067E-01     7.5000E+01     3.7375E+02
    27     4.5000E+03  3.5000E+03     2.5131E-01     6.7000E+01     2.6660E+02
    28     3.5000E+03  2.5000E+03     3.3647E-01     5.7000E+01     1.6940E+02
    29     2.5000E+03  1.5000E+03     5.1083E-01     4.4000E+01     8.6135E+01
    30     1.5000E+03  5.0000E+02     1.0986E+00     3.0000E+01     2.7307E+01
  TOTAL                                              2.6029E+03
