  GROUP      UPPER       LOWER         LETHARGY         DATA        DATA/LETHARGY

     1     2.0000E+07  1.9953E+07     2.3528E-03     0.0000E+00     0.0000E+00
     2     1.9953E+07  1.9055E+07     4.6050E-02     1.1532E-03     2.5042E-02
     3     1.9055E+07  1.8197E+07     4.6073E-02     2.4817E-03     5.3865E-02
     4     1.8197E+07  1.7378E+07     4.6052E-02     4.5212E-03     9.8177E-02
     5     1.7378E+07  1.6596E+07     4.6043E-02     7.8118E-03     1.6966E-01
     6     1.6596E+07  1.5849E+07     4.6055E-02     1.3187E-02     2.8633E-01
     7     1.5849E+07  1.5136E+07     4.6030E-02     2.3255E-02     5.0521E-01
     8     1.5136E+07  1.4454E+07     4.6105E-02     3.7626E-02     8.1610E-01
     9     1.4454E+07  1.3804E+07     4.6013E-02     5.7835E-02     1.2569E+00
    10     1.3804E+07  1.3183E+07     4.6030E-02     9.4045E-02     2.0431E+00
    11     1.3183E+07  1.2589E+07     4.6105E-02     1.4037E-01     3.0446E+00
    12     1.2589E+07  1.2023E+07     4.6002E-02     2.1292E-01     4.6285E+00
    13     1.2023E+07  1.1482E+07     4.6041E-02     3.1073E-01     6.7490E+00
    14     1.1482E+07  1.0965E+07     4.6072E-02     4.4319E-01     9.6195E+00
    15     1.0965E+07  1.0471E+07     4.6099E-02     6.2862E-01     1.3636E+01
    16     1.0471E+07  1.0000E+07     4.6024E-02     8.5978E-01     1.8681E+01
    17     1.0000E+07  9.5499E+06     4.6054E-02     1.1318E+00     2.4575E+01
    18     9.5499E+06  9.1201E+06     4.6050E-02     1.5061E+00     3.2706E+01
    19     9.1201E+06  8.7096E+06     4.6055E-02     1.9726E+00     4.2831E+01
    20     8.7096E+06  8.3176E+06     4.6052E-02     2.5627E+00     5.5648E+01
    21     8.3176E+06  7.9433E+06     4.6045E-02     3.2315E+00     7.0181E+01
    22     7.9433E+06  7.5858E+06     4.6051E-02     4.0432E+00     8.7799E+01
    23     7.5858E+06  7.2444E+06     4.6049E-02     4.9879E+00     1.0832E+02
    24     7.2444E+06  6.9183E+06     4.6059E-02     6.1254E+00     1.3299E+02
    25     6.9183E+06  6.6069E+06     4.6056E-02     7.4786E+00     1.6238E+02
    26     6.6069E+06  6.3096E+06     4.6042E-02     8.9782E+00     1.9500E+02
    27     6.3096E+06  6.0256E+06     4.6055E-02     1.0526E+01     2.2855E+02
    28     6.0256E+06  5.7544E+06     4.6052E-02     1.2041E+01     2.6146E+02
    29     5.7544E+06  5.4954E+06     4.6053E-02     1.3569E+01     2.9464E+02
    30     5.4954E+06  5.2481E+06     4.6045E-02     1.5128E+01     3.2855E+02
    31     5.2481E+06  5.0119E+06     4.6051E-02     1.6809E+01     3.6501E+02
    32     5.0119E+06  4.7863E+06     4.6057E-02     1.8552E+01     4.0280E+02
    33     4.7863E+06  4.5709E+06     4.6048E-02     2.0321E+01     4.4130E+02
    34     4.5709E+06  4.3652E+06     4.6046E-02     2.2149E+01     4.8102E+02
    35     4.3652E+06  4.1687E+06     4.6060E-02     2.3993E+01     5.2091E+02
    36     4.1687E+06  3.9811E+06     4.6046E-02     2.5819E+01     5.6072E+02
    37     3.9811E+06  3.8019E+06     4.6057E-02     2.7601E+01     5.9928E+02
    38     3.8019E+06  3.6308E+06     4.6048E-02     2.9303E+01     6.3636E+02
    39     3.6308E+06  3.4674E+06     4.6048E-02     3.0956E+01     6.7226E+02
    40     3.4674E+06  3.3113E+06     4.6064E-02     3.2548E+01     7.0658E+02
    41     3.3113E+06  3.1623E+06     4.6041E-02     3.4113E+01     7.4092E+02
    42     3.1623E+06  3.0200E+06     4.6043E-02     3.5600E+01     7.7319E+02
    43     3.0200E+06  2.8840E+06     4.6079E-02     3.6867E+01     8.0009E+02
    44     2.8840E+06  2.7542E+06     4.6051E-02     3.7955E+01     8.2419E+02
    45     2.7542E+06  2.6303E+06     4.6029E-02     3.8978E+01     8.4681E+02
    46     2.6303E+06  2.5119E+06     4.6058E-02     3.9928E+01     8.6690E+02
    47     2.5119E+06  2.3988E+06     4.6071E-02     4.0800E+01     8.8559E+02
    48     2.3988E+06  2.2909E+06     4.6024E-02     4.1573E+01     9.0329E+02
    49     2.2909E+06  2.1878E+06     4.6048E-02     4.2462E+01     9.2212E+02
    50     2.1878E+06  2.0893E+06     4.6067E-02     4.3359E+01     9.4121E+02
    51     2.0893E+06  1.9953E+06     4.6035E-02     4.4168E+01     9.5945E+02
    52     1.9953E+06  1.9055E+06     4.6050E-02     4.5010E+01     9.7742E+02
    53     1.9055E+06  1.8197E+06     4.6073E-02     4.6126E+01     1.0012E+03
    54     1.8197E+06  1.7378E+06     4.6052E-02     4.7561E+01     1.0328E+03
    55     1.7378E+06  1.6596E+06     4.6043E-02     4.8555E+01     1.0546E+03
    56     1.6596E+06  1.5849E+06     4.6055E-02     4.9500E+01     1.0748E+03
    57     1.5849E+06  1.5136E+06     4.6030E-02     5.0506E+01     1.0972E+03
    58     1.5136E+06  1.4454E+06     4.6105E-02     5.2138E+01     1.1309E+03
    59     1.4454E+06  1.3804E+06     4.6013E-02     5.4928E+01     1.1938E+03
    60     1.3804E+06  1.3183E+06     4.6030E-02     5.9367E+01     1.2897E+03
    61     1.3183E+06  1.2589E+06     4.6105E-02     6.4196E+01     1.3924E+03
    62     1.2589E+06  1.2023E+06     4.6002E-02     6.8078E+01     1.4799E+03
    63     1.2023E+06  1.1482E+06     4.6041E-02     7.2053E+01     1.5650E+03
    64     1.1482E+06  1.0965E+06     4.6072E-02     7.6695E+01     1.6647E+03
    65     1.0965E+06  1.0471E+06     4.6099E-02     8.3082E+01     1.8023E+03
    66     1.0471E+06  1.0000E+06     4.6024E-02     9.1429E+01     1.9865E+03
    67     1.0000E+06  9.5499E+05     4.6054E-02     1.0089E+02     2.1907E+03
    68     9.5499E+05  9.1201E+05     4.6050E-02     1.1117E+02     2.4141E+03
    69     9.1201E+05  8.7096E+05     4.6055E-02     1.1874E+02     2.5782E+03
    70     8.7096E+05  8.3176E+05     4.6052E-02     1.2758E+02     2.7703E+03
    71     8.3176E+05  7.9433E+05     4.6045E-02     1.3684E+02     2.9719E+03
    72     7.9433E+05  7.5858E+05     4.6051E-02     1.4587E+02     3.1676E+03
    73     7.5858E+05  7.2444E+05     4.6049E-02     1.5631E+02     3.3944E+03
    74     7.2444E+05  6.9183E+05     4.6059E-02     1.6834E+02     3.6549E+03
    75     6.9183E+05  6.6069E+05     4.6056E-02     1.8162E+02     3.9435E+03
    76     6.6069E+05  6.3096E+05     4.6042E-02     1.9443E+02     4.2229E+03
    77     6.3096E+05  6.0256E+05     4.6055E-02     2.0541E+02     4.4601E+03
    78     6.0256E+05  5.7544E+05     4.6052E-02     2.1488E+02     4.6660E+03
    79     5.7544E+05  5.4954E+05     4.6053E-02     2.2384E+02     4.8604E+03
    80     5.4954E+05  5.2481E+05     4.6045E-02     2.3271E+02     5.0539E+03
    81     5.2481E+05  5.0119E+05     4.6051E-02     2.3963E+02     5.2036E+03
    82     5.0119E+05  4.7863E+05     4.6057E-02     2.4599E+02     5.3409E+03
    83     4.7863E+05  4.5709E+05     4.6048E-02     2.5105E+02     5.4520E+03
    84     4.5709E+05  4.3652E+05     4.6046E-02     2.5612E+02     5.5622E+03
    85     4.3652E+05  4.1687E+05     4.6060E-02     2.6000E+02     5.6448E+03
    86     4.1687E+05  3.9811E+05     4.6046E-02     2.6287E+02     5.7088E+03
    87     3.9811E+05  3.8019E+05     4.6057E-02     2.6548E+02     5.7641E+03
    88     3.8019E+05  3.6308E+05     4.6048E-02     2.6689E+02     5.7959E+03
    89     3.6308E+05  3.4674E+05     4.6048E-02     2.6823E+02     5.8250E+03
    90     3.4674E+05  3.3113E+05     4.6064E-02     2.6884E+02     5.8362E+03
    91     3.3113E+05  3.1623E+05     4.6041E-02     2.6828E+02     5.8269E+03
    92     3.1623E+05  3.0200E+05     4.6043E-02     2.6716E+02     5.8024E+03
    93     3.0200E+05  2.8840E+05     4.6079E-02     2.6593E+02     5.7712E+03
    94     2.8840E+05  2.7542E+05     4.6051E-02     2.6375E+02     5.7273E+03
    95     2.7542E+05  2.6303E+05     4.6029E-02     2.6088E+02     5.6677E+03
    96     2.6303E+05  2.5119E+05     4.6058E-02     2.5830E+02     5.6081E+03
    97     2.5119E+05  2.3988E+05     4.6071E-02     2.5626E+02     5.5623E+03
    98     2.3988E+05  2.2909E+05     4.6024E-02     2.5443E+02     5.5282E+03
    99     2.2909E+05  2.1878E+05     4.6048E-02     2.5249E+02     5.4832E+03
   100     2.1878E+05  2.0893E+05     4.6067E-02     2.5094E+02     5.4472E+03
   101     2.0893E+05  1.9953E+05     4.6035E-02     2.5031E+02     5.4374E+03
   102     1.9953E+05  1.9055E+05     4.6050E-02     2.4976E+02     5.4237E+03
   103     1.9055E+05  1.8197E+05     4.6073E-02     2.4889E+02     5.4021E+03
   104     1.8197E+05  1.7378E+05     4.6052E-02     2.4767E+02     5.3781E+03
   105     1.7378E+05  1.6596E+05     4.6043E-02     2.4620E+02     5.3471E+03
   106     1.6596E+05  1.5849E+05     4.6055E-02     2.4331E+02     5.2830E+03
