  GROUP      UPPER       LOWER         LETHARGY         DATA        DATA/LETHARGY
    74     4.0169E+01  3.7266E+01     7.5014E-02     1.2491E+12     1.6652E+13
    75     3.7266E+01  3.3720E+01     9.9990E-02     2.0096E+12     2.0098E+13
    76     3.3720E+01  3.0511E+01     1.0000E-01     1.8523E+12     1.8523E+13
    77     3.0511E+01  2.7608E+01     9.9982E-02     1.7144E+12     1.7147E+13
    78     2.7608E+01  2.4981E+01     9.9990E-02     8.2406E+11     8.2414E+12
    79     2.4981E+01  2.2603E+01     1.0003E-01     1.3833E+12     1.3828E+13
    80     2.2603E+01  1.9455E+01     1.4998E-01     6.6104E+11     4.4076E+12
    81     1.9455E+01  1.5928E+01     2.0003E-01     7.9948E+11     3.9969E+12
    82     1.5928E+01  1.3710E+01     1.4995E-01     2.2748E+12     1.5170E+13
    83     1.3710E+01  1.1225E+01     1.9998E-01     3.3551E+12     1.6777E+13
    84     1.1225E+01  9.9056E+00     1.2504E-01     2.5007E+12     1.9998E+13
    85     9.9056E+00  9.1898E+00     7.5006E-02     1.2560E+12     1.6745E+13
    86     9.1898E+00  8.3153E+00     9.9997E-02     1.7344E+12     1.7345E+13
    87     8.3153E+00  7.5240E+00     9.9999E-02     8.4080E+11     8.4081E+12
    88     7.5240E+00  6.1601E+00     2.0000E-01     2.6034E+12     1.3017E+13
    89     6.1601E+00  5.3464E+00     1.4167E-01     2.4947E+12     1.7609E+13
    90     5.3464E+00  5.0435E+00     5.8323E-02     8.3179E+11     1.4262E+13
    91     5.0435E+00  4.1293E+00     1.9999E-01     2.5831E+12     1.2916E+13
    92     4.1293E+00  4.0000E+00     3.1814E-02     4.9630E+10     1.5600E+12
    93     4.0000E+00  3.3808E+00     1.6818E-01     2.2095E+12     1.3138E+13
    94     3.3808E+00  3.3000E+00     2.4190E-02     3.7075E+11     1.5327E+13
    95     3.3000E+00  2.7679E+00     1.7583E-01     3.2100E+12     1.8256E+13
    96     2.7679E+00  2.7200E+00     1.7457E-02     3.2820E+11     1.8800E+13
    97     2.7200E+00  2.6000E+00     4.5120E-02     7.9184E+11     1.7550E+13
    98     2.6000E+00  2.5500E+00     1.9418E-02     3.5606E+11     1.8336E+13
    99     2.5500E+00  2.3600E+00     7.7432E-02     1.2635E+12     1.6318E+13
   100     2.3600E+00  2.1300E+00     1.0254E-01     1.7993E+12     1.7547E+13
   101     2.1300E+00  2.1000E+00     1.4185E-02     2.8163E+11     1.9855E+13
   102     2.1000E+00  2.0200E+00     3.8840E-02     6.5050E+11     1.6748E+13
   103     2.0200E+00  1.9300E+00     4.5578E-02     6.6064E+11     1.4495E+13
   104     1.9300E+00  1.8400E+00     4.7754E-02     9.3897E+11     1.9662E+13
   105     1.8400E+00  1.7550E+00     4.7297E-02     9.1540E+11     1.9354E+13
   106     1.7550E+00  1.6700E+00     4.9645E-02     7.1051E+11     1.4312E+13
   107     1.6700E+00  1.5900E+00     4.9090E-02     9.0573E+11     1.8450E+13
   108     1.5900E+00  1.5000E+00     5.8269E-02     9.8042E+11     1.6826E+13
   109     1.5000E+00  1.4750E+00     1.6807E-02     4.0848E+11     2.4304E+13
   110     1.4750E+00  1.4450E+00     2.0549E-02     4.2982E+11     2.0917E+13
   111     1.4450E+00  1.3700E+00     5.3299E-02     9.0309E+11     1.6944E+13
   112     1.3700E+00  1.3375E+00     2.4009E-02     3.9727E+11     1.6547E+13
   113     1.3375E+00  1.3000E+00     2.8438E-02     4.3968E+11     1.5461E+13
   114     1.3000E+00  1.2350E+00     5.1293E-02     8.9921E+11     1.7531E+13
   115     1.2350E+00  1.1700E+00     5.4067E-02     8.8467E+11     1.6362E+13
   116     1.1700E+00  1.1500E+00     1.7242E-02     2.5347E+11     1.4701E+13
   117     1.1500E+00  1.1254E+00     2.1623E-02     3.2188E+11     1.4886E+13
   118     1.1254E+00  1.1100E+00     1.3779E-02     2.6622E+11     1.9321E+13
   119     1.1100E+00  1.0970E+00     1.1781E-02     2.1797E+11     1.8502E+13
   120     1.0970E+00  1.0710E+00     2.3986E-02     3.8971E+11     1.6247E+13
   121     1.0710E+00  1.0450E+00     2.4576E-02     3.4034E+11     1.3849E+13
   122     1.0450E+00  1.0350E+00     9.6155E-03     1.4237E+11     1.4807E+13
   123     1.0350E+00  1.0200E+00     1.4599E-02     2.9598E+11     2.0274E+13
   124     1.0200E+00  9.9600E-01     2.3811E-02     3.4823E+11     1.4625E+13
   125     9.9600E-01  9.8600E-01     1.0091E-02     1.4197E+11     1.4069E+13
   126     9.8600E-01  9.7200E-01     1.4301E-02     2.7142E+11     1.8979E+13
   127     9.7200E-01  9.5000E-01     2.2894E-02     3.0900E+11     1.3497E+13
   128     9.5000E-01  9.3000E-01     2.1277E-02     3.7167E+11     1.7468E+13
   129     9.3000E-01  9.1000E-01     2.1740E-02     4.0786E+11     1.8761E+13
   130     9.1000E-01  8.6000E-01     5.6512E-02     8.9237E+11     1.5791E+13
   131     8.6000E-01  8.5000E-01     1.1696E-02     1.9580E+11     1.6741E+13
   132     8.5000E-01  7.9000E-01     7.3203E-02     1.2418E+12     1.6963E+13
   133     7.9000E-01  7.8000E-01     1.2739E-02     2.1056E+11     1.6529E+13
   134     7.8000E-01  7.0500E-01     1.0110E-01     1.5596E+12     1.5427E+13
   135     7.0500E-01  6.2500E-01     1.2045E-01     1.9829E+12     1.6463E+13
   136     6.2500E-01  5.4000E-01     1.4618E-01     2.4661E+12     1.6870E+13
   137     5.4000E-01  5.0000E-01     7.6961E-02     1.2653E+12     1.6441E+13
   138     5.0000E-01  4.8500E-01     3.0459E-02     4.6701E+11     1.5332E+13
