  GROUP      UPPER       LOWER         LETHARGY         DATA        DATA/LETHARGY

     1     2.0000E+07  1.9900E+07     5.0125E-03     2.3970E-12     4.7820E-10
     2     1.9900E+07  1.9800E+07     5.0378E-03     3.2130E-12     6.3778E-10
     3     1.9800E+07  1.9700E+07     5.0633E-03     4.4150E-12     8.7196E-10
     4     1.9700E+07  1.9600E+07     5.0891E-03     5.5350E-12     1.0876E-09
     5     1.9600E+07  1.9500E+07     5.1151E-03     3.6970E-12     7.2276E-10
     6     1.9500E+07  1.9400E+07     5.1414E-03     2.3950E-12     4.6583E-10
     7     1.9400E+07  1.9300E+07     5.1680E-03     1.0340E-11     2.0008E-09
     8     1.9300E+07  1.9200E+07     5.1948E-03     1.0390E-11     2.0001E-09
     9     1.9200E+07  1.9100E+07     5.2219E-03     4.1970E-12     8.0372E-10
    10     1.9100E+07  1.9000E+07     5.2494E-03     3.6130E-12     6.8827E-10
    11     1.9000E+07  1.8900E+07     5.2771E-03     1.7490E-12     3.3143E-10
    12     1.8900E+07  1.8800E+07     5.3051E-03     8.6100E-12     1.6230E-09
    13     1.8800E+07  1.8700E+07     5.3333E-03     3.7880E-12     7.1025E-10
    14     1.8700E+07  1.8600E+07     5.3619E-03     6.0860E-12     1.1350E-09
    15     1.8600E+07  1.8500E+07     5.3908E-03     4.0300E-12     7.4756E-10
    16     1.8500E+07  1.8400E+07     5.4201E-03     1.0430E-11     1.9243E-09
    17     1.8400E+07  1.8300E+07     5.4496E-03     6.7780E-12     1.2438E-09
    18     1.8300E+07  1.8200E+07     5.4795E-03     1.2080E-11     2.2046E-09
    19     1.8200E+07  1.8100E+07     5.5097E-03     2.4390E-12     4.4268E-10
    20     1.8100E+07  1.8000E+07     5.5402E-03     4.5720E-12     8.2524E-10
    21     1.8000E+07  1.7900E+07     5.5710E-03     1.6290E-11     2.9240E-09
    22     1.7900E+07  1.7800E+07     5.6023E-03     1.1970E-11     2.1366E-09
    23     1.7800E+07  1.7700E+07     5.6338E-03     1.1620E-11     2.0625E-09
    24     1.7700E+07  1.7600E+07     5.6657E-03     1.3440E-11     2.3722E-09
    25     1.7600E+07  1.7500E+07     5.6980E-03     1.4320E-11     2.5132E-09
    26     1.7500E+07  1.7400E+07     5.7307E-03     2.2560E-11     3.9367E-09
    27     1.7400E+07  1.7300E+07     5.7637E-03     1.3710E-11     2.3787E-09
    28     1.7300E+07  1.7200E+07     5.7971E-03     2.4780E-11     4.2745E-09
    29     1.7200E+07  1.7100E+07     5.8309E-03     1.4460E-11     2.4799E-09
    30     1.7100E+07  1.7000E+07     5.8651E-03     1.9720E-11     3.3623E-09
    31     1.7000E+07  1.6900E+07     5.8997E-03     1.8830E-11     3.1917E-09
    32     1.6900E+07  1.6800E+07     5.9347E-03     2.6510E-11     4.4669E-09
    33     1.6800E+07  1.6700E+07     5.9702E-03     2.4560E-11     4.1138E-09
    34     1.6700E+07  1.6600E+07     6.0060E-03     4.2450E-11     7.0679E-09
    35     1.6600E+07  1.6500E+07     6.0423E-03     4.5100E-11     7.4640E-09
    36     1.6500E+07  1.6400E+07     6.0790E-03     3.9110E-11     6.4336E-09
    37     1.6400E+07  1.6300E+07     6.1162E-03     4.8340E-11     7.9036E-09
    38     1.6300E+07  1.6200E+07     6.1539E-03     5.8640E-11     9.5290E-09
    39     1.6200E+07  1.6100E+07     6.1920E-03     5.3940E-11     8.7113E-09
    40     1.6100E+07  1.6000E+07     6.2305E-03     5.9060E-11     9.4791E-09
    41     1.6000E+07  1.5900E+07     6.2696E-03     6.6920E-11     1.0674E-08
    42     1.5900E+07  1.5800E+07     6.3092E-03     5.6010E-11     8.8776E-09
    43     1.5800E+07  1.5700E+07     6.3492E-03     7.9590E-11     1.2535E-08
    44     1.5700E+07  1.5600E+07     6.3898E-03     8.1470E-11     1.2750E-08
    45     1.5600E+07  1.5500E+07     6.4309E-03     8.4080E-11     1.3074E-08
    46     1.5500E+07  1.5400E+07     6.4725E-03     8.3250E-11     1.2862E-08
    47     1.5400E+07  1.5300E+07     6.5147E-03     8.7170E-11     1.3381E-08
    48     1.5300E+07  1.5200E+07     6.5574E-03     1.0100E-10     1.5402E-08
    49     1.5200E+07  1.5100E+07     6.6007E-03     8.9640E-11     1.3580E-08
    50     1.5100E+07  1.5000E+07     6.6445E-03     1.1910E-10     1.7924E-08
    51     1.5000E+07  1.4900E+07     6.6890E-03     9.9760E-11     1.4914E-08
    52     1.4900E+07  1.4800E+07     6.7340E-03     1.2260E-10     1.8206E-08
    53     1.4800E+07  1.4700E+07     6.7797E-03     1.6030E-10     2.3644E-08
    54     1.4700E+07  1.4600E+07     6.8260E-03     1.6030E-10     2.3484E-08
    55     1.4600E+07  1.4500E+07     6.8729E-03     1.7420E-10     2.5346E-08
    56     1.4500E+07  1.4400E+07     6.9204E-03     2.0240E-10     2.9247E-08
    57     1.4400E+07  1.4300E+07     6.9687E-03     2.1060E-10     3.0221E-08
    58     1.4300E+07  1.4200E+07     7.0176E-03     2.1260E-10     3.0295E-08
