  GROUP      UPPER       LOWER         LETHARGY         DATA        DATA/LETHARGY

     1     1.0000E+07  6.0653E+06     5.0000E-01     1.5172E+13     3.0345E+13
     2     6.0653E+06  3.6788E+06     5.0000E-01     7.5055E+13     1.5011E+14
     3     3.6788E+06  2.2313E+06     5.0000E-01     1.9029E+14     3.8058E+14
     4     2.2313E+06  1.3534E+06     5.0000E-01     3.1813E+14     6.3625E+14
     5     1.3534E+06  8.2085E+05     5.0000E-01     3.9781E+14     7.9562E+14
     6     8.2085E+05  4.9787E+05     5.0000E-01     5.2751E+14     1.0550E+15
     7     4.9787E+05  3.0197E+05     5.0000E-01     5.5722E+14     1.1144E+15
     8     3.0197E+05  1.8316E+05     5.0000E-01     4.2875E+14     8.5750E+14
     9     1.8316E+05  1.1109E+05     5.0000E-01     3.5075E+14     7.0150E+14
    10     1.1109E+05  6.7380E+04     5.0000E-01     2.0025E+14     4.0050E+14
    11     6.7380E+04  4.0868E+04     5.0000E-01     1.1296E+14     2.2593E+14
    12     4.0868E+04  2.4788E+04     5.0000E-01     6.1574E+13     1.2315E+14
    13     2.4788E+04  1.5034E+04     5.0000E-01     4.4946E+13     8.9893E+13
    14     1.5034E+04  9.1188E+03     5.0000E-01     1.9238E+13     3.8477E+13
    15     9.1188E+03  5.5308E+03     5.0000E-01     5.9283E+12     1.1857E+13
    16     5.5308E+03  3.3546E+03     5.0000E-01     2.6818E+12     5.3636E+12
    17     3.3546E+03  2.0347E+03     5.0000E-01     8.0404E+11     1.6081E+12
    18     2.0347E+03  1.2341E+03     5.0000E-01     1.5412E+12     3.0825E+12
    19     1.2341E+03  7.4852E+02     5.0000E-01     3.3891E+11     6.7781E+11
    20     7.4852E+02  4.5400E+02     5.0000E-01     5.9369E+10     1.1874E+11
    21     4.5400E+02  2.7536E+02     5.0000E-01     2.0438E+10     4.0877E+10
    22     2.7536E+02  1.6702E+02     5.0000E-01     6.8092E+09     1.3618E+10
    23     1.6702E+02  1.0130E+02     5.0000E-01     3.6743E+09     7.3486E+09
    24     1.0130E+02  6.1442E+01     5.0000E-01     2.4259E+09     4.8518E+09
    25     6.1442E+01  3.7267E+01     5.0000E-01     3.6234E+08     7.2467E+08
    26     3.7267E+01  2.2603E+01     5.0000E-01     3.8145E+08     7.6291E+08
    27     2.2603E+01  1.3710E+01     5.0000E-01     1.1604E+08     2.3207E+08
    28     1.3710E+01  8.3153E+00     5.0000E-01     3.9040E+08     7.8079E+08
    29     8.3153E+00  5.0435E+00     5.0000E-01     5.4831E+07     1.0966E+08
  TOTAL                                              3.3110E+15
