  GROUP      UPPER       LOWER         LETHARGY         DATA        DATA/LETHARGY

     1     1.9640E+07  1.7333E+07     1.2496E-01     0.0000E+00     0.0000E+00
     2     1.7333E+07  1.4918E+07     1.5004E-01     0.0000E+00     0.0000E+00
     3     1.4918E+07  1.3840E+07     7.5006E-02     0.0000E+00     0.0000E+00
     4     1.3840E+07  1.1618E+07     1.7501E-01     0.0000E+00     0.0000E+00
     5     1.1618E+07  1.0000E+07     1.4997E-01     0.0000E+00     0.0000E+00
     6     1.0000E+07  8.1873E+06     2.0000E-01     1.2073E-03     6.0365E-03
     7     8.1873E+06  6.7032E+06     2.0000E-01     3.2270E-03     1.6135E-02
     8     6.7032E+06  6.0653E+06     1.0000E-01     3.3315E-03     3.3315E-02
     9     6.0653E+06  5.4881E+06     1.0000E-01     3.3315E-03     3.3314E-02
    10     5.4881E+06  4.4933E+06     1.9999E-01     1.0787E-02     5.3936E-02
    11     4.4933E+06  3.6788E+06     2.0000E-01     1.3486E-02     6.7430E-02
    12     3.6788E+06  3.0119E+06     2.0002E-01     1.7470E-02     8.7343E-02
    13     3.0119E+06  2.4660E+06     1.9997E-01     2.5040E-02     1.2522E-01
    14     2.4660E+06  2.2313E+06     1.0001E-01     1.2554E-02     1.2552E-01
    15     2.2313E+06  2.0190E+06     9.9982E-02     1.2553E-02     1.2555E-01
    16     2.0190E+06  1.6530E+06     2.0001E-01     2.1609E-02     1.0804E-01
    17     1.6530E+06  1.3534E+06     1.9997E-01     2.3197E-02     1.1600E-01
    18     1.3534E+06  1.2246E+06     1.0001E-01     1.0239E-02     1.0238E-01
    19     1.2246E+06  1.1080E+06     1.0006E-01     1.0239E-02     1.0233E-01
    20     1.1080E+06  1.0026E+06     9.9960E-02     9.7423E-03     9.7462E-02
    21     1.0026E+06  9.0718E+05     1.0001E-01     9.7426E-03     9.7415E-02
    22     9.0718E+05  8.2085E+05     1.0000E-01     1.2264E-02     1.2264E-01
    23     8.2085E+05  6.0810E+05     3.0000E-01     3.6792E-02     1.2264E-01
    24     6.0810E+05  5.5023E+05     1.0000E-01     8.5940E-03     8.5937E-02
    25     5.5023E+05  4.9787E+05     9.9997E-02     8.5938E-03     8.5940E-02
    26     4.9787E+05  4.5049E+05     1.0000E-01     8.5939E-03     8.5936E-02
    27     4.5049E+05  4.0762E+05     1.0000E-01     8.5939E-03     8.5939E-02
    28     4.0762E+05  3.0197E+05     3.0001E-01     2.3841E-02     7.9468E-02
    29     3.0197E+05  2.7324E+05     9.9977E-02     7.9469E-03     7.9487E-02
    30     2.7324E+05  2.4724E+05     9.9991E-02     6.4688E-03     6.4694E-02
    31     2.4724E+05  1.8316E+05     3.0000E-01     1.9406E-02     6.4687E-02
    32     1.8316E+05  1.2277E+05     4.0005E-01     2.1217E-02     5.3036E-02
    33     1.2277E+05  1.1109E+05     9.9972E-02     4.5579E-03     4.5592E-02
    34     1.1109E+05  8.2297E+04     3.0001E-01     1.3674E-02     4.5579E-02
