  GROUP      UPPER       LOWER         LETHARGY         DATA        DATA/LETHARGY
    74     4.0169E+01  3.7267E+01     7.4987E-02     5.5203E-07     7.3616E-06
    75     3.7267E+01  3.3720E+01     1.0002E-01     4.0242E-07     4.0235E-06
    76     3.3720E+01  3.0511E+01     1.0000E-01     4.4897E-07     4.4895E-06
    77     3.0511E+01  2.7608E+01     9.9982E-02     5.2181E-07     5.2191E-06
    78     2.7608E+01  2.4980E+01     1.0003E-01     6.9533E-07     6.9512E-06
    79     2.4980E+01  2.2603E+01     9.9993E-02     6.8661E-07     6.8666E-06
    80     2.2603E+01  1.9455E+01     1.4998E-01     2.8834E-07     1.9225E-06
    81     1.9455E+01  1.5928E+01     2.0003E-01     4.7287E-07     2.3640E-06
    82     1.5928E+01  1.3710E+01     1.4995E-01     3.3985E-07     2.2664E-06
    83     1.3710E+01  1.1224E+01     2.0007E-01     7.8695E-07     3.9334E-06
    84     1.1224E+01  9.9056E+00     1.2495E-01     4.6730E-07     3.7398E-06
    85     9.9056E+00  9.1898E+00     7.5006E-02     7.8391E-07     1.0451E-05
    86     9.1898E+00  8.3153E+00     9.9997E-02     1.1686E-06     1.1686E-05
    87     8.3153E+00  7.5240E+00     9.9999E-02     5.9794E-07     5.9794E-06
    88     7.5240E+00  6.1601E+00     2.0000E-01     4.0174E-07     2.0087E-06
    89     6.1601E+00  5.3464E+00     1.4167E-01     1.0388E-06     7.3326E-06
    90     5.3464E+00  5.0435E+00     5.8323E-02     5.3492E-07     9.1717E-06
    91     5.0435E+00  4.1293E+00     1.9999E-01     1.8093E-06     9.0468E-06
    92     4.1293E+00  4.0000E+00     3.1814E-02     4.5305E-07     1.4241E-05
    93     4.0000E+00  3.3807E+00     1.6821E-01     2.4485E-06     1.4556E-05
    94     3.3807E+00  3.3000E+00     2.4160E-02     6.3356E-07     2.6223E-05
    95     3.3000E+00  2.7679E+00     1.7583E-01     2.3720E-06     1.3490E-05
    96     2.7679E+00  2.7200E+00     1.7457E-02     2.0380E-07     1.1674E-05
    97     2.7200E+00  2.6000E+00     4.5120E-02     2.9716E-07     6.5859E-06
    98     2.6000E+00  2.5500E+00     1.9418E-02     2.4077E-07     1.2399E-05
    99     2.5500E+00  2.3600E+00     7.7432E-02     6.8430E-07     8.8375E-06
   100     2.3600E+00  2.1300E+00     1.0254E-01     8.4857E-07     8.2755E-06
   101     2.1300E+00  2.1000E+00     1.4185E-02     1.2475E-07     8.7947E-06
   102     2.1000E+00  2.0200E+00     3.8840E-02     2.8831E-07     7.4230E-06
   103     2.0200E+00  1.9300E+00     4.5578E-02     3.0207E-07     6.6276E-06
   104     1.9300E+00  1.8400E+00     4.7754E-02     2.7637E-07     5.7873E-06
   105     1.8400E+00  1.7550E+00     4.7297E-02     2.5283E-07     5.3456E-06
   106     1.7550E+00  1.6700E+00     4.9645E-02     2.1512E-07     4.3331E-06
   107     1.6700E+00  1.5900E+00     4.9090E-02     1.7903E-07     3.6470E-06
   108     1.5900E+00  1.5000E+00     5.8269E-02     1.6596E-07     2.8482E-06
   109     1.5000E+00  1.4750E+00     1.6807E-02     3.9129E-08     2.3281E-06
   110     1.4750E+00  1.4400E+00     2.4015E-02     4.8623E-08     2.0247E-06
   111     1.4400E+00  1.3700E+00     4.9832E-02     7.3567E-08     1.4763E-06
   112     1.3700E+00  1.3375E+00     2.4009E-02     2.4991E-08     1.0409E-06
   113     1.3375E+00  1.3000E+00     2.8438E-02     2.1283E-08     7.4840E-07
   114     1.3000E+00  1.2350E+00     5.1293E-02     2.2296E-08     4.3468E-07
   115     1.2350E+00  1.1700E+00     5.4067E-02     9.9792E-09     1.8457E-07
   116     1.1700E+00  1.1500E+00     1.7242E-02     1.2369E-09     7.1738E-08
   117     1.1500E+00  1.1230E+00     2.3758E-02     7.8823E-10     3.3177E-08
   118     1.1230E+00  1.1100E+00     1.1644E-02     1.5931E-10     1.3682E-08
   119     1.1100E+00  1.0970E+00     1.1781E-02     9.2887E-11     7.8846E-09
   120     1.0970E+00  1.0710E+00     2.3986E-02     8.9650E-11     3.7375E-09
   121     1.0710E+00  1.0450E+00     2.4576E-02     5.0372E-11     2.0496E-09
   122     1.0450E+00  1.0350E+00     9.6155E-03     1.8049E-11     1.8771E-09
   123     1.0350E+00  1.0200E+00     1.4599E-02     3.0414E-11     2.0833E-09
   124     1.0200E+00  9.9600E-01     2.3811E-02     9.3776E-11     3.9384E-09
   125     9.9600E-01  9.8600E-01     1.0091E-02     1.2764E-10     1.2649E-08
   126     9.8600E-01  9.7200E-01     1.4301E-02     2.6496E-10     1.8528E-08
   127     9.7200E-01  9.5000E-01     2.2894E-02     6.7639E-10     2.9545E-08
   128     9.5000E-01  9.3000E-01     2.1277E-02     9.1311E-10     4.2915E-08
   129     9.3000E-01  9.1000E-01     2.1740E-02     1.1903E-09     5.4752E-08
   130     9.1000E-01  8.6000E-01     5.6512E-02     4.0771E-09     7.2145E-08
   131     8.6000E-01  8.5000E-01     1.1696E-02     1.0007E-09     8.5559E-08
   132     8.5000E-01  7.9000E-01     7.3203E-02     7.4217E-09     1.0138E-07
   133     7.9000E-01  7.8000E-01     1.2739E-02     1.4615E-09     1.1473E-07
   134     7.8000E-01  7.0500E-01     1.0110E-01     1.2589E-08     1.2453E-07
   135     7.0500E-01  6.2500E-01     1.2045E-01     1.5295E-08     1.2699E-07
   136     6.2500E-01  5.4000E-01     1.4618E-01     1.5206E-08     1.0402E-07
   137     5.4000E-01  5.0000E-01     7.6961E-02     6.3913E-09     8.3046E-08
   138     5.0000E-01  4.8500E-01     3.0459E-02     2.1452E-09     7.0429E-08
   139     4.8500E-01  4.3300E-01     1.1341E-01     6.0147E-09     5.3034E-08
   140     4.3300E-01  4.0000E-01     7.9273E-02     2.5561E-09     3.2244E-08
   141     4.0000E-01  3.9100E-01     2.2757E-02     5.2676E-10     2.3147E-08
   142     3.9100E-01  3.5000E-01     1.1077E-01     1.5831E-09     1.4291E-08
   143     3.5000E-01  3.2000E-01     8.9612E-02     5.7392E-10     6.4045E-09
   144     3.2000E-01  3.1450E-01     1.7337E-02     7.7623E-11     4.4773E-09
   145     3.1450E-01  3.0000E-01     4.7202E-02     1.8322E-10     3.8816E-09
   146     3.0000E-01  2.8000E-01     6.8993E-02     2.3127E-10     3.3521E-09
   147     2.8000E-01  2.4800E-01     1.2136E-01     4.6483E-10     3.8301E-09
   148     2.4800E-01  2.2000E-01     1.1980E-01     6.3034E-10     5.2615E-09
   149     2.2000E-01  1.8900E-01     1.5188E-01     1.0365E-09     6.8244E-09
   150     1.8900E-01  1.8000E-01     4.8790E-02     3.6728E-10     7.5277E-09
   151     1.8000E-01  1.6000E-01     1.1778E-01     9.1051E-10     7.7304E-09
   152     1.6000E-01  1.4000E-01     1.3353E-01     1.0061E-09     7.5346E-09
   153     1.4000E-01  1.3400E-01     4.3803E-02     3.1074E-10     7.0941E-09
   154     1.3400E-01  1.1500E-01     1.5291E-01     9.7179E-10     6.3554E-09
   155     1.1500E-01  1.0000E-01     1.3976E-01     7.2700E-10     5.2017E-09
   156     1.0000E-01  9.5000E-02     5.1293E-02     2.3550E-10     4.5912E-09
   157     9.5000E-02  8.0000E-02     1.7185E-01     7.0990E-10     4.1309E-09
   158     8.0000E-02  7.7000E-02     3.8221E-02     1.4459E-10     3.7830E-09
   159     7.7000E-02  6.7000E-02     1.3911E-01     4.8869E-10     3.5129E-09
   160     6.7000E-02  5.8000E-02     1.4425E-01     4.4278E-10     3.0695E-09
   161     5.8000E-02  5.0000E-02     1.4842E-01     3.8838E-10     2.6168E-09
   162     5.0000E-02  4.2000E-02     1.7435E-01     3.7584E-10     2.1556E-09
   163     4.2000E-02  3.5000E-02     1.8232E-01     3.1236E-10     1.7132E-09
   164     3.5000E-02  3.0000E-02     1.5415E-01     2.1031E-10     1.3643E-09
   165     3.0000E-02  2.5000E-02     1.8232E-01     1.9702E-10     1.0806E-09
   166     2.5000E-02  2.0000E-02     2.2314E-01     1.8112E-10     8.1167E-10
   167     2.0000E-02  1.5000E-02     2.8768E-01     1.6198E-10     5.6305E-10
   168     1.5000E-02  1.0000E-02     4.0547E-01     1.3856E-10     3.4173E-10
   169     1.0000E-02  6.9000E-03     3.7106E-01     7.1110E-11     1.9164E-10
   170     6.9000E-03  5.0000E-03     3.2208E-01     3.6657E-11     1.1381E-10
   171     5.0000E-03  3.0000E-03     5.1083E-01     3.1715E-11     6.2086E-11
   172     3.0000E-03  1.0000E-03     1.0986E+00     3.0186E-11     2.7476E-11
  TOTAL                                              9.9994E-01
