  GROUP      UPPER       LOWER         LETHARGY         DATA        DATA/LETHARGY

     1     2.0000E+07  1.9953E+07     2.3528E-03     0.0000E+00     0.0000E+00
     2     1.9953E+07  1.9055E+07     4.6050E-02     0.0000E+00     0.0000E+00
     3     1.9055E+07  1.8197E+07     4.6073E-02     0.0000E+00     0.0000E+00
     4     1.8197E+07  1.7378E+07     4.6052E-02     0.0000E+00     0.0000E+00
     5     1.7378E+07  1.6596E+07     4.6043E-02     0.0000E+00     0.0000E+00
     6     1.6596E+07  1.5849E+07     4.6055E-02     0.0000E+00     0.0000E+00
     7     1.5849E+07  1.5136E+07     4.6030E-02     3.2159E+09     6.9865E+10
     8     1.5136E+07  1.4454E+07     4.6105E-02     5.8488E+12     1.2686E+14
     9     1.4454E+07  1.3804E+07     4.6013E-02     5.6105E+13     1.2193E+15
    10     1.3804E+07  1.3183E+07     4.6030E-02     1.4388E+13     3.1257E+14
    11     1.3183E+07  1.2589E+07     4.6105E-02     1.8758E+12     4.0685E+13
    12     1.2589E+07  1.2023E+07     4.6002E-02     9.6657E+11     2.1012E+13
    13     1.2023E+07  1.1482E+07     4.6041E-02     5.6015E+11     1.2166E+13
    14     1.1482E+07  1.0965E+07     4.6072E-02     5.7905E+11     1.2568E+13
    15     1.0965E+07  1.0471E+07     4.6099E-02     7.0972E+11     1.5396E+13
    16     1.0471E+07  1.0000E+07     4.6024E-02     7.7846E+11     1.6914E+13
    17     1.0000E+07  9.5499E+06     4.6054E-02     8.1199E+11     1.7631E+13
    18     9.5499E+06  9.1201E+06     4.6050E-02     8.7780E+11     1.9062E+13
    19     9.1201E+06  8.7096E+06     4.6055E-02     8.3194E+11     1.8064E+13
    20     8.7096E+06  8.3176E+06     4.6052E-02     7.1238E+11     1.5469E+13
    21     8.3176E+06  7.9433E+06     4.6045E-02     7.0212E+11     1.5249E+13
    22     7.9433E+06  7.5858E+06     4.6051E-02     7.1224E+11     1.5466E+13
    23     7.5858E+06  7.2444E+06     4.6049E-02     7.3446E+11     1.5949E+13
    24     7.2444E+06  6.9183E+06     4.6059E-02     7.3612E+11     1.5982E+13
    25     6.9183E+06  6.6069E+06     4.6056E-02     7.3322E+11     1.5920E+13
    26     6.6069E+06  6.3096E+06     4.6042E-02     7.5674E+11     1.6436E+13
    27     6.3096E+06  6.0256E+06     4.6055E-02     7.9575E+11     1.7278E+13
    28     6.0256E+06  5.7544E+06     4.6052E-02     8.2918E+11     1.8005E+13
    29     5.7544E+06  5.4954E+06     4.6053E-02     8.6724E+11     1.8831E+13
    30     5.4954E+06  5.2481E+06     4.6045E-02     9.0240E+11     1.9598E+13
    31     5.2481E+06  5.0119E+06     4.6051E-02     9.3313E+11     2.0263E+13
    32     5.0119E+06  4.7863E+06     4.6057E-02     9.6850E+11     2.1028E+13
    33     4.7863E+06  4.5709E+06     4.6048E-02     1.0081E+12     2.1893E+13
    34     4.5709E+06  4.3652E+06     4.6046E-02     1.0184E+12     2.2117E+13
    35     4.3652E+06  4.1687E+06     4.6060E-02     1.0534E+12     2.2869E+13
    36     4.1687E+06  3.9811E+06     4.6046E-02     1.0977E+12     2.3839E+13
    37     3.9811E+06  3.8019E+06     4.6057E-02     1.1002E+12     2.3887E+13
    38     3.8019E+06  3.6308E+06     4.6048E-02     1.1187E+12     2.4294E+13
    39     3.6308E+06  3.4674E+06     4.6048E-02     1.1485E+12     2.4941E+13
    40     3.4674E+06  3.3113E+06     4.6064E-02     1.1907E+12     2.5849E+13
    41     3.3113E+06  3.1623E+06     4.6041E-02     1.2360E+12     2.6845E+13
    42     3.1623E+06  3.0200E+06     4.6043E-02     1.2894E+12     2.8005E+13
    43     3.0200E+06  2.8840E+06     4.6079E-02     1.3633E+12     2.9586E+13
    44     2.8840E+06  2.7542E+06     4.6051E-02     1.3936E+12     3.0261E+13
    45     2.7542E+06  2.6303E+06     4.6029E-02     1.5085E+12     3.2773E+13
    46     2.6303E+06  2.5119E+06     4.6058E-02     1.5559E+12     3.3782E+13
    47     2.5119E+06  2.3988E+06     4.6071E-02     1.6984E+12     3.6865E+13
    48     2.3988E+06  2.2909E+06     4.6024E-02     1.7971E+12     3.9046E+13
    49     2.2909E+06  2.1878E+06     4.6048E-02     1.7926E+12     3.8930E+13
    50     2.1878E+06  2.0893E+06     4.6067E-02     1.8696E+12     4.0583E+13
    51     2.0893E+06  1.9953E+06     4.6035E-02     1.8709E+12     4.0641E+13
    52     1.9953E+06  1.9055E+06     4.6050E-02     1.8735E+12     4.0684E+13
    53     1.9055E+06  1.8197E+06     4.6073E-02     1.9884E+12     4.3158E+13
    54     1.8197E+06  1.7378E+06     4.6052E-02     2.2754E+12     4.9410E+13
    55     1.7378E+06  1.6596E+06     4.6043E-02     2.4064E+12     5.2263E+13
    56     1.6596E+06  1.5849E+06     4.6055E-02     2.2743E+12     4.9382E+13
    57     1.5849E+06  1.5136E+06     4.6030E-02     2.3123E+12     5.0234E+13
    58     1.5136E+06  1.4454E+06     4.6105E-02     2.4093E+12     5.2258E+13
    59     1.4454E+06  1.3804E+06     4.6013E-02     2.3580E+12     5.1246E+13
    60     1.3804E+06  1.3183E+06     4.6030E-02     2.5101E+12     5.4531E+13
    61     1.3183E+06  1.2589E+06     4.6105E-02     2.4676E+12     5.3521E+13
    62     1.2589E+06  1.2023E+06     4.6002E-02     2.6142E+12     5.6829E+13
    63     1.2023E+06  1.1482E+06     4.6041E-02     2.9820E+12     6.4768E+13
    64     1.1482E+06  1.0965E+06     4.6072E-02     2.7412E+12     5.9498E+13
    65     1.0965E+06  1.0471E+06     4.6099E-02     2.5057E+12     5.4356E+13
    66     1.0471E+06  1.0000E+06     4.6024E-02     2.4540E+12     5.3321E+13
    67     1.0000E+06  9.5499E+05     4.6054E-02     2.6146E+12     5.6771E+13
    68     9.5499E+05  9.1201E+05     4.6050E-02     2.8484E+12     6.1854E+13
    69     9.1201E+05  8.7096E+05     4.6055E-02     2.7153E+12     5.8959E+13
    70     8.7096E+05  8.3176E+05     4.6052E-02     2.7389E+12     5.9473E+13
    71     8.3176E+05  7.9433E+05     4.6045E-02     2.7612E+12     5.9967E+13
    72     7.9433E+05  7.5858E+05     4.6051E-02     2.7135E+12     5.8924E+13
    73     7.5858E+05  7.2444E+05     4.6049E-02     2.8082E+12     6.0983E+13
    74     7.2444E+05  6.9183E+05     4.6059E-02     3.4516E+12     7.4938E+13
    75     6.9183E+05  6.6069E+05     4.6056E-02     2.8963E+12     6.2888E+13
    76     6.6069E+05  6.3096E+05     4.6042E-02     3.4155E+12     7.4182E+13
    77     6.3096E+05  6.0256E+05     4.6055E-02     2.9995E+12     6.5128E+13
    78     6.0256E+05  5.7544E+05     4.6052E-02     2.6789E+12     5.8172E+13
    79     5.7544E+05  5.4954E+05     4.6053E-02     2.6231E+12     5.6959E+13
    80     5.4954E+05  5.2481E+05     4.6045E-02     2.5648E+12     5.5701E+13
    81     5.2481E+05  5.0119E+05     4.6051E-02     2.4726E+12     5.3693E+13
    82     5.0119E+05  4.7863E+05     4.6057E-02     2.5340E+12     5.5019E+13
    83     4.7863E+05  4.5709E+05     4.6048E-02     2.6326E+12     5.7171E+13
    84     4.5709E+05  4.3652E+05     4.6046E-02     2.3086E+12     5.0137E+13
    85     4.3652E+05  4.1687E+05     4.6060E-02     2.0481E+12     4.4467E+13
    86     4.1687E+05  3.9811E+05     4.6046E-02     2.0216E+12     4.3904E+13
    87     3.9811E+05  3.8019E+05     4.6057E-02     2.0432E+12     4.4361E+13
    88     3.8019E+05  3.6308E+05     4.6048E-02     2.9431E+12     6.3914E+13
    89     3.6308E+05  3.4674E+05     4.6048E-02     3.0590E+12     6.6430E+13
    90     3.4674E+05  3.3113E+05     4.6064E-02     2.4957E+12     5.4179E+13
    91     3.3113E+05  3.1623E+05     4.6041E-02     1.6987E+12     3.6896E+13
    92     3.1623E+05  3.0200E+05     4.6043E-02     3.3090E+12     7.1868E+13
    93     3.0200E+05  2.8840E+05     4.6079E-02     2.2955E+12     4.9818E+13
    94     2.8840E+05  2.7542E+05     4.6051E-02     1.4083E+12     3.0582E+13
    95     2.7542E+05  2.6303E+05     4.6029E-02     2.5085E+12     5.4498E+13
    96     2.6303E+05  2.5119E+05     4.6058E-02     1.8462E+12     4.0084E+13
    97     2.5119E+05  2.3988E+05     4.6071E-02     1.7886E+12     3.8822E+13
    98     2.3988E+05  2.2909E+05     4.6024E-02     1.7710E+12     3.8480E+13
    99     2.2909E+05  2.1878E+05     4.6048E-02     1.4613E+12     3.1733E+13
   100     2.1878E+05  2.0893E+05     4.6067E-02     1.9419E+12     4.2153E+13
   101     2.0893E+05  1.9953E+05     4.6035E-02     1.4324E+12     3.1115E+13
   102     1.9953E+05  1.9055E+05     4.6050E-02     1.1142E+12     2.4194E+13
   103     1.9055E+05  1.8197E+05     4.6073E-02     1.8782E+12     4.0766E+13
   104     1.8197E+05  1.7378E+05     4.6052E-02     2.0245E+12     4.3961E+13
   105     1.7378E+05  1.6596E+05     4.6043E-02     1.5255E+12     3.3132E+13
   106     1.6596E+05  1.5849E+05     4.6055E-02     1.7169E+12     3.7280E+13
