  GROUP      UPPER       LOWER         LETHARGY         DATA        DATA/LETHARGY

     1     1.9640E+07  1.7332E+07     1.2500E-01     2.9030E-01     2.3224E+00
     2     1.7332E+07  1.6905E+07     2.4998E-02     1.5470E+01     6.1886E+02
     3     1.6905E+07  1.6487E+07     2.5001E-02     6.2370E+02     2.4947E+04
     4     1.6487E+07  1.5683E+07     5.0001E-02     4.3220E+05     8.6439E+06
     5     1.5683E+07  1.4918E+07     5.0002E-02     3.6470E+07     7.2937E+08
     6     1.4918E+07  1.4550E+07     2.4998E-02     5.5620E+07     2.2250E+09
     7     1.4550E+07  1.4191E+07     2.4997E-02     1.9260E+07     7.7048E+08
     8     1.4191E+07  1.3840E+07     2.5002E-02     1.7260E+06     6.9034E+07
     9     1.3840E+07  1.3499E+07     2.4999E-02     5.2230E+05     2.0893E+07
    10     1.3499E+07  1.2840E+07     4.9997E-02     5.4460E+05     1.0893E+07
    11     1.2840E+07  1.2523E+07     2.5006E-02     1.9890E+05     7.9542E+06
    12     1.2523E+07  1.2214E+07     2.5000E-02     1.4160E+05     5.6640E+06
    13     1.2214E+07  1.1618E+07     5.0001E-02     1.7380E+05     3.4759E+06
    14     1.1618E+07  1.1052E+07     4.9997E-02     1.5540E+05     3.1082E+06
    15     1.1052E+07  1.0513E+07     5.0000E-02     1.5000E+05     3.0000E+06
    16     1.0513E+07  1.0000E+07     4.9999E-02     1.3480E+05     2.6961E+06
    17     1.0000E+07  9.5123E+06     5.0000E-02     1.2980E+05     2.5960E+06
    18     9.5123E+06  9.0484E+06     5.0000E-02     1.2790E+05     2.5580E+06
    19     9.0484E+06  8.6071E+06     5.0000E-02     1.3000E+05     2.6000E+06
    20     8.6071E+06  8.1873E+06     5.0000E-02     1.3420E+05     2.6840E+06
    21     8.1873E+06  7.7880E+06     5.0000E-02     1.3840E+05     2.7680E+06
    22     7.7880E+06  7.4082E+06     5.0001E-02     1.4230E+05     2.8460E+06
    23     7.4082E+06  7.0469E+06     5.0000E-02     1.4610E+05     2.9220E+06
    24     7.0469E+06  6.7032E+06     5.0000E-02     1.4830E+05     2.9660E+06
    25     6.7032E+06  6.5924E+06     1.6666E-02     5.0570E+04     3.0343E+06
    26     6.5924E+06  6.3763E+06     3.3334E-02     1.0340E+05     3.1019E+06
    27     6.3763E+06  6.0653E+06     4.9999E-02     1.5620E+05     3.1240E+06
    28     6.0653E+06  5.7695E+06     5.0000E-02     1.5530E+05     3.1060E+06
    29     5.7695E+06  5.4881E+06     5.0000E-02     1.5460E+05     3.0920E+06
    30     5.4881E+06  5.2205E+06     5.0000E-02     1.5480E+05     3.0960E+06
    31     5.2205E+06  4.9658E+06     5.0001E-02     1.5730E+05     3.1459E+06
    32     4.9658E+06  4.7237E+06     4.9998E-02     1.6160E+05     3.2321E+06
    33     4.7237E+06  4.4933E+06     5.0001E-02     1.6750E+05     3.3499E+06
    34     4.4933E+06  4.0657E+06     9.9999E-02     3.4660E+05     3.4660E+06
    35     4.0657E+06  3.6788E+06     1.0000E-01     3.5120E+05     3.5119E+06
    36     3.6788E+06  3.3287E+06     9.9999E-02     3.5700E+05     3.5700E+06
    37     3.3287E+06  3.1664E+06     4.9999E-02     1.8370E+05     3.6741E+06
    38     3.1664E+06  3.0119E+06     5.0001E-02     1.9030E+05     3.8059E+06
    39     3.0119E+06  2.8650E+06     4.9999E-02     1.9750E+05     3.9501E+06
    40     2.8650E+06  2.7253E+06     5.0000E-02     2.0260E+05     4.0520E+06
    41     2.7253E+06  2.5924E+06     5.0002E-02     2.0510E+05     4.1019E+06
    42     2.5924E+06  2.4660E+06     4.9999E-02     2.0660E+05     4.1321E+06
    43     2.4660E+06  2.3851E+06     3.3332E-02     1.3840E+05     4.1522E+06
    44     2.3851E+06  2.3653E+06     8.3361E-03     3.5460E+04     4.2538E+06
    45     2.3653E+06  2.3457E+06     8.3337E-03     3.5630E+04     4.2754E+06
    46     2.3457E+06  2.3069E+06     1.6666E-02     7.2950E+04     4.3771E+06
    47     2.3069E+06  2.2313E+06     3.3333E-02     1.5290E+05     4.5870E+06
    48     2.2313E+06  2.1225E+06     4.9999E-02     2.4700E+05     4.9401E+06
    49     2.1225E+06  2.0190E+06     4.9998E-02     2.5710E+05     5.1422E+06
    50     2.0190E+06  1.9205E+06     5.0002E-02     2.6030E+05     5.2058E+06
    51     1.9205E+06  1.8268E+06     4.9998E-02     2.6060E+05     5.2122E+06
    52     1.8268E+06  1.7377E+06     5.0002E-02     2.6020E+05     5.2038E+06
    53     1.7377E+06  1.6530E+06     5.0000E-02     2.5860E+05     5.1720E+06
    54     1.6530E+06  1.5724E+06     5.0002E-02     2.5640E+05     5.1278E+06
    55     1.5724E+06  1.4957E+06     4.9996E-02     2.5440E+05     5.0884E+06
    56     1.4957E+06  1.4227E+06     5.0003E-02     2.5230E+05     5.0457E+06
    57     1.4227E+06  1.3534E+06     5.0002E-02     2.4960E+05     4.9918E+06
    58     1.3534E+06  1.2874E+06     4.9997E-02     2.4870E+05     4.9743E+06
    59     1.2874E+06  1.2246E+06     5.0004E-02     2.4820E+05     4.9636E+06
    60     1.2246E+06  1.1648E+06     4.9998E-02     2.5020E+05     5.0042E+06
    61     1.1648E+06  1.1080E+06     5.0000E-02     2.5220E+05     5.0440E+06
    62     1.1080E+06  1.0026E+06     9.9997E-02     5.0550E+05     5.0552E+06
    63     1.0026E+06  9.6167E+05     4.1668E-02     2.0980E+05     5.0350E+06
    64     9.6167E+05  9.0718E+05     5.8333E-02     2.9280E+05     5.0195E+06
    65     9.0718E+05  8.6294E+05     5.0000E-02     2.4590E+05     4.9180E+06
    66     8.6294E+05  8.2085E+05     5.0000E-02     2.4010E+05     4.8020E+06
    67     8.2085E+05  7.8082E+05     5.0000E-02     2.3240E+05     4.6480E+06
    68     7.8082E+05  7.4274E+05     5.0000E-02     2.2400E+05     4.4800E+06
    69     7.4274E+05  7.0651E+05     5.0000E-02     2.1570E+05     4.3140E+06
    70     7.0651E+05  6.7206E+05     5.0000E-02     2.0750E+05     4.1500E+06
    71     6.7206E+05  6.3928E+05     4.9999E-02     1.9950E+05     3.9901E+06
    72     6.3928E+05  6.0810E+05     5.0000E-02     1.9160E+05     3.8320E+06
    73     6.0810E+05  5.7844E+05     5.0001E-02     1.8380E+05     3.6759E+06
    74     5.7844E+05  5.5023E+05     5.0000E-02     1.7620E+05     3.5240E+06
    75     5.5023E+05  5.2340E+05     5.0000E-02     1.6930E+05     3.3860E+06
    76     5.2340E+05  4.9787E+05     4.9999E-02     1.6240E+05     3.2480E+06
    77     4.9787E+05  4.5049E+05     1.0000E-01     3.0110E+05     3.0110E+06
    78     4.5049E+05  4.0762E+05     1.0000E-01     2.7150E+05     2.7150E+06
    79     4.0762E+05  3.8774E+05     5.0000E-02     1.2560E+05     2.5120E+06
    80     3.8774E+05  3.6883E+05     4.9999E-02     1.1920E+05     2.3841E+06
    81     3.6883E+05  3.3373E+05     1.0000E-01     2.2050E+05     2.2050E+06
    82     3.3373E+05  3.0197E+05     1.0000E-01     1.9850E+05     1.9850E+06
    83     3.0197E+05  2.9849E+05     1.1601E-02     2.1620E+04     1.8636E+06
    84     2.9849E+05  2.9721E+05     4.2975E-03     8.0950E+03     1.8837E+06
    85     2.9721E+05  2.9452E+05     9.1022E-03     1.6680E+04     1.8325E+06
    86     2.9452E+05  2.8725E+05     2.5001E-02     4.5170E+04     1.8067E+06
    87     2.8725E+05  2.7324E+05     4.9999E-02     8.6690E+04     1.7338E+06
    88     2.7324E+05  2.4724E+05     1.0000E-01     1.5830E+05     1.5830E+06
    89     2.4724E+05  2.3518E+05     5.0001E-02     7.2490E+04     1.4498E+06
    90     2.3518E+05  2.2371E+05     4.9997E-02     6.8500E+04     1.3701E+06
    91     2.2371E+05  2.1280E+05     5.0003E-02     6.4810E+04     1.2961E+06
    92     2.1280E+05  2.0242E+05     4.9999E-02     6.1350E+04     1.2270E+06
    93     2.0242E+05  1.9255E+05     5.0000E-02     5.8050E+04     1.1610E+06
    94     1.9255E+05  1.8316E+05     5.0002E-02     5.4950E+04     1.0990E+06
    95     1.8316E+05  1.7422E+05     4.9996E-02     5.2070E+04     1.0415E+06
    96     1.7422E+05  1.6573E+05     5.0000E-02     4.9210E+04     9.8420E+05
    97     1.6573E+05  1.5764E+05     5.0003E-02     4.6660E+04     9.3315E+05
    98     1.5764E+05  1.4996E+05     4.9997E-02     4.4090E+04     8.8185E+05
    99     1.4996E+05  1.4264E+05     5.0004E-02     4.1800E+04     8.3593E+05
   100     1.4264E+05  1.3569E+05     4.9995E-02     3.9470E+04     7.8949E+05
   101     1.3569E+05  1.2907E+05     5.0004E-02     3.7420E+04     7.4834E+05
   102     1.2907E+05  1.2277E+05     5.0002E-02     3.5440E+04     7.0877E+05
   103     1.2277E+05  1.1679E+05     4.9994E-02     3.3480E+04     6.6968E+05
   104     1.1679E+05  1.1109E+05     5.0003E-02     3.1700E+04     6.3397E+05
   105     1.1109E+05  9.8036E+04     1.2500E-01     7.1730E+04     5.7384E+05
   106     9.8036E+04  8.6517E+04     1.2500E-01     6.2370E+04     4.9896E+05
   107     8.6517E+04  8.2503E+04     4.7501E-02     2.1690E+04     4.5662E+05
   108     8.2503E+04  7.9499E+04     3.7099E-02     1.6180E+04     4.3613E+05
   109     7.9499E+04  7.2024E+04     9.8734E-02     4.0370E+04     4.0888E+05
   110     7.2024E+04  6.7380E+04     6.6666E-02     2.4760E+04     3.7141E+05
   111     6.7380E+04  5.6562E+04     1.7500E-01     5.7380E+04     3.2789E+05
   112     5.6562E+04  5.2475E+04     7.5000E-02     2.1390E+04     2.8520E+05
   113     5.2475E+04  4.6309E+04     1.2500E-01     3.1930E+04     2.5544E+05
   114     4.6309E+04  4.0868E+04     1.2500E-01     2.8430E+04     2.2744E+05
   115     4.0868E+04  3.4307E+04     1.7500E-01     3.5410E+04     2.0234E+05
   116     3.4307E+04  3.1828E+04     7.5001E-02     1.3690E+04     1.8253E+05
   117     3.1828E+04  2.8501E+04     1.1040E-01     1.8790E+04     1.7020E+05
   118     2.8501E+04  2.7000E+04     5.4102E-02     8.7150E+03     1.6108E+05
   119     2.7000E+04  2.6058E+04     3.5500E-02     5.6180E+03     1.5825E+05
   120     2.6058E+04  2.4788E+04     5.0001E-02     7.6950E+03     1.5390E+05
   121     2.4788E+04  2.4176E+04     2.5000E-02     3.7500E+03     1.5000E+05
   122     2.4176E+04  2.3579E+04     2.5000E-02     3.6800E+03     1.4720E+05
   123     2.3579E+04  2.1875E+04     7.5000E-02     1.0590E+04     1.4120E+05
   124     2.1875E+04  1.9304E+04     1.2500E-01     1.6230E+04     1.2984E+05
   125     1.9304E+04  1.5034E+04     2.5000E-01     2.8250E+04     1.1300E+05
   126     1.5034E+04  1.1709E+04     2.5000E-01     2.4300E+04     9.7200E+04
   127     1.1709E+04  1.0595E+04     9.9996E-02     8.7150E+03     8.7153E+04
   128     1.0595E+04  9.1188E+03     1.5000E-01     1.1990E+04     7.9931E+04
   129     9.1188E+03  7.1017E+03     2.5000E-01     1.7450E+04     6.9800E+04
   130     7.1017E+03  5.5308E+03     2.5000E-01     1.4710E+04     5.8840E+04
   131     5.5308E+03  4.3074E+03     2.5000E-01     1.2570E+04     5.0280E+04
   132     4.3074E+03  3.7074E+03     1.5000E-01     6.7190E+03     4.4794E+04
   133     3.7074E+03  3.3546E+03     1.0000E-01     4.1820E+03     4.1820E+04
   134     3.3546E+03  3.0354E+03     1.0000E-01     3.9850E+03     3.9849E+04
   135     3.0354E+03  2.7465E+03     9.9998E-02     3.8400E+03     3.8401E+04
   136     2.7465E+03  2.6126E+03     5.0000E-02     1.8620E+03     3.7240E+04
   137     2.6126E+03  2.4852E+03     5.0001E-02     1.7780E+03     3.5559E+04
   138     2.4852E+03  2.2487E+03     1.0000E-01     3.3290E+03     3.3289E+04
   139     2.2487E+03  2.0347E+03     1.0000E-01     3.0430E+03     3.0430E+04
   140     2.0347E+03  1.5846E+03     2.5000E-01     6.4430E+03     2.5772E+04
   141     1.5846E+03  1.2341E+03     2.5000E-01     5.5840E+03     2.2336E+04
   142     1.2341E+03  9.6112E+02     2.5000E-01     4.7900E+03     1.9160E+04
   143     9.6112E+02  7.4852E+02     2.5000E-01     4.0400E+03     1.6160E+04
   144     7.4852E+02  5.8295E+02     2.5000E-01     3.6710E+03     1.4684E+04
   145     5.8295E+02  4.5400E+02     2.5000E-01     3.4210E+03     1.3684E+04
   146     4.5400E+02  3.5357E+02     2.5000E-01     2.9550E+03     1.1820E+04
   147     3.5357E+02  2.7536E+02     2.5000E-01     2.4680E+03     9.8719E+03
