  GROUP      UPPER       LOWER         LETHARGY         DATA        DATA/LETHARGY

     1     1.8000E+07  1.7500E+07     2.8171E-02     4.6019E+08     1.6336E+10
     2     1.7500E+07  1.7000E+07     2.8988E-02     6.7672E+08     2.3345E+10
     3     1.7000E+07  1.6500E+07     2.9853E-02     9.9582E+08     3.3357E+10
     4     1.6500E+07  1.6000E+07     3.0772E-02     1.4666E+09     4.7661E+10
     5     1.6000E+07  1.5500E+07     3.1749E-02     2.1607E+09     6.8056E+10
     6     1.5500E+07  1.5000E+07     3.2790E-02     3.1853E+09     9.7143E+10
     7     1.5000E+07  1.4500E+07     3.3902E-02     4.7008E+09     1.3866E+11
     8     1.4500E+07  1.4000E+07     3.5091E-02     6.9410E+09     1.9780E+11
     9     1.4000E+07  1.3500E+07     3.6368E-02     1.0256E+10     2.8201E+11
    10     1.3500E+07  1.3000E+07     3.7740E-02     1.5166E+10     4.0185E+11
    11     1.3000E+07  1.2500E+07     3.9221E-02     2.2436E+10     5.7204E+11
    12     1.2500E+07  1.2000E+07     4.0822E-02     3.3228E+10     8.1397E+11
    13     1.2000E+07  1.1500E+07     4.2560E-02     4.9223E+10     1.1566E+12
    14     1.1500E+07  1.1000E+07     4.4452E-02     7.2954E+10     1.6412E+12
    15     1.1000E+07  1.0500E+07     4.6520E-02     1.0818E+11     2.3255E+12
    16     1.0500E+07  1.0000E+07     4.8790E-02     1.6040E+11     3.2875E+12
    17     1.0000E+07  9.8000E+06     2.0203E-02     8.4564E+10     4.1858E+12
    18     9.8000E+06  9.6000E+06     2.0619E-02     9.9014E+10     4.8020E+12
    19     9.6000E+06  9.4000E+06     2.1053E-02     1.1596E+11     5.5079E+12
    20     9.4000E+06  9.2000E+06     2.1506E-02     1.3573E+11     6.3112E+12
    21     9.2000E+06  9.0000E+06     2.1979E-02     1.5890E+11     7.2297E+12
    22     9.0000E+06  8.8000E+06     2.2473E-02     1.8603E+11     8.2780E+12
    23     8.8000E+06  8.6000E+06     2.2990E-02     2.1775E+11     9.4717E+12
    24     8.6000E+06  8.4000E+06     2.3530E-02     2.5487E+11     1.0831E+13
    25     8.4000E+06  8.2000E+06     2.4098E-02     2.9822E+11     1.2376E+13
    26     8.2000E+06  8.0000E+06     2.4693E-02     3.4893E+11     1.4131E+13
    27     8.0000E+06  7.8000E+06     2.5318E-02     4.0814E+11     1.6121E+13
