  GROUP      UPPER       LOWER         LETHARGY         DATA        DATA/LETHARGY

     1     1.9900E+07  1.9650E+07     1.2642E-02     3.3930E+06     2.6838E+08
     2     1.9650E+07  1.9400E+07     1.2804E-02     4.0170E+06     3.1372E+08
     3     1.9400E+07  1.9150E+07     1.2970E-02     4.7460E+06     3.6591E+08
     4     1.9150E+07  1.8900E+07     1.3141E-02     5.6080E+06     4.2676E+08
     5     1.8900E+07  1.8650E+07     1.3316E-02     6.6360E+06     4.9836E+08
     6     1.8650E+07  1.8400E+07     1.3495E-02     7.8410E+06     5.8101E+08
     7     1.8400E+07  1.8150E+07     1.3680E-02     9.3180E+06     6.8114E+08
     8     1.8150E+07  1.7900E+07     1.3870E-02     1.0990E+07     7.9237E+08
     9     1.7900E+07  1.7650E+07     1.4065E-02     1.2920E+07     9.1860E+08
    10     1.7650E+07  1.7400E+07     1.4266E-02     1.5300E+07     1.0725E+09
    11     1.7400E+07  1.7150E+07     1.4472E-02     1.8110E+07     1.2514E+09
    12     1.7150E+07  1.6900E+07     1.4685E-02     2.1460E+07     1.4614E+09
    13     1.6900E+07  1.6650E+07     1.4903E-02     2.5330E+07     1.6996E+09
    14     1.6650E+07  1.6400E+07     1.5129E-02     2.9990E+07     1.9823E+09
    15     1.6400E+07  1.6150E+07     1.5361E-02     3.5450E+07     2.3077E+09
    16     1.6150E+07  1.5900E+07     1.5601E-02     4.1880E+07     2.6845E+09
    17     1.5900E+07  1.5650E+07     1.5848E-02     4.9550E+07     3.1265E+09
    18     1.5650E+07  1.5400E+07     1.6103E-02     5.8640E+07     3.6415E+09
    19     1.5400E+07  1.5150E+07     1.6367E-02     6.9310E+07     4.2347E+09
    20     1.5150E+07  1.4900E+07     1.6639E-02     8.2040E+07     4.9305E+09
    21     1.4900E+07  1.4650E+07     1.6921E-02     9.6980E+07     5.7314E+09
    22     1.4650E+07  1.4400E+07     1.7212E-02     1.1470E+08     6.6639E+09
    23     1.4400E+07  1.4150E+07     1.7514E-02     1.3590E+08     7.7597E+09
    24     1.4150E+07  1.3900E+07     1.7826E-02     1.6080E+08     9.0206E+09
    25     1.3900E+07  1.3650E+07     1.8149E-02     1.9010E+08     1.0474E+10
    26     1.3650E+07  1.3400E+07     1.8485E-02     2.2480E+08     1.2161E+10
    27     1.3400E+07  1.3150E+07     1.8833E-02     2.6680E+08     1.4167E+10
