  GROUP      UPPER       LOWER         LETHARGY         DATA        DATA/LETHARGY

     1     1.9640E+07  1.7332E+07     1.2500E-01     4.5364E-10     3.6291E-09
     2     1.7332E+07  1.6905E+07     2.4998E-02     1.0428E-10     4.1716E-09
     3     1.6905E+07  1.6487E+07     2.5001E-02     1.0818E-10     4.3269E-09
     4     1.6487E+07  1.5683E+07     5.0001E-02     2.4064E-10     4.8127E-09
     5     1.5683E+07  1.4918E+07     5.0002E-02     2.4455E-10     4.8908E-09
     6     1.4918E+07  1.4550E+07     2.4998E-02     1.2352E-10     4.9412E-09
     7     1.4550E+07  1.4191E+07     2.4997E-02     1.2425E-10     4.9705E-09
     8     1.4191E+07  1.3840E+07     2.5002E-02     1.2678E-10     5.0708E-09
     9     1.3840E+07  1.3499E+07     2.4999E-02     1.3028E-10     5.2115E-09
    10     1.3499E+07  1.2840E+07     4.9997E-02     2.6531E-10     5.3065E-09
    11     1.2840E+07  1.2523E+07     2.5006E-02     1.3677E-10     5.4695E-09
    12     1.2523E+07  1.2214E+07     2.5000E-02     1.4137E-10     5.6548E-09
    13     1.2214E+07  1.1618E+07     5.0001E-02     3.0293E-10     6.0584E-09
    14     1.1618E+07  1.1052E+07     4.9997E-02     3.2392E-10     6.4788E-09
    15     1.1052E+07  1.0513E+07     5.0000E-02     3.4257E-10     6.8514E-09
    16     1.0513E+07  1.0000E+07     4.9999E-02     3.5506E-10     7.1013E-09
    17     1.0000E+07  9.5123E+06     5.0000E-02     3.6877E-10     7.3753E-09
    18     9.5123E+06  9.0484E+06     5.0000E-02     3.8197E-10     7.6394E-09
    19     9.0484E+06  8.6071E+06     5.0000E-02     3.9700E-10     7.9401E-09
    20     8.6071E+06  8.1873E+06     5.0000E-02     4.1488E-10     8.2976E-09
    21     8.1873E+06  7.7880E+06     5.0000E-02     4.1454E-10     8.2908E-09
    22     7.7880E+06  7.4082E+06     5.0001E-02     4.1233E-10     8.2465E-09
    23     7.4082E+06  7.0469E+06     5.0000E-02     4.0822E-10     8.1644E-09
    24     7.0469E+06  6.7032E+06     5.0000E-02     3.9852E-10     7.9704E-09
    25     6.7032E+06  6.5924E+06     1.6666E-02     1.2966E-10     7.7799E-09
    26     6.5924E+06  6.3763E+06     3.3334E-02     2.5931E-10     7.7791E-09
    27     6.3763E+06  6.0653E+06     4.9999E-02     3.8071E-10     7.6143E-09
    28     6.0653E+06  5.7695E+06     5.0000E-02     3.6590E-10     7.3180E-09
    29     5.7695E+06  5.4881E+06     5.0000E-02     3.5196E-10     7.0392E-09
    30     5.4881E+06  5.2205E+06     5.0000E-02     3.3871E-10     6.7742E-09
    31     5.2205E+06  4.9658E+06     5.0001E-02     3.2735E-10     6.5469E-09
    32     4.9658E+06  4.7237E+06     4.9998E-02     3.1692E-10     6.3386E-09
    33     4.7237E+06  4.4933E+06     5.0001E-02     3.0371E-10     6.0741E-09
    34     4.4933E+06  4.0657E+06     9.9999E-02     5.7018E-10     5.7018E-09
    35     4.0657E+06  3.6788E+06     1.0000E-01     5.2446E-10     5.2445E-09
    36     3.6788E+06  3.3287E+06     9.9999E-02     4.8599E-10     4.8599E-09
    37     3.3287E+06  3.1664E+06     4.9999E-02     2.2573E-10     4.5147E-09
    38     3.1664E+06  3.0119E+06     5.0001E-02     2.1805E-10     4.3609E-09
    39     3.0119E+06  2.8650E+06     4.9999E-02     2.0569E-10     4.1139E-09
    40     2.8650E+06  2.7253E+06     5.0000E-02     1.9763E-10     3.9526E-09
    41     2.7253E+06  2.5924E+06     5.0002E-02     2.0655E-10     4.1309E-09
    42     2.5924E+06  2.4660E+06     4.9999E-02     2.1255E-10     4.2511E-09
    43     2.4660E+06  2.3851E+06     3.3332E-02     1.3877E-10     4.1633E-09
    44     2.3851E+06  2.3653E+06     8.3361E-03     3.4413E-11     4.1282E-09
    45     2.3653E+06  2.3457E+06     8.3337E-03     3.4336E-11     4.1201E-09
    46     2.3457E+06  2.3069E+06     1.6666E-02     6.6250E-11     3.9751E-09
    47     2.3069E+06  2.2313E+06     3.3333E-02     1.3407E-10     4.0221E-09
    48     2.2313E+06  2.1225E+06     4.9999E-02     1.9627E-10     3.9255E-09
    49     2.1225E+06  2.0190E+06     4.9998E-02     1.8913E-10     3.7828E-09
    50     2.0190E+06  1.9205E+06     5.0002E-02     1.8295E-10     3.6589E-09
    51     1.9205E+06  1.8268E+06     4.9998E-02     1.7737E-10     3.5476E-09
    52     1.8268E+06  1.7377E+06     5.0002E-02     1.6984E-10     3.3966E-09
    53     1.7377E+06  1.6530E+06     5.0000E-02     1.6145E-10     3.2290E-09
    54     1.6530E+06  1.5724E+06     5.0002E-02     1.5441E-10     3.0881E-09
    55     1.5724E+06  1.4957E+06     4.9996E-02     1.4915E-10     2.9832E-09
    56     1.4957E+06  1.4227E+06     5.0003E-02     1.4123E-10     2.8244E-09
    57     1.4227E+06  1.3534E+06     5.0002E-02     1.3590E-10     2.7179E-09
    58     1.3534E+06  1.2874E+06     4.9997E-02     1.2905E-10     2.5811E-09
    59     1.2874E+06  1.2246E+06     5.0004E-02     1.2409E-10     2.4816E-09
    60     1.2246E+06  1.1648E+06     4.9998E-02     1.1762E-10     2.3525E-09
    61     1.1648E+06  1.1080E+06     5.0000E-02     1.1069E-10     2.2138E-09
    62     1.1080E+06  1.0026E+06     9.9997E-02     2.0656E-10     2.0657E-09
    63     1.0026E+06  9.6167E+05     4.1668E-02     8.1190E-11     1.9485E-09
    64     9.6167E+05  9.0718E+05     5.8333E-02     1.0609E-10     1.8187E-09
    65     9.0718E+05  8.6294E+05     5.0000E-02     8.9791E-11     1.7958E-09
    66     8.6294E+05  8.2085E+05     5.0000E-02     8.5051E-11     1.7010E-09
    67     8.2085E+05  7.8082E+05     5.0000E-02     7.7770E-11     1.5554E-09
    68     7.8082E+05  7.4274E+05     5.0000E-02     8.1633E-11     1.6327E-09
    69     7.4274E+05  7.0651E+05     5.0000E-02     7.7024E-11     1.5405E-09
    70     7.0651E+05  6.7206E+05     5.0000E-02     7.2830E-11     1.4566E-09
    71     6.7206E+05  6.3928E+05     4.9999E-02     6.5159E-11     1.3032E-09
    72     6.3928E+05  6.0810E+05     5.0000E-02     5.3198E-11     1.0640E-09
    73     6.0810E+05  5.7844E+05     5.0001E-02     5.7276E-11     1.1455E-09
    74     5.7844E+05  5.5023E+05     5.0000E-02     5.7795E-11     1.1559E-09
    75     5.5023E+05  5.2340E+05     5.0000E-02     5.4613E-11     1.0923E-09
    76     5.2340E+05  4.9787E+05     4.9999E-02     5.1886E-11     1.0377E-09
    77     4.9787E+05  4.5049E+05     1.0000E-01     1.0007E-10     1.0007E-09
    78     4.5049E+05  4.0762E+05     1.0000E-01     9.2135E-11     9.2135E-10
    79     4.0762E+05  3.8774E+05     5.0000E-02     4.0409E-11     8.0818E-10
    80     3.8774E+05  3.6883E+05     4.9999E-02     4.2757E-11     8.5516E-10
    81     3.6883E+05  3.3373E+05     1.0000E-01     7.4308E-11     7.4308E-10
    82     3.3373E+05  3.0197E+05     1.0000E-01     6.4832E-11     6.4832E-10
    83     3.0197E+05  2.9849E+05     1.1601E-02     9.7202E-12     8.3787E-10
    84     2.9849E+05  2.9721E+05     4.2975E-03     3.0909E-12     7.1924E-10
    85     2.9721E+05  2.9452E+05     9.1022E-03     6.9612E-12     7.6478E-10
