#
# Reference Number = 2408 Incident Particle: neutron  imodel=1
# Target: Z= 90 A= 232 Number of energies= 130
# Type potential: rotational   dispersive+SO(Anal.Integr.)  relativ.Schoedr.
# First Author: R.Capote      
# Z-Range=90- 97  A-Range=228-249  E-Range=   0.001- 200.000 MeV         Ef = -5.612
# ncoll= 5 lmax= 8 ndef= 6 K= 0.0 betas:  0.213   0.069   0.002
# WARNING: V = VHF + DWV for dispersive potentials
# En(MeV)   V     RV     AV      DWV     W      RW     AW      VD     RVD    AVD     WD     RWD    AWD     VSO    RVSO   AVSO    WSO    RWSO   AWSO   VHFpn    WSpn     DVSpn     WVpn    DVVpn   V(Lane)  W(Lane)    VHF
  0.001  44.710 1.2598 0.6240  0.9535  0.0600 1.2530 0.6780  3.4050 1.1808 0.6000  2.2071 1.1808 0.6000  5.7545 1.1214 0.5900 -0.0038 1.1214 0.5900  -0.586   -0.259   -0.399    0.000    0.000   -9.435   -4.162   43.756
  0.002  44.709 1.2598 0.6240  0.9537  0.0600 1.2530 0.6780  3.4053 1.1808 0.6000  2.2077 1.1808 0.6000  5.7544 1.1214 0.5900 -0.0038 1.1214 0.5900  -0.586   -0.259   -0.399    0.000    0.000   -9.434   -4.163   43.756
  0.003  44.709 1.2598 0.6240  0.9539  0.0600 1.2530 0.6780  3.4055 1.1808 0.6000  2.2083 1.1808 0.6000  5.7544 1.1214 0.5900 -0.0038 1.1214 0.5900  -0.586   -0.259   -0.399    0.000    0.000   -9.434   -4.164   43.755
  0.004  44.709 1.2598 0.6240  0.9540  0.0600 1.2530 0.6780  3.4058 1.1808 0.6000  2.2089 1.1808 0.6000  5.7543 1.1214 0.5900 -0.0038 1.1214 0.5900  -0.586   -0.259   -0.399    0.000    0.000   -9.434   -4.165   43.755
  0.005  44.708 1.2598 0.6240  0.9542  0.0601 1.2530 0.6780  3.4061 1.1808 0.6000  2.2095 1.1808 0.6000  5.7543 1.1214 0.5900 -0.0038 1.1214 0.5900  -0.586   -0.259   -0.399    0.000    0.000   -9.434   -4.166   43.754
  0.006  44.708 1.2598 0.6240  0.9544  0.0601 1.2530 0.6780  3.4064 1.1808 0.6000  2.2101 1.1808 0.6000  5.7542 1.1214 0.5900 -0.0038 1.1214 0.5900  -0.586   -0.259   -0.399    0.000    0.000   -9.434   -4.167   43.754
  0.007  44.708 1.2598 0.6240  0.9545  0.0601 1.2530 0.6780  3.4066 1.1808 0.6000  2.2107 1.1808 0.6000  5.7542 1.1214 0.5900 -0.0038 1.1214 0.5900  -0.586   -0.259   -0.399    0.000    0.000   -9.434   -4.169   43.753
  0.008  44.708 1.2598 0.6240  0.9547  0.0601 1.2530 0.6780  3.4069 1.1808 0.6000  2.2113 1.1808 0.6000  5.7541 1.1214 0.5900 -0.0038 1.1214 0.5900  -0.586   -0.259   -0.399    0.000    0.000   -9.434   -4.170   43.753
  0.009  44.707 1.2598 0.6240  0.9549  0.0601 1.2530 0.6780  3.4072 1.1808 0.6000  2.2119 1.1808 0.6000  5.7541 1.1214 0.5900 -0.0038 1.1214 0.5900  -0.586   -0.259   -0.399    0.000    0.000   -9.434   -4.171   43.752
  0.010  44.707 1.2598 0.6240  0.9550  0.0602 1.2530 0.6780  3.4074 1.1808 0.6000  2.2125 1.1808 0.6000  5.7541 1.1214 0.5900 -0.0038 1.1214 0.5900  -0.586   -0.259   -0.399    0.000    0.000   -9.434   -4.172   43.752
  0.020  44.704 1.2598 0.6240  0.9567  0.0604 1.2530 0.6780  3.4102 1.1808 0.6000  2.2186 1.1808 0.6000  5.7536 1.1214 0.5900 -0.0038 1.1214 0.5900  -0.586   -0.260   -0.400    0.000    0.000   -9.433   -4.183   43.747
  0.030  44.701 1.2598 0.6240  0.9584  0.0606 1.2530 0.6780  3.4129 1.1808 0.6000  2.2247 1.1808 0.6000  5.7531 1.1214 0.5900 -0.0039 1.1214 0.5900  -0.586   -0.261   -0.400    0.000    0.000   -9.432   -4.195   43.743
  0.040  44.698 1.2598 0.6240  0.9601  0.0608 1.2530 0.6780  3.4156 1.1808 0.6000  2.2308 1.1808 0.6000  5.7526 1.1214 0.5900 -0.0039 1.1214 0.5900  -0.586   -0.261   -0.400    0.000    0.000   -9.431   -4.206   43.738
  0.050  44.696 1.2598 0.6240  0.9618  0.0610 1.2530 0.6780  3.4182 1.1808 0.6000  2.2368 1.1808 0.6000  5.7521 1.1214 0.5900 -0.0039 1.1214 0.5900  -0.586   -0.262   -0.401    0.000    0.000   -9.430   -4.218   43.734
  0.060  44.693 1.2598 0.6240  0.9635  0.0612 1.2530 0.6780  3.4209 1.1808 0.6000  2.2429 1.1808 0.6000  5.7516 1.1214 0.5900 -0.0039 1.1214 0.5900  -0.586   -0.263   -0.401    0.000    0.000   -9.429   -4.229   43.729
  0.070  44.690 1.2598 0.6240  0.9651  0.0615 1.2530 0.6780  3.4236 1.1808 0.6000  2.2490 1.1808 0.6000  5.7511 1.1214 0.5900 -0.0039 1.1214 0.5900  -0.586   -0.264   -0.401    0.000    0.000   -9.428   -4.241   43.725
  0.080  44.687 1.2598 0.6240  0.9668  0.0617 1.2530 0.6780  3.4262 1.1808 0.6000  2.2551 1.1808 0.6000  5.7506 1.1214 0.5900 -0.0039 1.1214 0.5900  -0.586   -0.264   -0.402    0.000    0.000   -9.427   -4.252   43.720
  0.090  44.684 1.2598 0.6240  0.9685  0.0619 1.2530 0.6780  3.4288 1.1808 0.6000  2.2611 1.1808 0.6000  5.7502 1.1214 0.5900 -0.0039 1.1214 0.5900  -0.586   -0.265   -0.402    0.000    0.000   -9.426   -4.264   43.716
  0.100  44.681 1.2598 0.6240  0.9702  0.0621 1.2530 0.6780  3.4315 1.1808 0.6000  2.2672 1.1808 0.6000  5.7497 1.1214 0.5900 -0.0039 1.1214 0.5900  -0.586   -0.266   -0.402    0.000    0.000   -9.425   -4.275   43.711
  0.200  44.653 1.2598 0.6240  0.9870  0.0643 1.2530 0.6780  3.4570 1.1808 0.6000  2.3280 1.1808 0.6000  5.7448 1.1214 0.5900 -0.0041 1.1214 0.5900  -0.585   -0.273   -0.405    0.000    0.000   -9.415   -4.390   43.666
  0.300  44.624 1.2598 0.6240  1.0039  0.0665 1.2530 0.6780  3.4812 1.1808 0.6000  2.3889 1.1808 0.6000  5.7400 1.1214 0.5900 -0.0042 1.1214 0.5900  -0.585   -0.280   -0.408    0.000    0.000   -9.405   -4.505   43.621
  0.400  44.596 1.2598 0.6240  1.0207  0.0688 1.2530 0.6780  3.5043 1.1808 0.6000  2.4498 1.1808 0.6000  5.7351 1.1214 0.5900 -0.0044 1.1214 0.5900  -0.584   -0.287   -0.411    0.000    0.000   -9.396   -4.619   43.575
