                    ************************************************************************************************
                    *  Z= 43 A=100: Positive-Parity Spin-dependent Level Density [MeV-1] for Tc100 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.125  6.97E+00 2.79E+01 2.28E+02 1.29E+00 3.52E+00 4.87E+00 5.15E+00 4.55E+00 3.48E+00 2.35E+00 1.41E+00 7.54E-01 3.63E-01 1.57E-01 6.15E-02 2.17E-02 6.96E-03 2.01E-03 5.29E-04 1.26E-04 2.72E-05 5.33E-06 9.49E-07 1.53E-07 2.25E-08 3.01E-09 3.65E-10 4.02E-11 4.03E-12 3.68E-13 3.05E-14 2.30E-15 1.57E-16
   0.50  0.177  1.70E+01 4.01E+01 3.28E+02 1.85E+00 5.07E+00 7.00E+00 7.40E+00 6.55E+00 5.01E+00 3.38E+00 2.02E+00 1.08E+00 5.22E-01 2.26E-01 8.85E-02 3.13E-02 1.00E-02 2.90E-03 7.61E-04 1.81E-04 3.91E-05 7.67E-06 1.36E-06 2.21E-07 3.24E-08 4.33E-09 5.25E-10 5.79E-11 5.80E-12 5.29E-13 4.38E-14 3.30E-15 2.26E-16
   0.75  0.217  3.14E+01 5.77E+01 4.84E+02 2.54E+00 6.97E+00 9.72E+00 1.04E+01 9.38E+00 7.34E+00 5.08E+00 3.14E+00 1.75E+00 8.75E-01 3.97E-01 1.63E-01 6.08E-02 2.06E-02 6.35E-03 1.78E-03 4.56E-04 1.06E-04 2.26E-05 4.38E-06 7.75E-07 1.25E-07 1.84E-08 2.48E-09 3.04E-10 3.41E-11 3.49E-12 3.26E-13 2.79E-14 2.18E-15
   1.00  0.251  5.21E+01 8.29E+01 7.13E+02 3.49E+00 9.61E+00 1.35E+01 1.47E+01 1.34E+01 1.07E+01 7.60E+00 4.84E+00 2.78E+00 1.44E+00 6.82E-01 2.93E-01 1.15E-01 4.11E-02 1.34E-02 4.01E-03 1.10E-03 2.74E-04 6.27E-05 1.31E-05 2.52E-06 4.44E-07 7.16E-08 1.06E-08 1.43E-09 1.78E-10 2.03E-11 2.12E-12 2.03E-13 1.79E-14
   1.25  0.280  8.19E+01 1.19E+02 1.05E+03 4.80E+00 1.33E+01 1.88E+01 2.06E+01 1.92E+01 1.56E+01 1.13E+01 7.39E+00 4.37E+00 2.35E+00 1.15E+00 5.17E-01 2.12E-01 7.96E-02 2.74E-02 8.65E-03 2.51E-03 6.69E-04 1.64E-04 3.69E-05 7.63E-06 1.45E-06 2.54E-07 4.10E-08 6.08E-09 8.29E-10 1.04E-10 1.21E-11 1.28E-12 1.26E-13
   1.50  0.307  1.25E+02 1.71E+02 1.54E+03 6.61E+00 1.83E+01 2.62E+01 2.90E+01 2.73E+01 2.26E+01 1.68E+01 1.12E+01 6.82E+00 3.78E+00 1.92E+00 8.93E-01 3.82E-01 1.50E-01 5.41E-02 1.80E-02 5.52E-03 1.56E-03 4.06E-04 9.75E-05 2.16E-05 4.42E-06 8.35E-07 1.46E-07 2.35E-08 3.49E-09 4.79E-10 6.08E-11 7.13E-12 7.73E-13
   1.75  0.331  1.86E+02 2.47E+02 2.26E+03 9.12E+00 2.54E+01 3.65E+01 4.08E+01 3.89E+01 3.27E+01 2.47E+01 1.69E+01 1.05E+01 6.02E+00 3.15E+00 1.52E+00 6.74E-01 2.76E-01 1.04E-01 3.63E-02 1.17E-02 3.49E-03 9.61E-04 2.45E-04 5.79E-05 1.27E-05 2.56E-06 4.81E-07 8.35E-08 1.34E-08 2.00E-09 2.77E-10 3.55E-11 4.21E-12
   2.00  0.354  2.75E+02 3.55E+02 3.32E+03 1.26E+01 3.52E+01 5.08E+01 5.74E+01 5.54E+01 4.73E+01 3.63E+01 2.54E+01 1.62E+01 9.49E+00 5.12E+00 2.54E+00 1.17E+00 4.97E-01 1.95E-01 7.12E-02 2.40E-02 7.53E-03 2.19E-03 5.89E-04 1.48E-04 3.43E-05 7.40E-06 1.48E-06 2.76E-07 4.78E-08 7.69E-09 1.15E-09 1.60E-10 2.06E-11
