                    ************************************************************************************************
                    *  Z= 43 A= 99: Positive-Parity Spin-dependent Level Density [MeV-1] for Tc 99 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.128  2.06E+00 8.26E+00 5.17E+01 1.22E+00 1.92E+00 1.93E+00 1.47E+00 8.91E-01 4.43E-01 1.82E-01 6.24E-02 1.80E-02 4.34E-03 8.86E-04 1.53E-04 2.23E-05 2.75E-06 2.88E-07 2.55E-08 1.92E-09 1.23E-10 6.65E-12 3.07E-13 1.20E-14 3.99E-16 1.13E-17 2.71E-19 5.55E-21 9.65E-23 1.43E-24 1.79E-26 1.92E-28 1.75E-30
   0.50  0.182  4.92E+00 1.14E+01 7.16E+01 1.69E+00 2.66E+00 2.67E+00 2.03E+00 1.24E+00 6.13E-01 2.52E-01 8.65E-02 2.49E-02 6.02E-03 1.23E-03 2.12E-04 3.09E-05 3.81E-06 3.99E-07 3.54E-08 2.66E-09 1.70E-10 9.22E-12 4.25E-13 1.66E-14 5.53E-16 1.56E-17 3.76E-19 7.69E-21 1.34E-22 1.98E-24 2.48E-26 2.66E-28 2.42E-30
   0.75  0.222  8.89E+00 1.59E+01 9.92E+01 2.35E+00 3.69E+00 3.71E+00 2.82E+00 1.71E+00 8.50E-01 3.49E-01 1.20E-01 3.45E-02 8.34E-03 1.70E-03 2.93E-04 4.28E-05 5.28E-06 5.52E-07 4.90E-08 3.69E-09 2.36E-10 1.28E-11 5.89E-13 2.30E-14 7.67E-16 2.17E-17 5.21E-19 1.07E-20 1.85E-22 2.74E-24 3.44E-26 3.68E-28 3.35E-30
   1.00  0.257  1.44E+01 2.20E+01 1.40E+02 3.16E+00 5.01E+00 5.09E+00 3.94E+00 2.44E+00 1.24E+00 5.28E-01 1.88E-01 5.62E-02 1.42E-02 3.05E-03 5.56E-04 8.61E-05 1.13E-05 1.27E-06 1.21E-07 9.88E-09 6.86E-10 4.06E-11 2.05E-12 8.87E-14 3.27E-15 1.03E-16 2.77E-18 6.36E-20 1.25E-21 2.09E-23 3.00E-25 3.68E-27 3.85E-29
   1.25  0.287  2.20E+01 3.04E+01 2.03E+02 4.03E+00 6.51E+00 6.84E+00 5.55E+00 3.66E+00 2.01E+00 9.33E-01 3.68E-01 1.24E-01 3.57E-02 8.84E-03 1.88E-03 3.46E-04 5.48E-05 7.50E-06 8.85E-07 9.04E-08 7.98E-09 6.09E-10 4.02E-11 2.30E-12 1.14E-13 4.87E-15 1.81E-16 5.81E-18 1.62E-19 3.90E-21 8.16E-23 1.48E-24 2.32E-26
   1.50  0.315  3.25E+01 4.22E+01 2.93E+02 5.16E+00 8.48E+00 9.18E+00 7.75E+00 5.39E+00 3.15E+00 1.58E+00 6.76E-01 2.51E-01 8.07E-02 2.26E-02 5.49E-03 1.16E-03 2.15E-04 3.48E-05 4.90E-06 6.05E-07 6.53E-08 6.16E-09 5.09E-10 3.68E-11 2.33E-12 1.29E-13 6.29E-15 2.68E-16 1.00E-17 3.27E-19 9.37E-21 2.35E-22 5.18E-24
   1.75  0.340  4.71E+01 5.85E+01 4.22E+02 6.64E+00 1.11E+01 1.23E+01 1.07E+01 7.80E+00 4.82E+00 2.57E+00 1.19E+00 4.78E-01 1.69E-01 5.22E-02 1.42E-02 3.40E-03 7.18E-04 1.34E-04 2.19E-05 3.18E-06 4.07E-07 4.61E-08 4.60E-09 4.07E-10 3.18E-11 2.20E-12 1.34E-13 7.27E-15 3.48E-16 1.47E-17 5.52E-19 1.83E-20 5.38E-22
   2.00  0.363  6.74E+01 8.10E+01 6.06E+02 8.60E+00 1.45E+01 1.65E+01 1.48E+01 1.12E+01 7.23E+00 4.06E+00 2.00E+00 8.66E-01 3.31E-01 1.12E-01 3.36E-02 8.93E-03 2.11E-03 4.44E-04 8.30E-05 1.38E-05 2.05E-06 2.71E-07 3.19E-08 3.35E-09 3.13E-10 2.62E-11 1.95E-12 1.30E-13 7.68E-15 4.07E-16 1.92E-17 8.10E-19 3.05E-20
   2.25  0.385  9.55E+01 1.12E+02 8.68E+02 1.12E+01 1.91E+01 2.20E+01 2.04E+01 1.59E+01 1.07E+01 6.30E+00 3.27E+00 1.51E+00 6.18E-01 2.26E-01 7.36E-02 2.15E-02 5.60E-03 1.31E-03 2.74E-04 5.15E-05 8.68E-06 1.31E-06 1.78E-07 2.17E-08 2.38E-09 2.34E-10 2.07E-11 1.65E-12 1.18E-13 7.57E-15 4.37E-16 2.27E-17 1.06E-18
   2.50  0.406  1.34E+02 1.56E+02 1.24E+03 1.46E+01 2.52E+01 2.95E+01 2.79E+01 2.24E+01 1.56E+01 9.59E+00 5.23E+00 2.55E+00 1.11E+00 4.33E-01 1.52E-01 4.80E-02 1.37E-02 3.50E-03 8.11E-04 1.69E-04 3.19E-05 5.44E-06 8.37E-07 1.16E-07 1.46E-08 1.67E-09 1.71E-10 1.59E-11 1.34E-12 1.02E-13 7.04E-15 4.39E-16 2.48E-17
   2.75  0.426  1.88E+02 2.16E+02 1.77E+03 1.91E+01 3.33E+01 3.96E+01 3.81E+01 3.13E+01 2.26E+01 1.44E+01 8.19E+00 4.18E+00 1.92E+00 7.97E-01 2.99E-01 1.01E-01 3.11E-02 8.67E-03 2.19E-03 5.02E-04 1.05E-04 1.98E-05 3.40E-06 5.32E-07 7.56E-08 9.77E-09 1.15E-09 1.23E-10 1.19E-11 1.06E-12 8.51E-14 6.24E-15 4.16E-16
   3.00  0.445  2.63E+02 2.99E+02 2.53E+03 2.51E+01 4.40E+01 5.30E+01 5.20E+01 4.38E+01 3.24E+01 2.13E+01 1.26E+01 6.73E+00 3.24E+00 1.42E+00 5.64E-01 2.04E-01 6.70E-02 2.01E-02 5.48E-03 1.37E-03 3.11E-04 6.46E-05 1.23E-05 2.13E-06 3.37E-07 4.88E-08 6.46E-09 7.82E-10 8.65E-11 8.76E-12 8.11E-13 6.87E-14 5.32E-15
   3.25  0.463  3.66E+02 4.14E+02 3.59E+03 3.31E+01 5.84E+01 7.11E+01 7.08E+01 6.09E+01 4.62E+01 3.13E+01 1.92E+01 1.06E+01 5.35E+00 2.45E+00 1.03E+00 3.93E-01 1.37E-01 4.39E-02 1.29E-02 3.46E-03 8.53E-04 1.93E-04 4.00E-05 7.60E-06 1.33E-06 2.13E-07 3.14E-08 4.24E-09 5.27E-10 6.02E-11 6.31E-12 6.08E-13 5.39E-14
   3.50  0.481  5.10E+02 5.74E+02 5.11E+03 4.37E+01 7.76E+01 9.54E+01 9.64E+01 8.44E+01 6.55E+01 4.57E+01 2.88E+01 1.65E+01 8.65E+00 4.14E+00 1.82E+00 7.31E-01 2.70E-01 9.17E-02 2.87E-02 8.24E-03 2.18E-03 5.31E-04 1.19E-04 2.47E-05 4.71E-06 8.28E-07 1.34E-07 2.01E-08 2.77E-09 3.52E-10 4.13E-11 4.48E-12 4.47E-13
   3.75  0.497  7.08E+02 7.95E+02 7.25E+03 5.78E+01 1.03E+02 1.28E+02 1.31E+02 1.17E+02 9.25E+01 6.60E+01 4.28E+01 2.54E+01 1.38E+01 6.85E+00 3.13E+00 1.32E+00 5.13E-01 1.84E-01 6.09E-02 1.86E-02 5.25E-03 1.37E-03 3.31E-04 7.39E-05 1.53E-05 2.92E-06 5.16E-07 8.45E-08 1.28E-08 1.80E-09 2.34E-10 2.81E-11 3.14E-12
   4.00  0.514  9.84E+02 1.10E+03 1.03E+04 7.66E+01 1.38E+02 1.72E+02 1.78E+02 1.61E+02 1.30E+02 9.50E+01 6.32E+01 3.85E+01 2.16E+01 1.11E+01 5.29E+00 2.33E+00 9.46E-01 3.56E-01 1.24E-01 4.01E-02 1.20E-02 3.34E-03 8.61E-04 2.06E-04 4.57E-05 9.43E-06 1.81E-06 3.21E-07 5.31E-08 8.15E-09 1.16E-09 1.54E-10 1.90E-11
