                    ************************************************************************************************
                    *  Z= 43 A= 99: Positive-Parity Spin-dependent Level Density [MeV-1] for Tc 99 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.143  1.23E+00 4.90E+00 3.25E+01 6.51E-01 1.05E+00 1.10E+00 8.93E-01 5.87E-01 3.21E-01 1.48E-01 5.81E-02 1.94E-02 5.56E-03 1.37E-03 2.88E-04 5.25E-05 8.22E-06 1.11E-06 1.30E-07 1.31E-08 1.14E-09 8.56E-11 5.57E-12 3.13E-13 1.52E-14 6.42E-16 2.34E-17 7.37E-19 2.01E-20 4.75E-22 9.73E-24 1.72E-25 2.64E-27
   0.50  0.202  3.43E+00 8.83E+00 5.86E+01 1.17E+00 1.89E+00 1.99E+00 1.61E+00 1.06E+00 5.79E-01 2.67E-01 1.05E-01 3.50E-02 1.00E-02 2.46E-03 5.20E-04 9.45E-05 1.48E-05 2.00E-06 2.34E-07 2.35E-08 2.05E-09 1.54E-10 1.00E-11 5.65E-13 2.75E-14 1.16E-15 4.21E-17 1.33E-18 3.63E-20 8.57E-22 1.75E-23 3.10E-25 4.76E-27
   0.75  0.248  7.27E+00 1.54E+01 1.02E+02 2.04E+00 3.30E+00 3.46E+00 2.80E+00 1.84E+00 1.01E+00 4.65E-01 1.82E-01 6.09E-02 1.74E-02 4.28E-03 9.04E-04 1.64E-04 2.58E-05 3.48E-06 4.07E-07 4.10E-08 3.57E-09 2.68E-10 1.75E-11 9.82E-13 4.78E-14 2.01E-15 7.33E-17 2.31E-18 6.31E-20 1.49E-21 3.05E-23 5.40E-25 8.28E-27
   1.00  0.286  1.35E+01 2.48E+01 1.72E+02 3.05E+00 5.01E+00 5.42E+00 4.56E+00 3.16E+00 1.84E+00 9.18E-01 3.92E-01 1.45E-01 4.63E-02 1.28E-02 3.10E-03 6.53E-04 1.20E-04 1.91E-05 2.68E-06 3.27E-07 3.49E-08 3.25E-09 2.65E-10 1.90E-11 1.18E-12 6.48E-14 3.10E-15 1.30E-16 4.77E-18 1.53E-19 4.32E-21 1.07E-22 2.30E-24
   1.25  0.320  2.33E+01 3.91E+01 2.83E+02 4.42E+00 7.38E+00 8.20E+00 7.18E+00 5.23E+00 3.24E+00 1.73E+00 8.03E-01 3.25E-01 1.15E-01 3.60E-02 9.86E-03 2.38E-03 5.06E-04 9.49E-05 1.57E-05 2.30E-06 2.98E-07 3.40E-08 3.44E-09 3.08E-10 2.43E-11 1.70E-12 1.06E-13 5.79E-15 2.81E-16 1.21E-17 4.61E-19 1.56E-20 4.65E-22
   1.50  0.350  3.83E+01 6.02E+01 4.54E+02 6.32E+00 1.07E+01 1.22E+01 1.10E+01 8.35E+00 5.45E+00 3.09E+00 1.54E+00 6.74E-01 2.61E-01 8.98E-02 2.74E-02 7.41E-03 1.79E-03 3.84E-04 7.34E-05 1.25E-05 1.91E-06 2.59E-07 3.13E-08 3.39E-09 3.27E-10 2.83E-11 2.18E-12 1.50E-13 9.24E-15 5.08E-16 2.50E-17 1.10E-18 4.31E-20
   1.75  0.378  6.11E+01 9.13E+01 7.13E+02 8.92E+00 1.53E+01 1.77E+01 1.65E+01 1.30E+01 8.84E+00 5.28E+00 2.79E+00 1.31E+00 5.47E-01 2.04E-01 6.82E-02 2.04E-02 5.48E-03 1.32E-03 2.86E-04 5.56E-05 9.72E-06 1.53E-06 2.16E-07 2.75E-08 3.16E-09 3.26E-10 3.03E-11 2.53E-12 1.91E-13 1.30E-14 7.94E-16 4.38E-17 2.17E-18
   2.00  0.404  9.52E+01 1.36E+02 1.10E+03 1.25E+01 2.16E+01 2.55E+01 2.43E+01 1.97E+01 1.39E+01 8.71E+00 4.84E+00 2.41E+00 1.07E+00 4.31E-01 1.56E-01 5.09E-02 1.50E-02 3.99E-03 9.61E-04 2.09E-04 4.13E-05 7.37E-06 1.19E-06 1.75E-07 2.33E-08 2.80E-09 3.06E-10 3.03E-11 2.73E-12 2.22E-13 1.64E-14 1.10E-15 6.71E-17
   2.25  0.429  1.45E+02 2.00E+02 1.67E+03 1.72E+01 3.01E+01 3.61E+01 3.51E+01 2.93E+01 2.14E+01 1.39E+01 8.10E+00 4.24E+00 2.00E+00 8.56E-01 3.32E-01 1.17E-01 3.73E-02 1.08E-02 2.86E-03 6.89E-04 1.51E-04 3.02E-05 5.49E-06 9.11E-07 1.38E-07 1.90E-08 2.39E-09 2.75E-10 2.88E-11 2.75E-12 2.40E-13 1.91E-14 1.39E-15
   2.50  0.452  2.18E+02 2.91E+02 2.51E+03 2.36E+01 4.16E+01 5.05E+01 5.01E+01 4.28E+01 3.22E+01 2.17E+01 1.31E+01 7.19E+00 3.57E+00 1.61E+00 6.65E-01 2.50E-01 8.58E-02 2.69E-02 7.73E-03 2.03E-03 4.88E-04 1.08E-04 2.17E-05 4.02E-06 6.81E-07 1.06E-07 1.51E-08 1.98E-09 2.37E-10 2.61E-11 2.64E-12 2.44E-13 2.08E-14
   2.75  0.474  3.23E+02 4.18E+02 3.71E+03 3.21E+01 5.70E+01 7.00E+01 7.05E+01 6.15E+01 4.75E+01 3.30E+01 2.07E+01 1.18E+01 6.13E+00 2.91E+00 1.27E+00 5.05E-01 1.85E-01 6.21E-02 1.92E-02 5.45E-03 1.42E-03 3.42E-04 7.57E-05 1.54E-05 2.90E-06 5.01E-07 7.98E-08 1.17E-08 1.59E-09 1.98E-10 2.27E-11 2.41E-12 2.36E-13
   3.00  0.495  4.71E+02 5.94E+02 5.41E+03 4.33E+01 7.74E+01 9.60E+01 9.82E+01 8.73E+01 6.91E+01 4.92E+01 3.19E+01 1.88E+01 1.02E+01 5.06E+00 2.31E+00 9.71E-01 3.76E-01 1.34E-01 4.43E-02 1.35E-02 3.80E-03 9.87E-04 2.37E-04 5.27E-05 1.08E-05 2.06E-06 3.62E-07 5.90E-08 8.89E-09 1.24E-09 1.60E-10 1.92E-11 2.12E-12
   3.25  0.515  6.80E+02 8.36E+02 7.81E+03 5.80E+01 1.04E+02 1.31E+02 1.35E+02 1.22E+02 9.89E+01 7.23E+01 4.81E+01 2.94E+01 1.65E+01 8.52E+00 4.06E+00 1.79E+00 7.30E-01 2.76E-01 9.63E-02 3.12E-02 9.39E-03 2.62E-03 6.78E-04 1.63E-04 3.63E-05 7.52E-06 1.45E-06 2.59E-07 4.29E-08 6.62E-09 9.50E-10 1.27E-10 1.57E-11
   3.50  0.535  9.72E+02 1.17E+03 1.12E+04 7.72E+01 1.39E+02 1.76E+02 1.85E+02 1.70E+02 1.40E+02 1.04E+02 7.14E+01 4.49E+01 2.60E+01 1.39E+01 6.91E+00 3.18E+00 1.36E+00 5.39E-01 1.99E-01 6.82E-02 2.18E-02 6.47E-03 1.79E-03 4.61E-04 1.11E-04 2.48E-05 5.17E-06 1.01E-06 1.82E-07 3.08E-08 4.85E-09 7.13E-10 9.77E-11
   3.75  0.554  1.38E+03 1.61E+03 1.58E+04 1.02E+02 1.85E+02 2.36E+02 2.50E+02 2.33E+02 1.95E+02 1.49E+02 1.04E+02 6.72E+01 4.01E+01 2.22E+01 1.14E+01 5.47E+00 2.43E+00 1.01E+00 3.91E-01 1.41E-01 4.77E-02 1.50E-02 4.41E-03 1.21E-03 3.11E-04 7.48E-05 1.68E-05 3.52E-06 6.91E-07 1.27E-07 2.18E-08 3.50E-09 5.26E-10
   4.00  0.572  1.93E+03 2.22E+03 2.22E+04 1.34E+02 2.45E+02 3.14E+02 3.36E+02 3.17E+02 2.70E+02 2.10E+02 1.50E+02 9.91E+01 6.08E+01 3.47E+01 1.84E+01 9.13E+00 4.23E+00 1.83E+00 7.40E-01 2.80E-01 9.93E-02 3.30E-02 1.02E-02 2.99E-03 8.15E-04 2.09E-04 5.01E-05 1.13E-05 2.38E-06 4.71E-07 8.75E-08 1.52E-08 2.49E-09
