                    ************************************************************************************************
                    *  Z= 43 A=100: Positive-Parity Spin-dependent Level Density [MeV-1] for Tc100 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.133  6.44E+00 2.58E+01 1.95E+02 1.39E+00 3.74E+00 5.01E+00 5.05E+00 4.19E+00 2.96E+00 1.81E+00 9.71E-01 4.58E-01 1.91E-01 7.05E-02 2.31E-02 6.75E-03 1.75E-03 4.06E-04 8.39E-05 1.55E-05 2.54E-06 3.74E-07 4.91E-08 5.77E-09 6.06E-10 5.69E-11 4.78E-12 3.59E-13 2.41E-14 1.45E-15 7.80E-17 3.76E-18 1.62E-19
   0.50  0.188  1.76E+01 4.45E+01 3.45E+02 2.29E+00 6.19E+00 8.37E+00 8.57E+00 7.26E+00 5.26E+00 3.33E+00 1.85E+00 9.10E-01 3.98E-01 1.55E-01 5.38E-02 1.67E-02 4.66E-03 1.16E-03 2.60E-04 5.21E-05 9.37E-06 1.52E-06 2.20E-07 2.87E-08 3.37E-09 3.55E-10 3.37E-11 2.87E-12 2.20E-13 1.52E-14 9.43E-16 5.26E-17 2.65E-18
   0.75  0.231  3.60E+01 7.37E+01 5.92E+02 3.54E+00 9.65E+00 1.32E+01 1.38E+01 1.20E+01 9.05E+00 5.96E+00 3.48E+00 1.81E+00 8.41E-01 3.51E-01 1.32E-01 4.45E-02 1.36E-02 3.72E-03 9.24E-04 2.07E-04 4.19E-05 7.68E-06 1.27E-06 1.91E-07 2.59E-08 3.18E-09 3.53E-10 3.56E-11 3.25E-12 2.68E-13 2.01E-14 1.36E-15 8.36E-17
   1.00  0.267  6.58E+01 1.19E+02 9.89E+02 5.38E+00 1.47E+01 2.05E+01 2.18E+01 1.94E+01 1.50E+01 1.03E+01 6.26E+00 3.42E+00 1.68E+00 7.44E-01 2.99E-01 1.08E-01 3.57E-02 1.07E-02 2.90E-03 7.17E-04 1.61E-04 3.29E-05 6.12E-06 1.04E-06 1.60E-07 2.24E-08 2.86E-09 3.34E-10 3.54E-11 3.43E-12 3.02E-13 2.43E-14 1.78E-15
   1.25  0.298  1.13E+02 1.89E+02 1.61E+03 8.03E+00 2.21E+01 3.10E+01 3.36E+01 3.06E+01 2.43E+01 1.72E+01 1.09E+01 6.18E+00 3.19E+00 1.49E+00 6.35E-01 2.46E-01 8.69E-02 2.80E-02 8.24E-03 2.22E-03 5.46E-04 1.23E-04 2.53E-05 4.76E-06 8.21E-07 1.30E-07 1.87E-08 2.48E-09 3.01E-10 3.35E-11 3.41E-12 3.19E-13 2.73E-14
   1.50  0.326  1.86E+02 2.94E+02 2.58E+03 1.18E+01 3.26E+01 4.63E+01 5.08E+01 4.72E+01 3.84E+01 2.79E+01 1.82E+01 1.08E+01 5.81E+00 2.85E+00 1.28E+00 5.24E-01 1.97E-01 6.79E-02 2.15E-02 6.23E-03 1.66E-03 4.07E-04 9.18E-05 1.90E-05 3.63E-06 6.36E-07 1.03E-07 1.52E-08 2.08E-09 2.62E-10 3.04E-11 3.24E-12 3.18E-13
   1.75  0.353  2.99E+02 4.49E+02 4.06E+03 1.71E+01 4.75E+01 6.79E+01 7.55E+01 7.14E+01 5.94E+01 4.42E+01 2.98E+01 1.82E+01 1.02E+01 5.22E+00 2.45E+00 1.06E+00 4.21E-01 1.54E-01 5.19E-02 1.61E-02 4.63E-03 1.22E-03 2.99E-04 6.75E-05 1.41E-05 2.71E-06 4.83E-07 7.94E-08 1.21E-08 1.70E-09 2.21E-10 2.65E-11 2.95E-12
   2.00  0.377  4.68E+02 6.77E+02 6.28E+03 2.45E+01 6.84E+01 9.85E+01 1.11E+02 1.06E+02 9.01E+01 6.87E+01 4.75E+01 3.00E+01 1.74E+01 9.24E+00 4.53E+00 2.05E+00 8.55E-01 3.30E-01 1.18E-01 3.90E-02 1.19E-02 3.38E-03 8.89E-04 2.17E-04 4.89E-05 1.03E-05 1.99E-06 3.60E-07 6.02E-08 9.35E-09 1.35E-09 1.81E-10 2.24E-11
