                    ************************************************************************************************
                    *  Z= 43 A= 99: Positive-Parity Spin-dependent Level Density [MeV-1] for Tc 99 and ldmodel= 5  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.167  1.00E+00 3.65E+00 2.95E+01 2.30E-01 9.75E-01 5.59E-01 3.75E-01 9.48E-01 8.67E-03 1.92E-01 1.92E-01 1.92E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.50  0.236  1.00E+00 7.45E+00 5.98E+01 4.11E-01 1.86E+00 9.98E-01 1.47E+00 1.49E+00 5.35E-01 1.87E-01 1.87E-01 1.87E-01 1.78E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.75  0.289  2.00E+00 1.76E+01 1.32E+02 2.37E+00 3.77E+00 2.69E+00 2.85E+00 3.04E+00 1.61E+00 5.30E-01 3.56E-01 1.82E-01 1.82E-01 1.74E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.00  0.333  3.00E+00 2.39E+01 1.96E+02 3.06E+00 3.31E+00 3.45E+00 3.71E+00 4.76E+00 2.97E+00 1.39E+00 5.26E-01 1.78E-01 1.78E-01 1.78E-01 1.70E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.25  0.373  5.00E+00 3.24E+01 2.77E+02 4.23E+00 3.75E+00 4.94E+00 4.86E+00 4.49E+00 5.14E+00 2.38E+00 1.52E+00 5.07E-01 1.74E-01 1.74E-01 1.74E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.50  0.408  9.00E+00 4.26E+01 3.93E+02 4.54E+00 4.86E+00 6.09E+00 5.29E+00 7.04E+00 5.34E+00 4.50E+00 2.82E+00 1.33E+00 3.34E-01 1.71E-01 1.71E-01 1.63E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.75  0.441  1.60E+01 4.85E+01 4.81E+02 4.31E+00 4.17E+00 6.38E+00 6.70E+00 7.33E+00 6.51E+00 5.35E+00 3.81E+00 2.29E+00 9.74E-01 3.28E-01 1.68E-01 1.68E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.00  0.471  2.60E+01 8.54E+01 8.03E+02 6.40E+00 9.92E+00 1.56E+01 1.30E+01 1.13E+01 8.53E+00 7.18E+00 6.16E+00 3.86E+00 1.91E+00 8.01E-01 1.65E-01 1.65E-01 1.57E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.25  0.500  3.90E+01 1.34E+02 1.27E+03 7.31E+00 1.95E+01 2.20E+01 1.96E+01 2.10E+01 1.30E+01 1.23E+01 7.93E+00 4.96E+00 3.77E+00 1.57E+00 4.71E-01 1.62E-01 1.62E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.50  0.527  5.60E+01 1.85E+02 1.79E+03 1.27E+01 2.31E+01 2.64E+01 2.67E+01 2.89E+01 2.26E+01 1.69E+01 1.14E+01 6.00E+00 4.27E+00 3.53E+00 1.24E+00 3.11E-01 1.59E-01 1.52E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.75  0.553  8.10E+01 2.55E+02 2.57E+03 1.58E+01 2.95E+01 3.28E+01 3.72E+01 3.82E+01 3.27E+01 2.75E+01 1.84E+01 1.04E+01 5.87E+00 3.76E+00 2.14E+00 7.62E-01 1.57E-01 1.57E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.00  0.577  1.22E+02 3.44E+02 3.55E+03 1.90E+01 3.79E+01 4.22E+01 5.04E+01 4.99E+01 4.50E+01 3.68E+01 2.74E+01 1.61E+01 8.34E+00 5.02E+00 3.62E+00 1.50E+00 3.02E-01 1.54E-01 1.47E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.25  0.601  1.83E+02 4.99E+02 5.13E+03 3.17E+01 4.79E+01 6.82E+01 7.52E+01 6.87E+01 6.37E+01 5.04E+01 3.70E+01 2.65E+01 1.29E+01 6.87E+00 4.66E+00 3.37E+00 8.84E-01 1.52E-01 1.52E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.50  0.624  2.69E+02 7.13E+02 7.41E+03 4.52E+01 6.65E+01 9.40E+01 1.10E+02 1.01E+02 8.96E+01 7.13E+01 5.18E+01 3.92E+01 2.35E+01 1.04E+01 5.65E+00 3.59E+00 1.74E+00 2.93E-01 1.50E-01 1.43E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.75  0.645  3.88E+02 1.03E+03 1.07E+04 6.08E+01 9.66E+01 1.36E+02 1.51E+02 1.52E+02 1.27E+02 9.58E+01 7.73E+01 5.33E+01 3.54E+01 1.97E+01 8.96E+00 4.81E+00 3.44E+00 8.59E-01 1.48E-01 1.48E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.00  0.667  5.57E+02 1.37E+03 1.48E+04 7.18E+01 1.22E+02 1.71E+02 2.02E+02 2.05E+02 1.78E+02 1.40E+02 1.08E+02 7.53E+01 4.83E+01 2.95E+01 1.40E+01 6.59E+00 3.64E+00 1.69E+00 2.85E-01 1.46E-01 1.39E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
