                    ************************************************************************************************
                    *  Z= 43 A=100: Positive-Parity Spin-dependent Level Density [MeV-1] for Tc100 and ldmodel= 5  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.166  2.00E+00 2.35E+01 1.85E+02 3.61E+00 1.64E+00 3.42E+00 4.25E+00 3.34E+00 2.16E+00 2.56E+00 9.84E-01 7.85E-01 4.81E-01 2.62E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.50  0.235  4.00E+00 4.57E+01 3.64E+02 4.73E+00 2.57E+00 8.76E+00 9.17E+00 6.21E+00 5.96E+00 4.46E+00 1.29E+00 1.44E+00 5.07E-01 4.65E-01 2.05E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.75  0.287  8.00E+00 6.98E+01 6.02E+02 4.24E+00 4.59E+00 1.25E+01 1.15E+01 1.18E+01 9.88E+00 7.46E+00 3.88E+00 2.18E+00 9.07E-01 5.31E-01 2.46E-01 1.99E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.00  0.332  1.40E+01 1.04E+02 9.51E+02 5.15E+00 6.30E+00 1.75E+01 1.54E+01 1.73E+01 1.40E+01 1.30E+01 7.41E+00 4.64E+00 9.47E-01 1.35E+00 4.59E-01 2.39E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.25  0.371  2.50E+01 1.50E+02 1.40E+03 7.50E+00 8.46E+00 2.49E+01 2.15E+01 2.41E+01 2.05E+01 1.79E+01 1.16E+01 8.38E+00 2.10E+00 1.81E+00 6.62E-01 4.29E-01 1.89E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.50  0.406  4.50E+01 2.15E+02 2.10E+03 8.99E+00 1.12E+01 3.24E+01 3.22E+01 3.46E+01 2.82E+01 2.55E+01 1.70E+01 1.50E+01 5.33E+00 3.34E+00 8.56E-01 4.92E-01 2.28E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.75  0.439  7.50E+01 3.59E+02 3.42E+03 1.74E+01 2.04E+01 5.73E+01 5.64E+01 5.60E+01 4.66E+01 3.83E+01 2.50E+01 2.19E+01 1.01E+01 6.51E+00 1.12E+00 1.26E+00 4.27E-01 1.80E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.00  0.469  1.20E+02 5.58E+02 5.36E+03 3.26E+01 3.13E+01 7.99E+01 8.18E+01 9.05E+01 7.70E+01 6.20E+01 3.77E+01 3.14E+01 1.63E+01 1.22E+01 2.99E+00 1.69E+00 6.19E-01 2.18E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
