                    ************************************************************************************************
                    *  Z= 40 A= 91: Positive-Parity Spin-dependent Level Density [MeV-1] for Zr 91 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.154  2.39E-01 9.54E-01 7.32E+00 9.66E-02 1.65E-01 1.89E-01 1.73E-01 1.34E-01 8.95E-02 5.22E-02 2.68E-02 1.22E-02 4.90E-03 1.76E-03 5.62E-04 1.60E-04 4.09E-05 9.31E-06 1.90E-06 3.47E-07 5.67E-08 8.31E-09 1.09E-09 1.28E-10 1.36E-11 1.28E-12 1.09E-13 8.31E-15 5.68E-16 3.49E-17 1.92E-18 9.50E-20 4.22E-21
   0.50  0.218  5.58E-01 1.28E+00 9.79E+00 1.29E-01 2.20E-01 2.53E-01 2.32E-01 1.79E-01 1.20E-01 6.98E-02 3.58E-02 1.63E-02 6.55E-03 2.35E-03 7.51E-04 2.14E-04 5.46E-05 1.25E-05 2.54E-06 4.64E-07 7.58E-08 1.11E-08 1.46E-09 1.72E-10 1.81E-11 1.72E-12 1.46E-13 1.11E-14 7.60E-16 4.66E-17 2.57E-18 1.27E-19 5.64E-21
   0.75  0.267  9.84E-01 1.71E+00 1.31E+01 1.73E-01 2.94E-01 3.38E-01 3.10E-01 2.40E-01 1.60E-01 9.33E-02 4.79E-02 2.17E-02 8.76E-03 3.14E-03 1.00E-03 2.87E-04 7.31E-05 1.67E-05 3.40E-06 6.20E-07 1.01E-07 1.49E-08 1.95E-09 2.30E-10 2.42E-11 2.30E-12 1.95E-13 1.49E-14 1.02E-15 6.24E-17 3.44E-18 1.70E-19 7.54E-21
   1.00  0.309  1.55E+00 2.28E+00 1.75E+01 2.31E-01 3.94E-01 4.52E-01 4.15E-01 3.21E-01 2.14E-01 1.25E-01 6.40E-02 2.91E-02 1.17E-02 4.20E-03 1.34E-03 3.83E-04 9.77E-05 2.23E-05 4.54E-06 8.29E-07 1.36E-07 1.99E-08 2.61E-09 3.07E-10 3.24E-11 3.07E-12 2.61E-13 1.99E-14 1.36E-15 8.34E-17 4.59E-18 2.27E-19 1.01E-20
   1.25  0.345  2.32E+00 3.05E+00 2.34E+01 3.09E-01 5.26E-01 6.05E-01 5.55E-01 4.29E-01 2.86E-01 1.67E-01 8.56E-02 3.89E-02 1.57E-02 5.62E-03 1.80E-03 5.13E-04 1.31E-04 2.98E-05 6.07E-06 1.11E-06 1.81E-07 2.66E-08 3.49E-09 4.11E-10 4.34E-11 4.11E-12 3.49E-13 2.66E-14 1.82E-15 1.12E-16 6.14E-18 3.04E-19 1.35E-20
   1.50  0.378  3.34E+00 4.08E+00 3.13E+01 4.13E-01 7.04E-01 8.09E-01 7.42E-01 5.74E-01 3.83E-01 2.23E-01 1.15E-01 5.20E-02 2.10E-02 7.52E-03 2.40E-03 6.86E-04 1.75E-04 3.98E-05 8.12E-06 1.48E-06 2.43E-07 3.55E-08 4.67E-09 5.49E-10 5.80E-11 5.49E-12 4.67E-13 3.56E-14 2.43E-15 1.49E-16 8.22E-18 4.06E-19 1.80E-20
   1.75  0.409  4.70E+00 5.46E+00 4.19E+01 5.52E-01 9.41E-01 1.08E+00 9.92E-01 7.67E-01 5.12E-01 2.98E-01 1.53E-01 6.95E-02 2.80E-02 1.01E-02 3.21E-03 9.17E-04 2.34E-04 5.33E-05 1.09E-05 1.98E-06 3.24E-07 4.75E-08 6.24E-09 7.35E-10 7.76E-11 7.34E-12 6.24E-13 4.75E-14 3.25E-15 2.00E-16 1.10E-17 5.43E-19 2.41E-20
   2.00  0.437  6.53E+00 7.30E+00 5.60E+01 7.39E-01 1.26E+00 1.45E+00 1.33E+00 1.03E+00 6.85E-01 3.99E-01 2.05E-01 9.30E-02 3.75E-02 1.34E-02 4.30E-03 1.23E-03 3.13E-04 7.12E-05 1.45E-05 2.65E-06 4.34E-07 6.36E-08 8.35E-09 9.83E-10 1.04E-10 9.82E-12 8.34E-13 6.36E-14 4.35E-15 2.67E-16 1.47E-17 7.27E-19 3.23E-20
   2.25  0.463  8.97E+00 9.76E+00 7.49E+01 9.88E-01 1.68E+00 1.93E+00 1.77E+00 1.37E+00 9.16E-01 5.34E-01 2.74E-01 1.24E-01 5.01E-02 1.80E-02 5.75E-03 1.64E-03 4.18E-04 9.53E-05 1.94E-05 3.55E-06 5.80E-07 8.50E-08 1.12E-08 1.31E-09 1.39E-10 1.31E-11 1.12E-12 8.50E-14 5.81E-15 3.57E-16 1.97E-17 9.72E-19 4.31E-20
   2.50  0.488  1.22E+01 1.31E+01 1.00E+02 1.32E+00 2.25E+00 2.59E+00 2.37E+00 1.84E+00 1.22E+00 7.14E-01 3.66E-01 1.66E-01 6.71E-02 2.40E-02 7.69E-03 2.19E-03 5.59E-04 1.27E-04 2.60E-05 4.74E-06 7.76E-07 1.14E-07 1.49E-08 1.76E-09 1.86E-10 1.76E-11 1.49E-12 1.14E-13 7.78E-15 4.77E-16 2.63E-17 1.30E-18 5.77E-20
   2.75  0.512  1.66E+01 1.75E+01 1.35E+02 1.74E+00 2.97E+00 3.43E+00 3.17E+00 2.47E+00 1.66E+00 9.79E-01 5.09E-01 2.35E-01 9.61E-02 3.51E-02 1.14E-02 3.33E-03 8.69E-04 2.03E-04 4.25E-05 7.98E-06 1.34E-06 2.03E-07 2.76E-08 3.36E-09 3.68E-10 3.62E-11 3.20E-12 2.54E-13 1.82E-14 1.17E-15 6.73E-17 3.49E-18 1.63E-19
   3.00  0.535  2.24E+01 2.34E+01 1.85E+02 2.23E+00 3.83E+00 4.47E+00 4.20E+00 3.34E+00 2.31E+00 1.41E+00 7.59E-01 3.64E-01 1.56E-01 6.00E-02 2.07E-02 6.41E-03 1.78E-03 4.47E-04 1.01E-04 2.05E-05 3.77E-06 6.23E-07 9.30E-08 1.25E-08 1.52E-09 1.67E-10 1.66E-11 1.48E-12 1.20E-13 8.75E-15 5.77E-16 3.44E-17 1.85E-18
   3.25  0.557  3.02E+01 3.12E+01 2.53E+02 2.85E+00 4.94E+00 5.83E+00 5.56E+00 4.52E+00 3.20E+00 2.00E+00 1.12E+00 5.57E-01 2.49E-01 1.00E-01 3.64E-02 1.19E-02 3.52E-03 9.42E-04 2.28E-04 4.98E-05 9.88E-06 1.77E-06 2.89E-07 4.26E-08 5.69E-09 6.90E-10 7.59E-11 7.57E-12 6.85E-13 5.63E-14 4.20E-15 2.84E-16 1.74E-17
   3.50  0.578  4.07E+01 4.18E+01 3.46E+02 3.66E+00 6.38E+00 7.61E+00 7.36E+00 6.09E+00 4.41E+00 2.84E+00 1.63E+00 8.41E-01 3.91E-01 1.64E-01 6.24E-02 2.15E-02 6.71E-03 1.90E-03 4.90E-04 1.15E-04 2.44E-05 4.73E-06 8.32E-07 1.33E-07 1.95E-08 2.59E-09 3.13E-10 3.45E-11 3.46E-12 3.16E-13 2.64E-14 2.00E-15 1.38E-16
   3.75  0.598  5.47E+01 5.59E+01 4.72E+02 4.70E+00 8.24E+00 9.92E+00 9.72E+00 8.18E+00 6.05E+00 3.99E+00 2.36E+00 1.25E+00 6.04E-01 2.64E-01 1.05E-01 3.78E-02 1.24E-02 3.71E-03 1.01E-03 2.52E-04 5.73E-05 1.19E-05 2.25E-06 3.89E-07 6.15E-08 8.89E-09 1.17E-09 1.42E-10 1.56E-11 1.58E-12 1.46E-13 1.23E-14 9.51E-16
   4.00  0.618  7.33E+01 7.47E+01 6.44E+02 6.05E+00 1.07E+01 1.30E+01 1.28E+01 1.10E+01 8.27E+00 5.57E+00 3.38E+00 1.85E+00 9.22E-01 4.18E-01 1.72E-01 6.49E-02 2.23E-02 7.03E-03 2.02E-03 5.33E-04 1.28E-04 2.84E-05 5.75E-06 1.07E-06 1.82E-07 2.84E-08 4.06E-09 5.33E-10 6.42E-11 7.10E-12 7.21E-13 6.71E-14 5.74E-15
