# Reference Number = 2408 Incident Particle: neutron  imodel=1 Target: Z= 94 A= 242 Ef = -5.672
# En(MeV)     RealPot   RVolPot   RSurPot    VSOPot   DVolPot    DVolNonL  DVolSym    ImPot    ImVolPot   ImSurPot   WSOPot
  0.001     415.9     391.9      23.9    -4.265     8.642     0.804     7.838    16.248     0.549    15.699     0.003
  0.002     415.9     391.9      23.9    -4.265     8.644     0.804     7.840    16.252     0.550    15.703     0.003
  0.003     415.9     391.9      23.9    -4.265     8.645     0.804     7.841    16.257     0.550    15.707     0.003
  0.004     415.9     391.9      23.9    -4.265     8.647     0.805     7.842    16.261     0.550    15.711     0.003
  0.005     415.9     391.9      23.9    -4.265     8.648     0.805     7.844    16.266     0.550    15.716     0.003
  0.006     415.9     391.9      23.9    -4.265     8.650     0.805     7.845    16.270     0.550    15.720     0.003
  0.007     415.9     391.9      24.0    -4.265     8.651     0.805     7.846    16.275     0.551    15.724     0.003
  0.008     415.9     391.9      24.0    -4.265     8.653     0.805     7.848    16.279     0.551    15.728     0.003
  0.009     415.9     391.9      24.0    -4.265     8.654     0.805     7.849    16.284     0.551    15.733     0.003
  0.010     415.9     391.9      24.0    -4.265     8.656     0.805     7.850    16.288     0.551    15.737     0.003
  0.020     415.9     391.9      24.0    -4.265     8.671     0.807     7.864    16.332     0.553    15.779     0.003
  0.030     415.9     391.9      24.0    -4.264     8.686     0.808     7.878    16.377     0.555    15.822     0.003
  0.040     415.9     391.8      24.0    -4.264     8.701     0.810     7.892    16.421     0.557    15.865     0.003
  0.050     415.9     391.8      24.0    -4.264     8.716     0.811     7.905    16.466     0.559    15.907     0.003
  0.060     415.8     391.8      24.0    -4.263     8.731     0.813     7.919    16.510     0.561    15.950     0.003
  0.070     415.8     391.8      24.1    -4.263     8.747     0.814     7.933    16.555     0.563    15.992     0.003
  0.080     415.8     391.7      24.1    -4.262     8.762     0.815     7.946    16.599     0.565    16.035     0.003
  0.090     415.8     391.7      24.1    -4.262     8.777     0.817     7.960    16.644     0.567    16.077     0.003
  0.100     415.8     391.7      24.1    -4.262     8.792     0.818     7.974    16.688     0.569    16.120     0.003
  0.200     415.7     391.5      24.3    -4.258     8.943     0.833     8.110    17.134     0.588    16.546     0.003
  0.300     415.7     391.2      24.5    -4.255     9.094     0.847     8.247    17.580     0.608    16.972     0.003
  0.400     415.6     391.0      24.6    -4.251     9.244     0.861     8.383    18.027     0.629    17.398     0.003
  0.500     415.5     390.7      24.8    -4.247     9.395     0.875     8.520    18.473     0.650    17.824     0.003
  0.600     415.4     390.5      24.9    -4.244     9.546     0.889     8.656    18.920     0.671    18.249     0.004
  0.700     415.3     390.2      25.0    -4.240     9.696     0.904     8.793    19.367     0.692    18.674     0.004
  0.800     415.1     390.0      25.2    -4.237     9.847     0.918     8.929    19.813     0.714    19.099     0.004
  0.900     415.0     389.7      25.3    -4.233     9.997     0.932     9.065    20.258     0.736    19.522     0.004
  1.000     414.9     389.5      25.4    -4.229    10.148     0.946     9.201    20.703     0.758    19.945     0.004
  1.100     414.7     389.3      25.5    -4.226    10.298     0.961     9.337    21.147     0.781    20.366     0.004
  1.200     414.6     389.0      25.6    -4.222    10.448     0.975     9.473    21.591     0.804    20.786     0.004
  1.300     414.4     388.8      25.7    -4.219    10.598     0.989     9.609    22.033     0.828    21.205     0.004
  1.400     414.3     388.5      25.7    -4.215    10.748     1.004     9.745    22.474     0.851    21.622     0.004
  1.500     414.1     388.3      25.8    -4.211    10.898     1.018     9.880    22.913     0.875    22.037     0.005
  1.600     413.9     388.0      25.9    -4.208    11.048     1.032    10.016    23.351     0.900    22.451     0.005
  1.700     413.7     387.8      25.9    -4.204    11.198     1.046    10.151    23.787     0.925    22.863     0.005
  1.800     413.5     387.6      26.0    -4.201    11.347     1.061    10.287    24.222     0.950    23.272     0.005
  1.900     413.3     387.3      26.0    -4.197    11.497     1.075    10.422    24.654     0.975    23.679     0.005
  2.000     413.1     387.1      26.0    -4.193    11.646     1.089    10.557    25.085     1.001    24.085     0.005
  2.100     412.9     386.8      26.1    -4.190    11.796     1.103    10.692    25.514     1.027    24.487     0.005
  2.200     412.7     386.6      26.1    -4.186    11.945     1.118    10.827    25.940     1.053    24.887     0.006
  2.300     412.5     386.4      26.1    -4.183    12.094     1.132    10.962    26.365     1.080    25.285     0.006
  2.400     412.2     386.1      26.1    -4.179    12.243     1.146    11.097    26.787     1.107    25.680     0.006
  2.500     412.0     385.9      26.1    -4.176    12.392     1.161    11.232    27.206     1.134    26.072     0.006
  2.600     411.8     385.6      26.1    -4.172    12.541     1.175    11.367    27.623     1.162    26.462     0.006
  2.700     411.5     385.4      26.1    -4.168    12.690     1.189    11.501    28.038     1.190    26.848     0.006
  2.800     411.3     385.2      26.1    -4.165    12.839     1.203    11.635    28.450     1.218    27.232     0.006
  2.900     411.0     384.9      26.1    -4.161    12.987     1.218    11.770    28.859     1.246    27.612     0.007
  3.000     410.8     384.7      26.1    -4.158    13.136     1.232    11.904    29.265     1.275    27.990     0.007
  3.100     410.5     384.5      26.0    -4.154    13.284     1.246    12.038    29.669     1.305    28.364     0.007
  3.200     410.2     384.2      26.0    -4.151    13.433     1.261    12.172    30.069     1.334    28.735     0.007
  3.300     409.9     384.0      26.0    -4.147    13.581     1.275    12.306    30.467     1.364    29.103     0.007
  3.400     409.7     383.8      25.9    -4.144    13.729     1.289    12.440    30.862     1.394    29.468     0.007
  3.500     409.4     383.5      25.9    -4.140    13.877     1.303    12.573    31.254     1.425    29.829     0.008
  3.600     409.1     383.3      25.8    -4.136    14.025     1.318    12.707    31.642     1.456    30.187     0.008
  3.700     408.8     383.0      25.7    -4.133    14.172     1.332    12.840    32.028     1.487    30.541     0.008
  3.800     408.5     382.8      25.7    -4.129    14.320     1.346    12.974    32.410     1.518    30.892     0.008
  3.900     408.2     382.6      25.6    -4.126    14.468     1.361    13.107    32.790     1.550    31.240     0.008
  4.000     407.9     382.3      25.5    -4.122    14.615     1.375    13.240    33.166     1.582    31.584     0.008
  4.200     407.3     381.9      25.4    -4.115    14.909     1.404    13.506    33.908     1.647    32.261     0.009
  4.400     406.6     381.4      25.2    -4.108    15.203     1.432    13.771    34.638     1.714    32.924     0.009
  4.600     406.0     380.9      25.0    -4.101    15.497     1.461    14.036    35.354     1.781    33.573     0.009
  4.800     405.3     380.5      24.8    -4.094    15.790     1.490    14.300    36.057     1.850    34.207     0.010
  5.000     404.6     380.0      24.6    -4.087    16.083     1.518    14.564    36.746     1.920    34.826     0.010
  5.200     403.9     379.6      24.4    -4.080    16.375     1.547    14.828    37.423     1.992    35.431     0.011
  5.400     403.2     379.1      24.1    -4.073    16.666     1.576    15.091    38.086     2.064    36.021     0.011
  5.600     402.5     378.6      23.9    -4.066    16.957     1.604    15.353    38.735     2.138    36.597     0.011
  5.800     401.8     378.2      23.6    -4.058    17.248     1.633    15.615    39.372     2.213    37.159     0.012
  6.000     401.1     377.7      23.4    -4.051    17.537     1.662    15.876    39.995     2.289    37.705     0.012
  6.200     400.4     377.3      23.1    -4.044    17.827     1.690    16.137    40.605     2.367    38.238     0.013
  6.400     399.6     376.8      22.8    -4.037    18.116     1.719    16.397    41.202     2.446    38.756     0.013
  6.600     398.9     376.4      22.5    -4.030    18.404     1.748    16.656    41.786     2.525    39.261     0.013
  6.800     398.1     375.9      22.2    -4.023    18.692     1.777    16.915    42.358     2.606    39.751     0.014
  7.000     397.3     375.4      21.9    -4.016    18.979     1.805    17.173    42.917     2.689    40.228     0.014
  7.200     396.6     375.0      21.6    -4.009    19.265     1.834    17.431    43.463     2.772    40.691     0.015
  7.400     395.8     374.5      21.3    -4.002    19.551     1.863    17.688    43.998     2.857    41.141     0.015
  7.600     395.0     374.1      20.9    -3.995    19.837     1.892    17.945    44.520     2.942    41.577     0.016
  7.800     394.3     373.6      20.6    -3.988    20.121     1.920    18.201    45.031     3.029    42.001     0.016
  8.000     393.5     373.2      20.3    -3.981    20.405     1.949    18.456    45.530     3.118    42.412     0.017
  8.200     392.7     372.7      19.9    -3.974    20.689     1.978    18.711    46.017     3.207    42.811     0.017
  8.400     391.9     372.3      19.6    -3.967    20.972     2.007    18.965    46.494     3.297    43.197     0.018
  8.600     391.1     371.9      19.3    -3.960    21.254     2.036    19.218    46.959     3.389    43.571     0.018
  8.800     390.3     371.4      18.9    -3.953    21.535     2.064    19.471    47.414     3.481    43.933     0.019
  9.000     389.5     371.0      18.6    -3.946    21.816     2.093    19.723    47.859     3.575    44.283     0.019
  9.200     388.7     370.5      18.2    -3.939    22.097     2.122    19.975    48.293     3.670    44.622     0.020
  9.400     387.9     370.1      17.9    -3.932    22.376     2.151    20.225    48.717     3.766    44.950     0.020
  9.600     387.2     369.6      17.5    -3.926    22.655     2.180    20.475    49.131     3.863    45.267     0.021
  9.800     386.4     369.2      17.2    -3.919    22.933     2.209    20.725    49.535     3.962    45.574     0.021
 10.000     385.6     368.8      16.8    -3.912    23.211     2.237    20.973    49.931     4.061    45.870     0.022
 10.500     383.6     367.7      15.9    -3.894    23.902     2.310    21.592    50.879     4.314    46.565     0.023
 11.000     381.6     366.6      15.0    -3.877    24.588     2.382    22.206    51.774     4.574    47.200     0.025
 11.500     379.6     365.5      14.1    -3.860    25.270     2.454    22.815    52.618     4.840    47.778     0.026
 12.000     377.7     364.4      13.3    -3.843    25.947     2.526    23.420    53.415     5.113    48.302     0.028
 12.500     375.7     363.3      12.4    -3.826    26.619     2.599    24.020    54.168     5.393    48.775     0.029
 13.000     373.8     362.2      11.5    -3.808    27.286     2.671    24.615    54.880     5.678    49.202     0.031
 13.500     371.8     361.2      10.6    -3.791    27.949     2.744    25.205    55.554     5.970    49.583     0.033
 14.000     369.9     360.1       9.8    -3.774    28.606     2.816    25.790    56.191     6.268    49.923     0.034
 14.500     368.0     359.1       9.0    -3.757    29.259     2.889    26.370    56.796     6.572    50.224     0.036
 15.000     366.1     358.0       8.1    -3.740    29.906     2.962    26.944    57.370     6.882    50.488     0.038
 15.500     364.3     356.9       7.3    -3.724    30.548     3.034    27.514    57.915     7.197    50.718     0.040
 16.000     362.4     355.9       6.5    -3.707    31.185     3.107    28.078    58.433     7.518    50.915     0.041
 16.500     360.6     354.8       5.7    -3.690    31.816     3.180    28.636    58.927     7.844    51.083     0.043
 17.000     358.8     353.8       5.0    -3.673    32.441     3.253    29.189    59.399     8.176    51.223     0.045
 17.500     357.0     352.8       4.2    -3.656    33.062     3.326    29.736    59.849     8.513    51.336     0.047
 18.000     355.2     351.7       3.5    -3.640    33.676     3.399    30.278    60.279     8.855    51.424     0.049
 18.500     353.4     350.7       2.8    -3.623    34.285     3.472    30.813    60.692     9.202    51.490     0.051
 19.000     351.7     349.6       2.0    -3.607    34.888     3.545    31.344    61.088     9.554    51.534     0.053
 19.500     350.0     348.6       1.4    -3.590    35.485     3.618    31.868    61.469     9.911    51.558     0.056
 20.000     348.3     347.6       0.7    -3.573    36.077     3.691    32.386    61.835    10.272    51.563     0.058
 20.500     346.6     346.6       0.0    -3.557    36.663     3.764    32.899    62.189    10.638    51.551     0.060
 21.000     344.9     345.5      -0.6    -3.541    37.243     3.837    33.405    62.530    11.008    51.522     0.062
 21.500     343.2     344.5      -1.3    -3.524    37.816     3.911    33.906    62.860    11.382    51.478     0.064
 22.000     341.6     343.5      -1.9    -3.508    38.384     3.984    34.400    63.180    11.761    51.420     0.067
 22.500     340.0     342.5      -2.5    -3.492    38.946     4.057    34.889    63.491    12.143    51.348     0.069
 23.000     338.4     341.5      -3.1    -3.475    39.502     4.131    35.371    63.793    12.530    51.263     0.072
 23.500     336.8     340.5      -3.7    -3.459    40.052     4.204    35.847    64.087    12.920    51.167     0.074
 24.000     335.2     339.4      -4.2    -3.443    40.595     4.278    36.317    64.374    13.314    51.060     0.076
 24.500     333.6     338.4      -4.8    -3.427    41.133     4.351    36.781    64.654    13.711    50.943     0.079
 25.000     332.1     337.4      -5.3    -3.411    41.664     4.425    37.239    64.928    14.112    50.816     0.081
 25.500     330.6     336.4      -5.9    -3.395    42.189     4.499    37.690    65.196    14.516    50.680     0.084
 26.000     329.1     335.4      -6.4    -3.379    42.708     4.573    38.136    65.459    14.923    50.536     0.087
 26.500     327.5     334.4      -6.9    -3.363    43.221     4.646    38.575    65.717    15.333    50.385     0.089
 27.000     326.1     333.4      -7.4    -3.347    43.728     4.720    39.008    65.971    15.746    50.226     0.092
 27.500     324.6     332.4      -7.9    -3.331    44.228     4.794    39.434    66.221    16.161    50.060     0.095
 28.000     323.1     331.4      -8.3    -3.316    44.722     4.868    39.854    66.468    16.580    49.888     0.097
 28.500     321.7     330.4      -8.8    -3.300    45.211     4.942    40.268    66.711    17.001    49.710     0.100
 29.000     320.2     329.4      -9.2    -3.284    45.692     5.016    40.676    66.951    17.424    49.527     0.103
 29.500     318.8     328.5      -9.7    -3.269    46.168     5.090    41.078    67.188    17.850    49.338     0.106
 30.000     317.4     327.5     -10.1    -3.253    46.638     5.164    41.473    67.423    18.278    49.145     0.109
 31.000     314.6     325.5     -10.9    -3.222    47.558     5.313    42.245    67.886    19.140    48.746     0.115
 32.000     311.8     323.5     -11.7    -3.191    48.454     5.462    42.992    68.342    20.010    48.332     0.121
