# Reference Number = 2408 Incident Particle: neutron  imodel=1 Target: Z= 90 A= 232 Ef = -5.612
# En(MeV)     RealPot   RVolPot   RSurPot    VSOPot   DVolPot    DVolNonL  DVolSym    ImPot    ImVolPot   ImSurPot   WSOPot
  0.001     427.0     403.0      23.9    -4.389     8.556     0.796     7.760    16.042     0.538    15.504     0.003
  0.002     427.0     403.0      23.9    -4.389     8.557     0.796     7.761    16.047     0.538    15.508     0.003
  0.003     427.0     403.0      23.9    -4.389     8.559     0.796     7.762    16.051     0.539    15.513     0.003
  0.004     427.0     403.0      23.9    -4.389     8.560     0.796     7.764    16.056     0.539    15.517     0.003
  0.005     427.0     403.0      23.9    -4.389     8.562     0.797     7.765    16.060     0.539    15.521     0.003
  0.006     427.0     403.0      23.9    -4.389     8.563     0.797     7.766    16.065     0.539    15.525     0.003
  0.007     427.0     403.0      23.9    -4.389     8.565     0.797     7.768    16.069     0.539    15.530     0.003
  0.008     427.0     403.0      23.9    -4.389     8.566     0.797     7.769    16.074     0.539    15.534     0.003
  0.009     427.0     403.0      23.9    -4.389     8.568     0.797     7.771    16.078     0.540    15.538     0.003
  0.010     427.0     403.0      23.9    -4.389     8.569     0.797     7.772    16.082     0.540    15.543     0.003
  0.020     427.0     403.0      24.0    -4.388     8.584     0.799     7.786    16.127     0.542    15.585     0.003
  0.030     426.9     403.0      24.0    -4.388     8.599     0.800     7.799    16.172     0.544    15.628     0.003
  0.040     426.9     402.9      24.0    -4.388     8.615     0.802     7.813    16.216     0.546    15.671     0.003
  0.050     426.9     402.9      24.0    -4.387     8.630     0.803     7.827    16.261     0.548    15.713     0.003
  0.060     426.9     402.9      24.0    -4.387     8.645     0.804     7.840    16.305     0.549    15.756     0.003
  0.070     426.9     402.9      24.0    -4.387     8.660     0.806     7.854    16.350     0.551    15.799     0.003
  0.080     426.9     402.8      24.1    -4.386     8.675     0.807     7.868    16.395     0.553    15.841     0.003
  0.090     426.9     402.8      24.1    -4.386     8.690     0.809     7.881    16.439     0.555    15.884     0.003
  0.100     426.9     402.8      24.1    -4.386     8.705     0.810     7.895    16.484     0.557    15.927     0.003
  0.200     426.8     402.5      24.3    -4.382     8.856     0.824     8.032    16.931     0.577    16.354     0.003
  0.300     426.7     402.3      24.5    -4.378     9.007     0.839     8.169    17.378     0.597    16.782     0.003
  0.400     426.6     402.0      24.6    -4.374     9.158     0.853     8.305    17.826     0.617    17.209     0.003
  0.500     426.5     401.8      24.8    -4.371     9.309     0.867     8.442    18.274     0.638    17.637     0.003
  0.600     426.4     401.5      24.9    -4.367     9.460     0.881     8.578    18.723     0.658    18.064     0.004
  0.700     426.3     401.3      25.1    -4.363     9.610     0.896     8.715    19.171     0.680    18.491     0.004
  0.800     426.2     401.0      25.2    -4.360     9.761     0.910     8.851    19.619     0.701    18.918     0.004
  0.900     426.0     400.7      25.3    -4.356     9.912     0.924     8.988    20.067     0.723    19.344     0.004
  1.000     425.9     400.5      25.4    -4.352    10.062     0.938     9.124    20.514     0.745    19.768     0.004
  1.100     425.8     400.2      25.5    -4.349    10.212     0.953     9.260    20.960     0.768    20.192     0.004
  1.200     425.6     400.0      25.6    -4.345    10.363     0.967     9.396    21.405     0.791    20.614     0.004
  1.300     425.4     399.7      25.7    -4.341    10.513     0.981     9.532    21.850     0.814    21.036     0.004
  1.400     425.3     399.5      25.8    -4.337    10.663     0.995     9.668    22.293     0.838    21.455     0.005
  1.500     425.1     399.2      25.9    -4.334    10.813     1.010     9.803    22.735     0.861    21.873     0.005
  1.600     424.9     399.0      25.9    -4.330    10.963     1.024     9.939    23.175     0.886    22.289     0.005
  1.700     424.7     398.7      26.0    -4.326    11.113     1.038    10.075    23.614     0.910    22.704     0.005
  1.800     424.5     398.5      26.0    -4.323    11.263     1.052    10.210    24.051     0.935    23.116     0.005
  1.900     424.3     398.2      26.1    -4.319    11.412     1.067    10.346    24.487     0.960    23.526     0.005
  2.000     424.1     398.0      26.1    -4.315    11.562     1.081    10.481    24.920     0.986    23.934     0.005
  2.100     423.9     397.7      26.2    -4.312    11.711     1.095    10.616    25.352     1.012    24.340     0.005
  2.200     423.6     397.5      26.2    -4.308    11.861     1.110    10.751    25.781     1.038    24.743     0.006
  2.300     423.4     397.2      26.2    -4.304    12.010     1.124    10.886    26.208     1.064    25.144     0.006
  2.400     423.2     397.0      26.2    -4.301    12.159     1.138    11.021    26.633     1.091    25.542     0.006
  2.500     422.9     396.7      26.2    -4.297    12.308     1.152    11.156    27.056     1.118    25.937     0.006
  2.600     422.7     396.5      26.2    -4.293    12.457     1.167    11.291    27.476     1.146    26.330     0.006
  2.700     422.4     396.2      26.2    -4.290    12.606     1.181    11.425    27.893     1.173    26.720     0.006
  2.800     422.2     396.0      26.2    -4.286    12.755     1.195    11.560    28.308     1.201    27.107     0.007
  2.900     421.9     395.7      26.2    -4.282    12.904     1.210    11.694    28.720     1.230    27.491     0.007
  3.000     421.6     395.5      26.2    -4.279    13.053     1.224    11.829    29.130     1.259    27.871     0.007
  3.100     421.4     395.2      26.1    -4.275    13.201     1.238    11.963    29.537     1.288    28.249     0.007
  3.200     421.1     395.0      26.1    -4.271    13.349     1.252    12.097    29.940     1.317    28.623     0.007
  3.300     420.8     394.7      26.1    -4.268    13.498     1.267    12.231    30.341     1.347    28.995     0.007
  3.400     420.5     394.5      26.0    -4.264    13.646     1.281    12.365    30.739     1.377    29.363     0.007
  3.500     420.2     394.2      26.0    -4.260    13.794     1.295    12.499    31.134     1.407    29.727     0.008
  3.600     419.9     394.0      25.9    -4.257    13.942     1.310    12.632    31.526     1.438    30.088     0.008
  3.700     419.6     393.7      25.9    -4.253    14.090     1.324    12.766    31.915     1.469    30.446     0.008
  3.800     419.3     393.5      25.8    -4.249    14.238     1.338    12.899    32.301     1.500    30.801     0.008
  3.900     419.0     393.2      25.8    -4.246    14.385     1.353    13.033    32.683     1.532    31.152     0.008
  4.000     418.7     393.0      25.7    -4.242    14.533     1.367    13.166    33.063     1.564    31.499     0.009
  4.200     418.0     392.5      25.5    -4.235    14.828     1.396    13.432    33.812     1.628    32.183     0.009
  4.400     417.4     392.0      25.4    -4.227    15.122     1.424    13.698    34.547     1.694    32.853     0.009
  4.600     416.7     391.5      25.2    -4.220    15.416     1.453    13.963    35.270     1.762    33.508     0.010
  4.800     416.0     391.0      25.0    -4.213    15.709     1.482    14.227    35.980     1.830    34.149     0.010
  5.000     415.3     390.6      24.8    -4.206    16.002     1.510    14.492    36.676     1.900    34.776     0.010
  5.200     414.6     390.1      24.5    -4.198    16.294     1.539    14.755    37.358     1.971    35.387     0.011
  5.400     413.9     389.6      24.3    -4.191    16.586     1.568    15.018    38.028     2.043    35.984     0.011
  5.600     413.2     389.1      24.1    -4.184    16.877     1.596    15.281    38.683     2.117    36.567     0.012
  5.800     412.4     388.6      23.8    -4.176    17.168     1.625    15.543    39.326     2.191    37.134     0.012
  6.000     411.7     388.2      23.5    -4.169    17.458     1.654    15.804    39.955     2.267    37.688     0.012
  6.200     410.9     387.7      23.3    -4.162    17.748     1.682    16.065    40.571     2.345    38.227     0.013
  6.400     410.2     387.2      23.0    -4.155    18.037     1.711    16.326    41.174     2.423    38.751     0.013
  6.600     409.4     386.7      22.7    -4.147    18.325     1.740    16.586    41.764     2.502    39.262     0.014
  6.800     408.6     386.2      22.4    -4.140    18.613     1.769    16.845    42.341     2.583    39.758     0.014
  7.000     407.9     385.8      22.1    -4.133    18.901     1.797    17.103    42.906     2.665    40.241     0.015
  7.200     407.1     385.3      21.8    -4.126    19.188     1.826    17.361    43.458     2.748    40.710     0.015
  7.400     406.3     384.8      21.4    -4.119    19.474     1.855    17.619    43.998     2.833    41.165     0.016
  7.600     405.5     384.4      21.1    -4.111    19.759     1.884    17.876    44.525     2.918    41.607     0.016
