                    ************************************************************************************************
                    *  Z= 49 A=118: Positive-Parity Spin-dependent Level Density [MeV-1] for In118 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.120  6.37E-01 2.55E+00 2.04E+01 1.23E-01 3.34E-01 4.58E-01 4.79E-01 4.16E-01 3.12E-01 2.05E-01 1.20E-01 6.20E-02 2.88E-02 1.20E-02 4.48E-03 1.51E-03 4.58E-04 1.25E-04 3.09E-05 6.90E-06 1.39E-06 2.53E-07 4.17E-08 6.22E-09 8.39E-10 1.02E-10 1.13E-11 1.13E-12 1.02E-13 8.39E-15 6.23E-16 4.19E-17 2.55E-18
   0.50  0.170  1.91E+00 5.08E+00 4.07E+01 2.45E-01 6.66E-01 9.13E-01 9.54E-01 8.30E-01 6.22E-01 4.09E-01 2.38E-01 1.24E-01 5.74E-02 2.39E-02 8.93E-03 3.01E-03 9.12E-04 2.50E-04 6.16E-05 1.37E-05 2.77E-06 5.05E-07 8.32E-08 1.24E-08 1.67E-09 2.04E-10 2.25E-11 2.25E-12 2.04E-13 1.67E-14 1.24E-15 8.35E-17 5.09E-18
   0.75  0.208  4.44E+00 1.01E+01 8.23E+01 4.75E-01 1.30E+00 1.79E+00 1.88E+00 1.65E+00 1.26E+00 8.40E-01 4.99E-01 2.65E-01 1.26E-01 5.38E-02 2.07E-02 7.21E-03 2.27E-03 6.45E-04 1.66E-04 3.87E-05 8.16E-06 1.56E-06 2.71E-07 4.27E-08 6.10E-09 7.90E-10 9.29E-11 9.92E-12 9.62E-13 8.47E-14 6.77E-15 4.92E-16 3.24E-17
   1.00  0.241  9.47E+00 2.01E+01 1.70E+02 8.78E-01 2.41E+00 3.37E+00 3.62E+00 3.27E+00 2.57E+00 1.79E+00 1.11E+00 6.23E-01 3.15E-01 1.44E-01 5.97E-02 2.25E-02 7.72E-03 2.41E-03 6.85E-04 1.78E-04 4.21E-05 9.08E-06 1.79E-06 3.22E-07 5.30E-08 7.95E-09 1.09E-09 1.37E-10 1.57E-11 1.64E-12 1.57E-13 1.38E-14 1.10E-15
   1.25  0.269  1.92E+01 3.88E+01 3.46E+02 1.52E+00 4.21E+00 5.98E+00 6.61E+00 6.20E+00 5.10E+00 3.75E+00 2.49E+00 1.50E+00 8.24E-01 4.13E-01 1.90E-01 7.99E-02 3.09E-02 1.10E-02 3.59E-03 1.08E-03 2.99E-04 7.62E-05 1.79E-05 3.87E-06 7.73E-07 1.42E-07 2.42E-08 3.78E-09 5.46E-10 7.27E-11 8.94E-12 1.01E-12 1.06E-13
   1.50  0.295  3.72E+01 7.21E+01 6.73E+02 2.58E+00 7.20E+00 1.04E+01 1.17E+01 1.13E+01 9.60E+00 7.36E+00 5.12E+00 3.26E+00 1.90E+00 1.02E+00 5.06E-01 2.31E-01 9.77E-02 3.82E-02 1.38E-02 4.63E-03 1.44E-03 4.15E-04 1.11E-04 2.76E-05 6.35E-06 1.36E-06 2.69E-07 4.96E-08 8.50E-09 1.35E-09 2.00E-10 2.74E-11 3.50E-12
   1.75  0.318  6.96E+01 1.30E+02 1.26E+03 4.31E+00 1.21E+01 1.76E+01 2.02E+01 1.98E+01 1.74E+01 1.37E+01 9.92E+00 6.58E+00 4.03E+00 2.28E+00 1.20E+00 5.83E-01 2.64E-01 1.11E-01 4.35E-02 1.59E-02 5.41E-03 1.71E-03 5.07E-04 1.40E-04 3.60E-05 8.64E-06 1.94E-06 4.06E-07 7.93E-08 1.45E-08 2.47E-09 3.93E-10 5.84E-11
   2.00  0.340  1.26E+02 2.27E+02 2.28E+03 7.06E+00 1.99E+01 2.93E+01 3.40E+01 3.40E+01 3.04E+01 2.46E+01 1.83E+01 1.26E+01 8.01E+00 4.73E+00 2.60E+00 1.33E+00 6.38E-01 2.85E-01 1.19E-01 4.66E-02 1.70E-02 5.83E-03 1.87E-03 5.61E-04 1.58E-04 4.17E-05 1.03E-05 2.39E-06 5.20E-07 1.06E-07 2.03E-08 3.64E-09 6.12E-10
