                    ************************************************************************************************
                    *  Z= 48 A=117: Positive-Parity Spin-dependent Level Density [MeV-1] for Cd117 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.119  1.84E+00 7.34E+00 5.74E+01 7.18E-01 1.23E+00 1.43E+00 1.33E+00 1.04E+00 7.11E-01 4.25E-01 2.24E-01 1.05E-01 4.39E-02 1.64E-02 5.48E-03 1.64E-03 4.39E-04 1.06E-04 2.29E-05 4.45E-06 7.77E-07 1.22E-07 1.73E-08 2.20E-09 2.52E-10 2.60E-11 2.41E-12 2.01E-13 1.52E-14 1.03E-15 6.29E-17 3.47E-18 1.72E-19
   0.50  0.168  4.53E+00 1.08E+01 8.41E+01 1.05E+00 1.80E+00 2.09E+00 1.95E+00 1.53E+00 1.04E+00 6.23E-01 3.29E-01 1.54E-01 6.45E-02 2.41E-02 8.03E-03 2.40E-03 6.45E-04 1.55E-04 3.36E-05 6.52E-06 1.14E-06 1.79E-07 2.53E-08 3.22E-09 3.69E-10 3.81E-11 3.53E-12 2.96E-13 2.23E-14 1.51E-15 9.23E-17 5.08E-18 2.52E-19
   0.75  0.205  8.48E+00 1.58E+01 1.26E+02 1.48E+00 2.56E+00 3.00E+00 2.83E+00 2.27E+00 1.58E+00 9.71E-01 5.29E-01 2.57E-01 1.12E-01 4.36E-02 1.53E-02 4.81E-03 1.36E-03 3.49E-04 8.05E-05 1.68E-05 3.15E-06 5.35E-07 8.20E-08 1.14E-08 1.42E-09 1.61E-10 1.65E-11 1.53E-12 1.28E-13 9.70E-15 6.65E-16 4.12E-17 2.31E-18
   1.00  0.237  1.43E+01 2.32E+01 1.91E+02 2.04E+00 3.56E+00 4.24E+00 4.09E+00 3.37E+00 2.43E+00 1.56E+00 8.89E-01 4.56E-01 2.11E-01 8.77E-02 3.31E-02 1.13E-02 3.49E-03 9.78E-04 2.49E-04 5.75E-05 1.21E-05 2.31E-06 4.00E-07 6.32E-08 9.07E-09 1.18E-09 1.41E-10 1.52E-11 1.50E-12 1.34E-13 1.10E-14 8.15E-16 5.52E-17
   1.25  0.265  2.28E+01 3.40E+01 2.89E+02 2.83E+00 4.96E+00 5.99E+00 5.89E+00 4.98E+00 3.71E+00 2.46E+00 1.47E+00 7.88E-01 3.83E-01 1.69E-01 6.81E-02 2.49E-02 8.30E-03 2.52E-03 7.00E-04 1.78E-04 4.11E-05 8.70E-06 1.68E-06 2.98E-07 4.82E-08 7.14E-09 9.67E-10 1.20E-10 1.36E-11 1.42E-12 1.35E-13 1.17E-14 9.36E-16
   1.50  0.290  3.52E+01 4.98E+01 4.36E+02 3.92E+00 6.93E+00 8.47E+00 8.48E+00 7.33E+00 5.61E+00 3.84E+00 2.37E+00 1.33E+00 6.79E-01 3.16E-01 1.34E-01 5.23E-02 1.86E-02 6.09E-03 1.82E-03 5.02E-04 1.27E-04 2.94E-05 6.26E-06 1.23E-06 2.21E-07 3.65E-08 5.56E-09 7.78E-10 1.00E-10 1.19E-11 1.29E-12 1.30E-13 1.20E-14
   1.75  0.314  5.35E+01 7.31E+01 6.58E+02 5.45E+00 9.70E+00 1.20E+01 1.22E+01 1.07E+01 8.42E+00 5.94E+00 3.79E+00 2.21E+00 1.18E+00 5.73E-01 2.56E-01 1.05E-01 3.98E-02 1.39E-02 4.45E-03 1.32E-03 3.59E-04 9.04E-05 2.10E-05 4.50E-06 8.90E-07 1.63E-07 2.75E-08 4.28E-09 6.17E-10 8.22E-11 1.01E-11 1.15E-12 1.21E-13
   2.00  0.335  8.03E+01 1.07E+02 9.91E+02 7.60E+00 1.36E+01 1.70E+01 1.75E+01 1.57E+01 1.26E+01 9.10E+00 5.99E+00 3.61E+00 1.99E+00 1.01E+00 4.74E-01 2.05E-01 8.18E-02 3.02E-02 1.03E-02 3.25E-03 9.49E-04 2.57E-04 6.45E-05 1.50E-05 3.23E-06 6.45E-07 1.20E-07 2.05E-08 3.28E-09 4.84E-10 6.65E-11 8.46E-12 1.00E-12
   2.25  0.356  1.20E+02 1.57E+02 1.49E+03 1.06E+01 1.91E+01 2.41E+01 2.51E+01 2.29E+01 1.87E+01 1.39E+01 9.38E+00 5.82E+00 3.33E+00 1.75E+00 8.56E-01 3.87E-01 1.62E-01 6.29E-02 2.27E-02 7.60E-03 2.36E-03 6.84E-04 1.84E-04 4.60E-05 1.07E-05 2.32E-06 4.67E-07 8.76E-08 1.53E-08 2.49E-09 3.77E-10 5.31E-11 6.97E-12
   2.50  0.375  1.77E+02 2.31E+02 2.24E+03 1.49E+01 2.69E+01 3.42E+01 3.61E+01 3.34E+01 2.78E+01 2.10E+01 1.45E+01 9.28E+00 5.47E+00 2.99E+00 1.51E+00 7.11E-01 3.11E-01 1.27E-01 4.80E-02 1.70E-02 5.59E-03 1.72E-03 4.92E-04 1.32E-04 3.28E-05 7.65E-06 1.66E-06 3.38E-07 6.41E-08 1.14E-08 1.88E-09 2.91E-10 4.20E-11
   2.75  0.393  2.62E+02 3.38E+02 3.36E+03 2.09E+01 3.80E+01 4.86E+01 5.18E+01 4.86E+01 4.11E+01 3.16E+01 2.24E+01 1.47E+01 8.89E+00 5.01E+00 2.62E+00 1.28E+00 5.83E-01 2.48E-01 9.83E-02 3.65E-02 1.27E-02 4.10E-03 1.25E-03 3.54E-04 9.41E-05 2.34E-05 5.46E-06 1.19E-06 2.44E-07 4.67E-08 8.39E-09 1.41E-09 2.23E-10
   3.00  0.411  3.86E+02 4.96E+02 5.03E+03 2.94E+01 5.36E+01 6.90E+01 7.43E+01 7.06E+01 6.05E+01 4.75E+01 3.43E+01 2.30E+01 1.43E+01 8.28E+00 4.48E+00 2.26E+00 1.07E+00 4.72E-01 1.95E-01 7.57E-02 2.75E-02 9.39E-03 3.01E-03 9.02E-04 2.54E-04 6.73E-05 1.67E-05 3.90E-06 8.55E-07 1.76E-07 3.40E-08 6.18E-09 1.06E-09
   3.25  0.428  5.68E+02 7.27E+02 7.53E+03 4.14E+01 7.58E+01 9.82E+01 1.07E+02 1.02E+02 8.91E+01 7.10E+01 5.23E+01 3.58E+01 2.28E+01 1.35E+01 7.53E+00 3.92E+00 1.92E+00 8.78E-01 3.78E-01 1.53E-01 5.80E-02 2.07E-02 6.95E-03 2.20E-03 6.53E-04 1.83E-04 4.81E-05 1.19E-05 2.79E-06 6.13E-07 1.27E-07 2.47E-08 4.55E-09
   3.50  0.444  8.34E+02 1.07E+03 1.13E+04 5.84E+01 1.07E+02 1.40E+02 1.53E+02 1.49E+02 1.31E+02 1.06E+02 7.93E+01 5.53E+01 3.60E+01 2.19E+01 1.25E+01 6.71E+00 3.38E+00 1.60E+00 7.13E-01 2.99E-01 1.18E-01 4.41E-02 1.55E-02 5.13E-03 1.60E-03 4.72E-04 1.31E-04 3.44E-05 8.52E-06 1.99E-06 4.39E-07 9.14E-08 1.80E-08
   3.75  0.459  1.23E+03 1.56E+03 1.68E+04 8.25E+01 1.52E+02 1.99E+02 2.20E+02 2.15E+02 1.92E+02 1.57E+02 1.20E+02 8.50E+01 5.65E+01 3.52E+01 2.06E+01 1.13E+01 5.87E+00 2.87E+00 1.32E+00 5.74E-01 2.36E-01 9.13E-02 3.34E-02 1.16E-02 3.78E-03 1.17E-03 3.41E-04 9.41E-05 2.46E-05 6.08E-06 1.42E-06 3.14E-07 6.58E-08
   4.00  0.474  1.80E+03 2.29E+03 2.52E+04 1.17E+02 2.16E+02 2.84E+02 3.16E+02 3.12E+02 2.81E+02 2.33E+02 1.80E+02 1.30E+02 8.81E+01 5.60E+01 3.35E+01 1.89E+01 1.01E+01 5.05E+00 2.40E+00 1.08E+00 4.58E-01 1.84E-01 6.99E-02 2.52E-02 8.59E-03 2.77E-03 8.48E-04 2.46E-04 6.75E-05 1.76E-05 4.34E-06 1.01E-06 2.25E-07
