#
# Reference Number = 2408 Incident Particle: neutron  imodel=1
# Target: Z= 94 A= 239 Number of energies=  92
# Type potential: rotational   dispersive+SO(Anal.Integr.)  relativ.Schoedr.
# First Author: R.Capote      
# Z-Range=90- 97  A-Range=228-249  E-Range=   0.001- 200.000 MeV         Ef = -6.090
# ncoll= 5 lmax= 8 ndef= 6 K= 0.5 betas:  0.219   0.095  -0.016
# WARNING: V = VHF + DWV for dispersive potentials
# En(MeV)   V     RV     AV      DWV     W      RW     AW      VD     RVD    AVD     WD     RWD    AWD     VSO    RVSO   AVSO    WSO    RWSO   AWSO   VHFpn    WSpn     DVSpn     WVpn    DVVpn   V(Lane)  W(Lane)    VHF
  0.001  44.675 1.2502 0.6380  1.0340  0.0706 1.2530 0.6803  3.5929 1.1808 0.6035  2.5484 1.1808 0.6035  5.7313 1.1214 0.5900 -0.0045 1.1214 0.5900  -0.561   -0.281   -0.397    0.000    0.000   -9.388   -4.710   43.641
  0.002  44.674 1.2502 0.6380  1.0341  0.0706 1.2530 0.6803  3.5932 1.1808 0.6035  2.5490 1.1808 0.6035  5.7312 1.1214 0.5900 -0.0045 1.1214 0.5900  -0.561   -0.282   -0.397    0.000    0.000   -9.388   -4.711   43.640
  0.003  44.674 1.2502 0.6380  1.0343  0.0706 1.2530 0.6803  3.5934 1.1808 0.6035  2.5496 1.1808 0.6035  5.7312 1.1214 0.5900 -0.0045 1.1214 0.5900  -0.561   -0.282   -0.397    0.000    0.000   -9.388   -4.712   43.640
  0.004  44.674 1.2502 0.6380  1.0345  0.0706 1.2530 0.6803  3.5936 1.1808 0.6035  2.5503 1.1808 0.6035  5.7311 1.1214 0.5900 -0.0045 1.1214 0.5900  -0.561   -0.282   -0.397    0.000    0.000   -9.388   -4.713   43.639
  0.005  44.673 1.2502 0.6380  1.0346  0.0707 1.2530 0.6803  3.5938 1.1808 0.6035  2.5509 1.1808 0.6035  5.7311 1.1214 0.5900 -0.0045 1.1214 0.5900  -0.561   -0.282   -0.397    0.000    0.000   -9.387   -4.714   43.639
  0.006  44.673 1.2502 0.6380  1.0348  0.0707 1.2530 0.6803  3.5940 1.1808 0.6035  2.5515 1.1808 0.6035  5.7310 1.1214 0.5900 -0.0045 1.1214 0.5900  -0.561   -0.282   -0.397    0.000    0.000   -9.387   -4.716   43.638
  0.007  44.673 1.2502 0.6380  1.0350  0.0707 1.2530 0.6803  3.5943 1.1808 0.6035  2.5521 1.1808 0.6035  5.7310 1.1214 0.5900 -0.0045 1.1214 0.5900  -0.561   -0.282   -0.397    0.000    0.000   -9.387   -4.717   43.638
  0.008  44.673 1.2502 0.6380  1.0352  0.0707 1.2530 0.6803  3.5945 1.1808 0.6035  2.5527 1.1808 0.6035  5.7309 1.1214 0.5900 -0.0045 1.1214 0.5900  -0.561   -0.282   -0.397    0.000    0.000   -9.387   -4.718   43.637
  0.009  44.672 1.2502 0.6380  1.0353  0.0707 1.2530 0.6803  3.5947 1.1808 0.6035  2.5534 1.1808 0.6035  5.7309 1.1214 0.5900 -0.0045 1.1214 0.5900  -0.561   -0.282   -0.397    0.000    0.000   -9.387   -4.719   43.637
  0.010  44.672 1.2502 0.6380  1.0355  0.0708 1.2530 0.6803  3.5949 1.1808 0.6035  2.5540 1.1808 0.6035  5.7308 1.1214 0.5900 -0.0045 1.1214 0.5900  -0.561   -0.282   -0.397    0.000    0.000   -9.387   -4.720   43.637
  0.020  44.669 1.2502 0.6380  1.0372  0.0710 1.2530 0.6803  3.5971 1.1808 0.6035  2.5602 1.1808 0.6035  5.7304 1.1214 0.5900 -0.0045 1.1214 0.5900  -0.561   -0.283   -0.397    0.000    0.000   -9.386   -4.732   43.632
  0.030  44.666 1.2502 0.6380  1.0388  0.0712 1.2530 0.6803  3.5993 1.1808 0.6035  2.5664 1.1808 0.6035  5.7299 1.1214 0.5900 -0.0045 1.1214 0.5900  -0.561   -0.283   -0.398    0.000    0.000   -9.385   -4.743   43.628
  0.040  44.664 1.2502 0.6380  1.0405  0.0715 1.2530 0.6803  3.6014 1.1808 0.6035  2.5726 1.1808 0.6035  5.7294 1.1214 0.5900 -0.0045 1.1214 0.5900  -0.561   -0.284   -0.398    0.000    0.000   -9.384   -4.755   43.623
  0.050  44.661 1.2502 0.6380  1.0422  0.0717 1.2530 0.6803  3.6035 1.1808 0.6035  2.5788 1.1808 0.6035  5.7289 1.1214 0.5900 -0.0046 1.1214 0.5900  -0.561   -0.285   -0.398    0.000    0.000   -9.383   -4.766   43.618
  0.060  44.658 1.2502 0.6380  1.0439  0.0719 1.2530 0.6803  3.6057 1.1808 0.6035  2.5850 1.1808 0.6035  5.7284 1.1214 0.5900 -0.0046 1.1214 0.5900  -0.561   -0.286   -0.398    0.000    0.000   -9.382   -4.778   43.614
  0.070  44.655 1.2502 0.6380  1.0456  0.0722 1.2530 0.6803  3.6078 1.1808 0.6035  2.5912 1.1808 0.6035  5.7279 1.1214 0.5900 -0.0046 1.1214 0.5900  -0.561   -0.286   -0.398    0.000    0.000   -9.381   -4.789   43.609
  0.080  44.652 1.2502 0.6380  1.0473  0.0724 1.2530 0.6803  3.6099 1.1808 0.6035  2.5975 1.1808 0.6035  5.7274 1.1214 0.5900 -0.0046 1.1214 0.5900  -0.561   -0.287   -0.399    0.000    0.000   -9.380   -4.801   43.605
