# Reference Number = 2408 Incident Particle: neutron  imodel=1 Target: Z= 94 A= 239 Ef = -6.090
# En(MeV)     RealPot   RVolPot   RSurPot    VSOPot   DVolPot    DVolNonL  DVolSym    ImPot    ImVolPot   ImSurPot   WSOPot
  0.001     420.6     395.4      25.1    -4.286     9.284     0.865     8.419    18.469     0.634    17.835     0.003
  0.002     420.6     395.4      25.1    -4.286     9.286     0.865     8.421    18.474     0.634    17.840     0.003
  0.003     420.6     395.4      25.1    -4.286     9.287     0.865     8.422    18.478     0.634    17.844     0.003
  0.004     420.6     395.4      25.2    -4.286     9.289     0.866     8.423    18.483     0.634    17.848     0.003
  0.005     420.6     395.4      25.2    -4.286     9.290     0.866     8.425    18.487     0.634    17.853     0.003
  0.006     420.5     395.4      25.2    -4.286     9.292     0.866     8.426    18.492     0.635    17.857     0.003
  0.007     420.5     395.4      25.2    -4.285     9.293     0.866     8.427    18.496     0.635    17.862     0.003
  0.008     420.5     395.4      25.2    -4.285     9.295     0.866     8.429    18.501     0.635    17.866     0.003
  0.009     420.5     395.4      25.2    -4.285     9.296     0.866     8.430    18.505     0.635    17.870     0.003
  0.010     420.5     395.4      25.2    -4.285     9.298     0.866     8.431    18.510     0.635    17.875     0.003
  0.020     420.5     395.4      25.2    -4.285     9.313     0.868     8.445    18.556     0.638    17.918     0.003
  0.030     420.5     395.3      25.2    -4.285     9.328     0.869     8.459    18.601     0.640    17.961     0.003
  0.040     420.5     395.3      25.2    -4.284     9.343     0.871     8.472    18.647     0.642    18.005     0.003
  0.050     420.5     395.3      25.2    -4.284     9.358     0.872     8.486    18.692     0.644    18.048     0.003
  0.060     420.5     395.3      25.2    -4.284     9.373     0.874     8.500    18.738     0.646    18.092     0.003
  0.070     420.5     395.2      25.2    -4.283     9.388     0.875     8.513    18.783     0.648    18.135     0.003
  0.080     420.5     395.2      25.3    -4.283     9.404     0.876     8.527    18.829     0.650    18.179     0.003
  0.090     420.5     395.2      25.3    -4.282     9.419     0.878     8.541    18.874     0.652    18.222     0.003
  0.100     420.5     395.2      25.3    -4.282     9.434     0.879     8.554    18.920     0.654    18.266     0.003
  0.200     420.3     394.9      25.4    -4.278     9.585     0.894     8.691    19.375     0.675    18.700     0.004
  0.300     420.2     394.7      25.6    -4.275     9.735     0.908     8.827    19.830     0.697    19.133     0.004
  0.400     420.1     394.4      25.7    -4.271     9.886     0.922     8.964    20.285     0.719    19.566     0.004
  0.500     420.0     394.2      25.8    -4.268    10.036     0.936     9.100    20.739     0.741    19.998     0.004
  0.600     419.8     393.9      25.9    -4.264    10.187     0.951     9.236    21.193     0.763    20.429     0.004
  0.700     419.7     393.7      26.0    -4.260    10.337     0.965     9.373    21.645     0.786    20.859     0.004
  0.800     419.5     393.4      26.1    -4.257    10.488     0.979     9.509    22.097     0.809    21.287     0.004
  0.900     419.4     393.2      26.2    -4.253    10.638     0.993     9.645    22.547     0.833    21.714     0.004
  1.000     419.2     392.9      26.3    -4.250    10.788     1.008     9.780    22.996     0.857    22.140     0.005
  1.100     419.0     392.7      26.3    -4.246    10.938     1.022     9.916    23.444     0.881    22.563     0.005
  1.200     418.8     392.4      26.4    -4.242    11.088     1.036    10.052    23.890     0.905    22.985     0.005
  1.300     418.7     392.2      26.5    -4.239    11.238     1.051    10.188    24.334     0.930    23.404     0.005
  1.400     418.5     392.0      26.5    -4.235    11.388     1.065    10.323    24.777     0.955    23.822     0.005
  1.500     418.3     391.7      26.5    -4.231    11.538     1.079    10.459    25.218     0.981    24.237     0.005
  1.600     418.0     391.5      26.6    -4.228    11.687     1.093    10.594    25.656     1.007    24.650     0.005
  1.700     417.8     391.2      26.6    -4.224    11.837     1.108    10.729    26.093     1.033    25.060     0.005
  1.800     417.6     391.0      26.6    -4.221    11.986     1.122    10.864    26.527     1.059    25.468     0.006
  1.900     417.4     390.7      26.6    -4.217    12.136     1.136    10.999    26.959     1.086    25.873     0.006
  2.000     417.1     390.5      26.7    -4.213    12.285     1.151    11.134    27.389     1.113    26.276     0.006
  2.100     416.9     390.2      26.7    -4.210    12.434     1.165    11.269    27.816     1.140    26.676     0.006
  2.200     416.7     390.0      26.7    -4.206    12.583     1.179    11.404    28.241     1.168    27.073     0.006
  2.300     416.4     389.8      26.6    -4.203    12.732     1.194    11.539    28.662     1.196    27.466     0.006
  2.400     416.1     389.5      26.6    -4.199    12.881     1.208    11.673    29.082     1.224    27.857     0.007
  2.500     415.9     389.3      26.6    -4.195    13.030     1.222    11.808    29.498     1.253    28.245     0.007
  2.600     415.6     389.0      26.6    -4.192    13.178     1.237    11.942    29.912     1.282    28.630     0.007
  2.700     415.3     388.8      26.6    -4.188    13.327     1.251    12.076    30.322     1.311    29.011     0.007
  2.800     415.1     388.6      26.5    -4.185    13.475     1.265    12.210    30.730     1.341    29.389     0.007
  2.900     414.8     388.3      26.5    -4.181    13.624     1.279    12.344    31.135     1.371    29.764     0.007
  3.000     414.5     388.1      26.4    -4.177    13.772     1.294    12.478    31.536     1.401    30.135     0.007
  3.100     414.2     387.8      26.4    -4.174    13.920     1.308    12.612    31.935     1.432    30.503     0.008
  3.200     413.9     387.6      26.3    -4.170    14.068     1.322    12.746    32.330     1.463    30.868     0.008
  3.300     413.6     387.4      26.3    -4.167    14.216     1.337    12.879    32.723     1.494    31.229     0.008
  3.400     413.3     387.1      26.2    -4.163    14.364     1.351    13.013    33.112     1.526    31.586     0.008
  3.500     413.0     386.9      26.1    -4.160    14.512     1.365    13.146    33.498     1.558    31.940     0.008
  3.600     412.7     386.6      26.0    -4.156    14.659     1.380    13.279    33.880     1.590    32.290     0.008
  3.700     412.4     386.4      26.0    -4.152    14.807     1.394    13.412    34.259     1.622    32.637     0.009
  3.800     412.0     386.2      25.9    -4.149    14.954     1.408    13.545    34.635     1.655    32.980     0.009
  3.900     411.7     385.9      25.8    -4.145    15.101     1.423    13.678    35.008     1.688    33.320     0.009
  4.000     411.4     385.7      25.7    -4.142    15.248     1.437    13.811    35.377     1.722    33.655     0.009
  4.200     410.7     385.2      25.5    -4.134    15.542     1.466    14.076    36.105     1.790    34.316     0.010
  4.400     410.0     384.7      25.3    -4.127    15.835     1.495    14.341    36.820     1.859    34.962     0.010
  4.600     409.4     384.3      25.1    -4.120    16.128     1.523    14.605    37.521     1.929    35.592     0.010
  4.800     408.7     383.8      24.9    -4.113    16.420     1.552    14.869    38.209     2.000    36.208     0.011
  5.000     407.9     383.3      24.6    -4.106    16.712     1.581    15.132    38.883     2.073    36.809     0.011
  5.200     407.2     382.9      24.4    -4.099    17.004     1.609    15.394    39.543     2.147    37.395     0.011
  5.400     406.5     382.4      24.1    -4.092    17.294     1.638    15.656    40.189     2.223    37.967     0.012
  5.600     405.7     381.9      23.8    -4.085    17.585     1.667    15.918    40.823     2.299    38.524     0.012
  5.800     405.0     381.5      23.5    -4.078    17.874     1.696    16.179    41.442     2.377    39.066     0.013
  6.000     404.2     381.0      23.2    -4.070    18.163     1.724    16.439    42.049     2.456    39.593     0.013
  6.200     403.5     380.5      22.9    -4.063    18.452     1.753    16.699    42.642     2.536    40.107     0.014
  6.400     402.7     380.1      22.6    -4.056    18.740     1.782    16.958    43.223     2.617    40.606     0.014
  6.600     401.9     379.6      22.3    -4.049    19.027     1.811    17.217    43.790     2.699    41.091     0.014
  6.800     401.1     379.2      22.0    -4.042    19.314     1.840    17.475    44.345     2.783    41.562     0.015
  7.000     400.4     378.7      21.7    -4.035    19.600     1.868    17.732    44.888     2.868    42.020     0.015
  7.200     399.6     378.2      21.3    -4.028    19.886     1.897    17.989    45.418     2.954    42.464     0.016
  7.400     398.8     377.8      21.0    -4.021    20.171     1.926    18.245    45.936     3.041    42.896     0.016
  7.600     398.0     377.3      20.7    -4.014    20.455     1.955    18.501    46.443     3.129    43.314     0.017
  7.800     397.2     376.9      20.3    -4.007    20.739     1.984    18.755    46.938     3.219    43.719     0.017
  8.000     396.4     376.4      20.0    -4.000    21.022     2.013    19.010    47.421     3.309    44.112     0.018
  8.200     395.6     376.0      19.6    -3.993    21.305     2.041    19.263    47.893     3.401    44.492     0.018
  8.400     394.8     375.5      19.3    -3.986    21.587     2.070    19.516    48.355     3.494    44.861     0.019
  8.600     394.0     375.1      18.9    -3.979    21.868     2.099    19.769    48.805     3.588    45.218     0.019
  8.800     393.2     374.6      18.6    -3.972    22.148     2.128    20.020    49.246     3.683    45.563     0.020
  9.000     392.4     374.1      18.2    -3.965    22.428     2.157    20.271    49.675     3.779    45.896     0.020
  9.200     391.5     373.7      17.8    -3.958    22.707     2.186    20.522    50.095     3.877    46.219     0.021
  9.400     390.7     373.3      17.5    -3.951    22.986     2.215    20.771    50.505     3.975    46.530     0.022
