                    ************************************************************************************************
                    *  Z= 40 A= 92: Positive-Parity Spin-dependent Level Density [MeV-1] for Zr 92 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.148  1.21E-01 4.83E-01 2.98E+00 3.89E-02 9.90E-02 1.19E-01 1.02E-01 6.76E-02 3.63E-02 1.60E-02 5.83E-03 1.77E-03 4.50E-04 9.60E-05 1.72E-05 2.60E-06 3.30E-07 3.54E-08 3.21E-09 2.46E-10 1.59E-11 8.69E-13 4.02E-14 1.57E-15 5.21E-17 1.46E-18 3.47E-20 6.97E-22 1.19E-23 1.71E-25 2.09E-27 2.16E-29 1.00E-30
   0.50  0.209  2.82E-01 6.44E-01 3.98E+00 5.19E-02 1.32E-01 1.58E-01 1.35E-01 9.01E-02 4.84E-02 2.13E-02 7.77E-03 2.36E-03 6.00E-04 1.28E-04 2.29E-05 3.46E-06 4.40E-07 4.73E-08 4.28E-09 3.28E-10 2.12E-11 1.16E-12 5.36E-14 2.10E-15 6.95E-17 1.95E-18 4.62E-20 9.29E-22 1.58E-23 2.28E-25 2.78E-27 2.88E-29 1.00E-30
   0.75  0.255  4.96E-01 8.58E-01 5.30E+00 6.92E-02 1.76E-01 2.11E-01 1.80E-01 1.20E-01 6.45E-02 2.84E-02 1.04E-02 3.15E-03 8.00E-04 1.71E-04 3.06E-05 4.62E-06 5.87E-07 6.30E-08 5.71E-09 4.37E-10 2.83E-11 1.55E-12 7.15E-14 2.80E-15 9.26E-17 2.60E-18 6.16E-20 1.24E-21 2.11E-23 3.04E-25 3.71E-27 3.84E-29 1.00E-30
   1.00  0.295  7.82E-01 1.14E+00 7.07E+00 9.22E-02 2.35E-01 2.81E-01 2.41E-01 1.60E-01 8.60E-02 3.79E-02 1.38E-02 4.20E-03 1.07E-03 2.27E-04 4.08E-05 6.15E-06 7.83E-07 8.40E-08 7.61E-09 5.82E-10 3.77E-11 2.06E-12 9.53E-14 3.73E-15 1.23E-16 3.46E-18 8.22E-20 1.65E-21 2.81E-23 4.05E-25 4.95E-27 5.12E-29 1.00E-30
   1.25  0.330  1.16E+00 1.53E+00 9.43E+00 1.23E-01 3.13E-01 3.75E-01 3.21E-01 2.14E-01 1.15E-01 5.05E-02 1.84E-02 5.59E-03 1.42E-03 3.03E-04 5.44E-05 8.20E-06 1.04E-06 1.12E-07 1.01E-08 7.76E-10 5.02E-11 2.75E-12 1.27E-13 4.97E-15 1.65E-16 4.62E-18 1.10E-19 2.20E-21 3.75E-23 5.40E-25 6.59E-27 6.82E-29 1.00E-30
   1.50  0.361  1.67E+00 2.03E+00 1.26E+01 1.64E-01 4.17E-01 5.00E-01 4.28E-01 2.85E-01 1.53E-01 6.73E-02 2.45E-02 7.46E-03 1.90E-03 4.04E-04 7.25E-05 1.09E-05 1.39E-06 1.49E-07 1.35E-08 1.04E-09 6.69E-11 3.66E-12 1.69E-13 6.63E-15 2.20E-16 6.15E-18 1.46E-19 2.94E-21 5.00E-23 7.20E-25 8.79E-27 9.10E-29 1.00E-30
   1.75  0.390  2.35E+00 2.71E+00 1.68E+01 2.19E-01 5.56E-01 6.67E-01 5.70E-01 3.80E-01 2.04E-01 8.97E-02 3.27E-02 9.94E-03 2.53E-03 5.39E-04 9.66E-05 1.46E-05 1.85E-06 1.99E-07 1.80E-08 1.38E-09 8.93E-11 4.88E-12 2.26E-13 8.84E-15 2.93E-16 8.20E-18 1.95E-19 3.91E-21 6.66E-23 9.60E-25 1.17E-26 1.21E-28 1.06E-30
   2.00  0.417  3.25E+00 3.62E+00 2.23E+01 2.91E-01 7.41E-01 8.89E-01 7.60E-01 5.06E-01 2.72E-01 1.20E-01 4.36E-02 1.33E-02 3.37E-03 7.19E-04 1.29E-04 1.94E-05 2.47E-06 2.65E-07 2.40E-08 1.84E-09 1.19E-10 6.51E-12 3.01E-13 1.18E-14 3.90E-16 1.09E-17 2.60E-19 5.22E-21 8.88E-23 1.28E-24 1.56E-26 1.62E-28 1.42E-30
