                    ************************************************************************************************
                    *  Z= 40 A= 93: Positive-Parity Spin-dependent Level Density [MeV-1] for Zr 93 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   3.25  0.517  5.39E+01 6.09E+01 4.99E+02 5.43E+00 9.44E+00 1.12E+01 1.08E+01 8.84E+00 6.35E+00 4.03E+00 2.29E+00 1.16E+00 5.32E-01 2.19E-01 8.17E-02 2.75E-02 8.39E-03 2.32E-03 5.81E-04 1.32E-04 2.73E-05 5.11E-06 8.69E-07 1.34E-07 1.89E-08 2.41E-09 2.80E-10 2.95E-11 2.83E-12 2.47E-13 1.96E-14 1.42E-15 9.30E-17
   3.50  0.537  7.50E+01 8.43E+01 7.11E+02 7.13E+00 1.25E+01 1.50E+01 1.47E+01 1.23E+01 9.11E+00 5.98E+00 3.52E+00 1.87E+00 8.96E-01 3.89E-01 1.54E-01 5.51E-02 1.80E-02 5.34E-03 1.45E-03 3.57E-04 8.05E-05 1.65E-05 3.10E-06 5.32E-07 8.32E-08 1.19E-08 1.55E-09 1.85E-10 2.02E-11 2.01E-12 1.84E-13 1.53E-14 1.16E-15
   3.75  0.556  1.04E+02 1.17E+02 1.01E+03 9.40E+00 1.66E+01 2.02E+01 2.00E+01 1.72E+01 1.30E+01 8.78E+00 5.35E+00 2.95E+00 1.47E+00 6.72E-01 2.79E-01 1.06E-01 3.67E-02 1.17E-02 3.39E-03 9.00E-04 2.19E-04 4.90E-05 1.00E-05 1.89E-06 3.25E-07 5.15E-08 7.47E-09 9.95E-10 1.22E-10 1.37E-11 1.41E-12 1.34E-13 1.16E-14
   4.00  0.574  1.45E+02 1.62E+02 1.44E+03 1.24E+01 2.20E+01 2.71E+01 2.73E+01 2.38E+01 1.84E+01 1.28E+01 8.03E+00 4.58E+00 2.38E+00 1.13E+00 4.93E-01 1.97E-01 7.21E-02 2.43E-02 7.51E-03 2.14E-03 5.59E-04 1.35E-04 2.99E-05 6.10E-06 1.15E-06 1.99E-07 3.18E-08 4.67E-09 6.34E-10 7.93E-11 9.15E-12 9.73E-13 9.54E-14
   4.25  0.592  2.01E+02 2.24E+02 2.04E+03 1.64E+01 2.93E+01 3.64E+01 3.71E+01 3.29E+01 2.60E+01 1.85E+01 1.19E+01 7.03E+00 3.79E+00 1.87E+00 8.50E-01 3.55E-01 1.37E-01 4.86E-02 1.59E-02 4.81E-03 1.34E-03 3.46E-04 8.25E-05 1.82E-05 3.70E-06 6.97E-07 1.21E-07 1.96E-08 2.92E-09 4.02E-10 5.14E-11 6.07E-12 6.63E-13
   4.50  0.609  2.78E+02 3.10E+02 2.88E+03 2.18E+01 3.91E+01 4.89E+01 5.05E+01 4.55E+01 3.66E+01 2.66E+01 1.76E+01 1.07E+01 5.93E+00 3.04E+00 1.43E+00 6.25E-01 2.52E-01 9.39E-02 3.24E-02 1.04E-02 3.07E-03 8.42E-04 2.14E-04 5.05E-05 1.11E-05 2.25E-06 4.24E-07 7.42E-08 1.20E-08 1.82E-09 2.54E-10 3.31E-11 3.99E-12
   4.75  0.625  3.86E+02 4.30E+02 4.08E+03 2.90E+01 5.22E+01 6.57E+01 6.87E+01 6.27E+01 5.13E+01 3.80E+01 2.58E+01 1.60E+01 9.18E+00 4.85E+00 2.37E+00 1.08E+00 4.52E-01 1.76E-01 6.38E-02 2.14E-02 6.70E-03 1.95E-03 5.26E-04 1.32E-04 3.09E-05 6.74E-06 1.37E-06 2.58E-07 4.53E-08 7.41E-09 1.13E-09 1.60E-10 2.12E-11
   5.00  0.642  5.35E+02 5.96E+02 5.77E+03 3.85E+01 6.97E+01 8.85E+01 9.33E+01 8.63E+01 7.17E+01 5.42E+01 3.75E+01 2.39E+01 1.40E+01 7.66E+00 3.87E+00 1.82E+00 7.93E-01 3.22E-01 1.22E-01 4.29E-02 1.41E-02 4.31E-03 1.23E-03 3.28E-04 8.16E-05 1.89E-05 4.10E-06 8.29E-07 1.57E-07 2.76E-08 4.55E-09 7.00E-10 1.01E-10
   5.50  0.673  1.11E+03 1.14E+03 1.15E+04 6.86E+01 1.25E+02 1.61E+02 1.72E+02 1.63E+02 1.39E+02 1.09E+02 7.81E+01 5.19E+01 3.21E+01 1.84E+01 9.86E+00 4.93E+00 2.30E+00 1.01E+00 4.11E-01 1.57E-01 5.64E-02 1.89E-02 5.97E-03 1.76E-03 4.88E-04 1.27E-04 3.09E-05 7.07E-06 1.52E-06 3.06E-07 5.78E-08 1.03E-08 1.71E-09
   6.00  0.703  2.20E+03 2.18E+03 2.27E+04 1.23E+02 2.26E+02 2.93E+02 3.19E+02 3.07E+02 2.67E+02 2.14E+02 1.58E+02 1.08E+02 6.94E+01 4.14E+01 2.32E+01 1.21E+01 5.96E+00 2.75E+00 1.19E+00 4.85E-01 1.86E-01 6.68E-02 2.26E-02 7.22E-03 2.17E-03 6.12E-04 1.63E-04 4.09E-05 9.65E-06 2.15E-06 4.50E-07 8.89E-08 1.66E-08
   6.50  0.732  4.24E+03 4.07E+03 4.34E+04 2.19E+02 4.04E+02 5.27E+02 5.79E+02 5.64E+02 5.00E+02 4.07E+02 3.07E+02 2.16E+02 1.42E+02 8.72E+01 5.04E+01 2.73E+01 1.39E+01 6.70E+00 3.03E+00 1.29E+00 5.20E-01 1.97E-01 7.06E-02 2.38E-02 7.60E-03 2.29E-03 6.51E-04 1.75E-04 4.44E-05 1.06E-05 2.41E-06 5.15E-07 1.04E-07
   7.00  0.759  7.95E+03 7.43E+03 8.10E+04 3.83E+02 7.07E+02 9.29E+02 1.03E+03 1.01E+03 9.10E+02 7.53E+02 5.79E+02 4.15E+02 2.79E+02 1.76E+02 1.05E+02 5.85E+01 3.09E+01 1.54E+01 7.22E+00 3.21E+00 1.35E+00 5.34E-01 2.00E-01 7.11E-02 2.39E-02 7.60E-03 2.29E-03 6.53E-04 1.76E-04 4.51E-05 1.09E-05 2.50E-06 5.44E-07
   7.50  0.786  1.46E+04 1.33E+04 1.48E+05 6.57E+02 1.22E+03 1.61E+03 1.80E+03 1.79E+03 1.62E+03 1.36E+03 1.06E+03 7.76E+02 5.33E+02 3.44E+02 2.09E+02 1.20E+02 6.53E+01 3.35E+01 1.63E+01 7.49E+00 3.26E+00 1.35E+00 5.27E-01 1.95E-01 6.88E-02 2.30E-02 7.27E-03 2.18E-03 6.23E-04 1.68E-04 4.33E-05 1.06E-05 2.44E-06
