# Reference Number = 2408 Incident Particle: neutron  imodel=1 Target: Z= 91 A= 232 Ef = -6.040
# En(MeV)     RealPot   RVolPot   RSurPot    VSOPot   DVolPot    DVolNonL  DVolSym    ImPot    ImVolPot   ImSurPot   WSOPot
  0.090     427.2     402.0      25.2    -4.370     9.326     0.869     8.457    18.634     0.641    17.994     0.003
  0.100     427.2     402.0      25.2    -4.370     9.341     0.870     8.471    18.680     0.643    18.037     0.003
  0.200     427.1     401.7      25.3    -4.366     9.492     0.885     8.607    19.135     0.664    18.471     0.004
  0.300     427.0     401.5      25.5    -4.362     9.643     0.899     8.744    19.590     0.685    18.905     0.004
  0.400     426.8     401.2      25.6    -4.359     9.793     0.913     8.880    20.045     0.707    19.338     0.004
  0.500     426.7     401.0      25.7    -4.355     9.943     0.927     9.016    20.499     0.729    19.770     0.004
  0.600     426.6     400.7      25.8    -4.351    10.094     0.942     9.152    20.952     0.751    20.202     0.004
  0.700     426.4     400.5      26.0    -4.347    10.244     0.956     9.288    21.405     0.773    20.632     0.004
  0.800     426.3     400.2      26.0    -4.344    10.394     0.970     9.424    21.857     0.796    21.060     0.004
  0.900     426.1     400.0      26.1    -4.340    10.544     0.984     9.560    22.308     0.820    21.488     0.004
  1.000     425.9     399.7      26.2    -4.336    10.694     0.999     9.695    22.757     0.843    21.914     0.005
  1.100     425.7     399.4      26.3    -4.333    10.844     1.013     9.831    23.205     0.867    22.338     0.005
  1.200     425.5     399.2      26.4    -4.329    10.994     1.027     9.966    23.652     0.891    22.760     0.005
  1.300     425.4     398.9      26.4    -4.325    11.143     1.042    10.102    24.097     0.916    23.180     0.005
  1.400     425.2     398.7      26.5    -4.322    11.293     1.056    10.237    24.540     0.941    23.599     0.005
  1.500     424.9     398.4      26.5    -4.318    11.442     1.070    10.372    24.981     0.966    24.015     0.005
  1.600     424.7     398.2      26.5    -4.314    11.592     1.084    10.507    25.421     0.992    24.429     0.005
  1.700     424.5     397.9      26.6    -4.311    11.741     1.099    10.643    25.858     1.018    24.840     0.006
  1.800     424.3     397.7      26.6    -4.307    11.890     1.113    10.777    26.293     1.044    25.249     0.006
  1.900     424.1     397.4      26.6    -4.303    12.039     1.127    10.912    26.726     1.070    25.655     0.006
  2.000     423.8     397.2      26.6    -4.300    12.188     1.141    11.047    27.156     1.097    26.059     0.006
  2.100     423.6     396.9      26.6    -4.296    12.337     1.156    11.182    27.584     1.125    26.460     0.006
  2.200     423.3     396.7      26.6    -4.292    12.486     1.170    11.316    28.010     1.152    26.858     0.006
  2.300     423.1     396.4      26.6    -4.289    12.635     1.184    11.451    28.433     1.180    27.253     0.006
  2.400     422.8     396.2      26.6    -4.285    12.784     1.199    11.585    28.853     1.208    27.645     0.007
  2.500     422.5     395.9      26.6    -4.281    12.932     1.213    11.719    29.271     1.237    28.034     0.007
  2.600     422.3     395.7      26.6    -4.278    13.081     1.227    11.854    29.686     1.265    28.420     0.007
  2.700     422.0     395.4      26.6    -4.274    13.229     1.241    11.988    30.097     1.294    28.803     0.007
  2.800     421.7     395.2      26.5    -4.270    13.377     1.256    12.122    30.506     1.324    29.182     0.007
  2.900     421.4     394.9      26.5    -4.267    13.525     1.270    12.255    30.912     1.354    29.559     0.007
  3.000     421.1     394.7      26.4    -4.263    13.673     1.284    12.389    31.315     1.384    29.931     0.008
  3.100     420.8     394.4      26.4    -4.259    13.821     1.299    12.523    31.715     1.414    30.301     0.008
  3.200     420.5     394.2      26.3    -4.256    13.969     1.313    12.656    32.112     1.445    30.667     0.008
  3.300     420.2     394.0      26.3    -4.252    14.117     1.327    12.790    32.505     1.476    31.029     0.008
  3.400     419.9     393.7      26.2    -4.248    14.264     1.341    12.923    32.896     1.507    31.388     0.008
  3.500     419.6     393.5      26.1    -4.245    14.412     1.356    13.056    33.283     1.539    31.744     0.008
  3.600     419.3     393.2      26.1    -4.241    14.559     1.370    13.189    33.667     1.571    32.096     0.009
  3.700     419.0     393.0      26.0    -4.237    14.706     1.384    13.322    34.047     1.603    32.444     0.009
  3.800     418.6     392.7      25.9    -4.234    14.854     1.399    13.455    34.425     1.636    32.789     0.009
  3.900     418.3     392.5      25.8    -4.230    15.001     1.413    13.588    34.799     1.669    33.130     0.009
  4.000     418.0     392.2      25.7    -4.226    15.147     1.427    13.720    35.169     1.702    33.467     0.009
  4.200     417.3     391.8      25.5    -4.219    15.441     1.456    13.985    35.900     1.769    34.131     0.010
  4.400     416.6     391.3      25.3    -4.212    15.734     1.485    14.249    36.618     1.838    34.780     0.010
  4.600     415.9     390.8      25.1    -4.204    16.026     1.513    14.513    37.322     1.908    35.414     0.010
  4.800     415.2     390.3      24.9    -4.197    16.318     1.542    14.776    38.012     1.979    36.034     0.011
  5.000     414.5     389.8      24.7    -4.190    16.610     1.571    15.039    38.689     2.051    36.638     0.011
  5.200     413.7     389.3      24.4    -4.183    16.900     1.599    15.301    39.352     2.125    37.227     0.012
  5.400     413.0     388.8      24.1    -4.175    17.191     1.628    15.563    40.002     2.200    37.802     0.012
  5.600     412.2     388.4      23.9    -4.168    17.481     1.657    15.824    40.638     2.276    38.362     0.012
  5.800     411.5     387.9      23.6    -4.161    17.770     1.685    16.085    41.260     2.353    38.908     0.013
  6.000     410.7     387.4      23.3    -4.154    18.059     1.714    16.345    41.870     2.431    39.439     0.013
  6.200     409.9     386.9      23.0    -4.146    18.347     1.743    16.604    42.466     2.511    39.955     0.014
  6.400     409.2     386.5      22.7    -4.139    18.635     1.772    16.863    43.049     2.592    40.457     0.014
  6.600     408.4     386.0      22.4    -4.132    18.922     1.800    17.121    43.620     2.674    40.946     0.015
  6.800     407.6     385.5      22.1    -4.125    19.208     1.829    17.379    44.177     2.757    41.420     0.015
  7.000     406.8     385.0      21.7    -4.118    19.494     1.858    17.636    44.723     2.841    41.881     0.016
  7.200     406.0     384.6      21.4    -4.110    19.779     1.887    17.893    45.255     2.927    42.329     0.016
  7.400     405.2     384.1      21.1    -4.103    20.064     1.915    18.149    45.776     3.014    42.763     0.017
  7.600     404.4     383.6      20.7    -4.096    20.348     1.944    18.404    46.285     3.101    43.184     0.017
  7.800     403.5     383.2      20.4    -4.089    20.631     1.973    18.658    46.783     3.190    43.592     0.018
  8.000     402.7     382.7      20.1    -4.082    20.914     2.002    18.912    47.268     3.281    43.988     0.018
  8.200     401.9     382.2      19.7    -4.074    21.196     2.030    19.166    47.743     3.372    44.371     0.019
  8.400     401.1     381.7      19.3    -4.067    21.478     2.059    19.418    48.207     3.464    44.742     0.019
  8.600     400.3     381.3      19.0    -4.060    21.758     2.088    19.670    48.660     3.558    45.102     0.020
  8.800     399.5     380.8      18.6    -4.053    22.039     2.117    19.922    49.102     3.653    45.449     0.020
  9.000     398.6     380.4      18.3    -4.046    22.318     2.146    20.172    49.534     3.748    45.786     0.021
  9.200     397.8     379.9      17.9    -4.039    22.597     2.175    20.422    49.956     3.845    46.111     0.021
  9.400     397.0     379.4      17.6    -4.032    22.875     2.203    20.672    50.368     3.943    46.425     0.022
  9.600     396.2     379.0      17.2    -4.024    23.153     2.232    20.920    50.771     4.042    46.728     0.022
  9.800     395.3     378.5      16.8    -4.017    23.429     2.261    21.168    51.164     4.143    47.021     0.023
 10.000     394.5     378.0      16.5    -4.010    23.705     2.290    21.416    51.548     4.244    47.304     0.024
 10.500     392.5     376.9      15.6    -3.992    24.393     2.362    22.030    52.469     4.502    47.967     0.025
 11.000     390.4     375.8      14.7    -3.975    25.075     2.434    22.641    53.338     4.766    48.571     0.027
 11.500     388.4     374.6      13.8    -3.957    25.753     2.507    23.246    54.158     5.038    49.120     0.028
 12.000     386.3     373.5      12.9    -3.939    26.426     2.579    23.847    54.931     5.315    49.616     0.030
 12.500     384.3     372.4      12.0    -3.922    27.095     2.652    24.443    55.662     5.599    50.063     0.031
 13.000     382.3     371.2      11.1    -3.904    27.758     2.724    25.034    56.353     5.889    50.464     0.033
 13.500     380.3     370.1      10.2    -3.887    28.416     2.797    25.620    57.007     6.185    50.822     0.035
 14.000     378.4     369.0       9.4    -3.869    29.070     2.869    26.201    57.626     6.487    51.139     0.037
 14.500     376.4     367.9       8.5    -3.852    29.718     2.942    26.776    58.213     6.795    51.418     0.038
 15.000     374.5     366.8       7.7    -3.834    30.361     3.014    27.346    58.770     7.109    51.661     0.040
 15.500     372.6     365.7       6.9    -3.817    30.998     3.087    27.911    59.299     7.428    51.871     0.042
 16.000     370.7     364.6       6.1    -3.800    31.631     3.160    28.471    59.803     7.753    52.050     0.044
 16.500     368.8     363.5       5.3    -3.783    32.257     3.233    29.025    60.282     8.083    52.200     0.046
 17.000     366.9     362.4       4.5    -3.765    32.879     3.306    29.573    60.740     8.418    52.322     0.048
 17.500     365.1     361.3       3.7    -3.748    33.494     3.378    30.116    61.177     8.759    52.419     0.050
 18.000     363.2     360.2       3.0    -3.731    34.104     3.451    30.653    61.596     9.104    52.492     0.052
 18.500     361.4     359.2       2.3    -3.714    34.709     3.524    31.184    61.997     9.455    52.542     0.054
 19.000     359.6     358.1       1.6    -3.697    35.307     3.597    31.710    62.382     9.810    52.572     0.057
 19.500     357.9     357.0       0.9    -3.680    35.900     3.671    32.229    62.752    10.170    52.582     0.059
 20.000     356.1     355.9       0.2    -3.663    36.487     3.744    32.743    63.108    10.534    52.574     0.061
 20.500     354.4     354.9      -0.5    -3.646    37.068     3.817    33.251    63.452    10.903    52.549     0.063
 21.000     352.7     353.8      -1.1    -3.629    37.643     3.890    33.753    63.784    11.276    52.508     0.066
 21.500     351.0     352.7      -1.8    -3.612    38.212     3.964    34.248    64.105    11.653    52.452     0.068
 22.000     349.3     351.7      -2.4    -3.596    38.775     4.037    34.738    64.417    12.034    52.383     0.070
 22.500     347.6     350.6      -3.0    -3.579    39.332     4.110    35.222    64.719    12.419    52.300     0.073
 23.000     345.9     349.5      -3.6    -3.562    39.883     4.184    35.699    65.013    12.808    52.205     0.075
 23.500     344.3     348.5      -4.2    -3.546    40.428     4.257    36.171    65.299    13.201    52.099     0.078
 24.000     342.7     347.4      -4.7    -3.529    40.967     4.331    36.636    65.579    13.597    51.982     0.081
 24.500     341.1     346.4      -5.3    -3.513    41.500     4.405    37.095    65.851    13.997    51.855     0.083
 25.000     339.5     345.3      -5.8    -3.496    42.026     4.478    37.548    66.118    14.399    51.719     0.086
 25.500     337.9     344.3      -6.4    -3.480    42.546     4.552    37.994    66.379    14.805    51.574     0.088
 26.000     336.3     343.2      -6.9    -3.463    43.061     4.626    38.435    66.636    15.214    51.421     0.091
 26.500     334.8     342.2      -7.4    -3.447    43.569     4.700    38.869    66.888    15.626    51.261     0.094
 27.000     333.3     341.1      -7.9    -3.431    44.070     4.773    39.297    67.135    16.041    51.094     0.097
 27.500     331.7     340.1      -8.4    -3.414    44.566     4.847    39.719    67.379    16.459    50.920     0.100
 28.000     330.2     339.1      -8.8    -3.398    45.055     4.921    40.134    67.619    16.879    50.740     0.102
 28.500     328.7     338.0      -9.3    -3.382    45.539     4.995    40.543    67.856    17.301    50.555     0.105
 29.000     327.3     337.0      -9.7    -3.366    46.016     5.069    40.946    68.090    17.726    50.364     0.108
 29.500     325.8     336.0     -10.2    -3.350    46.487     5.144    41.343    68.321    18.153    50.168     0.111
 30.000     324.3     334.9     -10.6    -3.334    46.951     5.218    41.733    68.550    18.583    49.968     0.114
 31.000     321.4     332.9     -11.4    -3.302    47.862     5.366    42.496    69.002    19.447    49.555     0.120
 32.000     318.6     330.8     -12.2    -3.271    48.748     5.515    43.233    69.446    20.319    49.127     0.127
 33.000     315.8     328.8     -13.0    -3.239    49.610     5.664    43.946    69.884    21.197    48.687     0.133
 34.000     313.0     326.7     -13.7    -3.208    50.448     5.813    44.635    70.317    22.080    48.237     0.139
 35.000     310.3     324.7     -14.4    -3.177    51.262     5.962    45.299    70.746    22.969    47.778     0.146
 36.000     307.6     322.7     -15.0    -3.146    52.052     6.112    45.940    71.172    23.861    47.311     0.153
 37.000     305.0     320.6     -15.6    -3.116    52.818     6.262    46.556    71.594    24.756    46.838     0.160
 38.000     302.4     318.6     -16.2    -3.085    53.561     6.412    47.149    72.014    25.654    46.360     0.167
 39.000     299.8     316.6     -16.8    -3.055    54.281     6.562    47.719    72.432    26.554    45.878     0.174
 40.000     297.2     314.6     -17.4    -3.025    54.979     6.712    48.267    72.848    27.455    45.394     0.181
 41.000     294.7     312.6     -17.9    -2.996    55.654     6.863    48.791    73.263    28.356    44.907     0.188
 42.000     292.2     310.6     -18.4    -2.966    56.307     7.013    49.294    73.676    29.257    44.419     0.196
 43.000     289.8     308.6     -18.8    -2.937    56.939     7.164    49.774    74.087    30.157    43.930     0.203
 44.000     287.3     306.6     -19.3    -2.908    57.549     7.316    50.233    74.497    31.056    43.441     0.211
 45.000     284.9     304.6     -19.7    -2.879    58.139     7.467    50.672    74.905    31.953    42.952     0.218
 46.000     282.5     302.7     -20.1    -2.850    58.708     7.619    51.089    75.312    32.848    42.464     0.226
 47.000     280.2     300.7     -20.5    -2.822    59.257     7.770    51.487    75.717    33.739    41.978     0.234
 48.000     277.9     298.7     -20.9    -2.793    59.787     7.922    51.864    76.121    34.628    41.493     0.242
 49.000     275.5     296.8     -21.2    -2.766    60.297     8.075    52.223    76.522    35.512    41.010     0.250
 50.000     273.3     294.8     -21.6    -2.738    60.789     8.227    52.562    76.922    36.392    40.530     0.258
 51.000     271.0     292.9     -21.9    -2.710    61.263     8.380    52.883    77.320    37.268    40.052     0.267
 52.000     268.8     290.9     -22.2    -2.683    61.718     8.532    53.186    77.715    38.138    39.577     0.275
 53.000     266.5     289.0     -22.5    -2.656    62.157     8.685    53.471    78.108    39.004    39.105     0.283
 54.000     264.3     287.1     -22.8    -2.629    62.578     8.839    53.739    78.499    39.863    38.636     0.292
 55.000     262.2     285.2     -23.0    -2.602    62.983     8.992    53.991    78.887    40.717    38.171     0.300
 56.000     260.0     283.3     -23.3    -2.576    63.372     9.146    54.226    79.273    41.564    37.709     0.309
 57.000     257.9     281.4     -23.5    -2.549    63.745     9.300    54.445    79.655    42.405    37.251     0.318
 58.000     255.8     279.5     -23.7    -2.523    64.103     9.454    54.649    80.035    43.238    36.796     0.326
 59.000     253.7     277.6     -23.9    -2.498    64.446     9.608    54.838    80.411    44.065    36.346     0.335
 60.000     251.6     275.8     -24.2    -2.472    64.775     9.762    55.012    80.785    44.885    35.900     0.344
 61.000     249.5     273.9     -24.3    -2.447    65.089     9.917    55.172    81.155    45.697    35.457     0.353
 62.000     247.5     272.0     -24.5    -2.421    65.391    10.072    55.319    81.521    46.502    35.019     0.362
 63.000     245.5     270.2     -24.7    -2.397    65.679    10.227    55.452    81.884    47.299    34.585     0.371
 64.000     243.5     268.4     -24.9    -2.372    65.955    10.383    55.572    82.243    48.088    34.155     0.380
 65.000     241.5     266.5     -25.0    -2.347    66.218    10.538    55.680    82.599    48.870    33.729     0.389
 66.000     239.6     264.7     -25.2    -2.323    66.469    10.694    55.776    82.951    49.643    33.308     0.399
 67.000     237.6     262.9     -25.3    -2.299    66.709    10.850    55.860    83.299    50.408    32.891     0.408
 68.000     235.7     261.1     -25.4    -2.275    66.938    11.006    55.932    83.643    51.164    32.479     0.417
 69.000     233.8     259.3     -25.5    -2.251    67.156    11.162    55.994    83.983    51.912    32.070     0.426
 70.000     231.9     257.6     -25.7    -2.228    67.364    11.319    56.045    84.319    52.652    31.666     0.436
 71.000     230.0     255.8     -25.8    -2.205    67.562    11.476    56.086    84.651    53.384    31.267     0.445
 72.000     228.2     254.0     -25.9    -2.182    67.750    11.633    56.117    84.978    54.107    30.872     0.454
 73.000     226.4     252.3     -25.9    -2.159    67.929    11.790    56.139    85.302    54.821    30.481     0.464
 74.000     224.5     250.6     -26.0    -2.136    68.098    11.947    56.151    85.621    55.527    30.094     0.473
 75.000     222.7     248.8     -26.1    -2.114    68.260    12.105    56.154    85.936    56.224    29.712     0.483
 76.000     221.0     247.1     -26.2    -2.092    68.412    12.263    56.149    86.247    56.913    29.335     0.492
 77.000     219.2     245.4     -26.2    -2.070    68.557    12.421    56.136    86.554    57.593    28.961     0.502
 78.000     217.4     243.8     -26.3    -2.048    68.694    12.579    56.115    86.856    58.264    28.592     0.511
 79.000     215.7     242.1     -26.4    -2.026    68.824    12.738    56.086    87.154    58.927    28.227     0.521
 80.000     214.0     240.4     -26.4    -2.005    68.946    12.897    56.050    87.448    59.582    27.866     0.530
 81.000     212.3     238.8     -26.5    -1.984    69.062    13.055    56.007    87.737    60.228    27.510     0.540
 82.000     210.6     237.1     -26.5    -1.963    69.171    13.215    55.957    88.023    60.865    27.157     0.550
 83.000     209.0     235.5     -26.5    -1.942    69.274    13.374    55.900    88.304    61.494    26.809     0.559
 84.000     207.3     233.9     -26.6    -1.921    69.371    13.534    55.837    88.580    62.115    26.465     0.569
 85.000     205.7     232.3     -26.6    -1.901    69.462    13.693    55.768    88.853    62.728    26.125     0.578
 86.000     204.1     230.7     -26.6    -1.881    69.547    13.853    55.694    89.121    63.332    25.790     0.588
 87.000     202.5     229.1     -26.6    -1.861    69.628    14.014    55.614    89.386    63.928    25.458     0.597
 88.000     200.9     227.5     -26.6    -1.841    69.703    14.174    55.529    89.646    64.516    25.130     0.607
 89.000     199.3     226.0     -26.7    -1.821    69.773    14.335    55.438    89.902    65.096    24.806     0.617
 90.000     197.8     224.4     -26.7    -1.802    69.838    14.496    55.343    90.154    65.668    24.487     0.626
 91.000     196.2     222.9     -26.7    -1.783    69.900    14.657    55.243    90.402    66.231    24.171     0.636
 92.000     194.7     221.4     -26.7    -1.764    69.957    14.818    55.139    90.646    66.788    23.858     0.645
