# Reference Number = 2408 Incident Particle: neutron  imodel=1 Target: Z= 91 A= 232 Ef = -6.040
# En(MeV) DWV/w        DWVsym/w       DW>/w         DW</w            w         DWS/wd           wd         DWvso/wso       wso
  2.900  9.991773      9.053591      1.256040     -.3178572     0.1510230     0.8958178      4.209422      17.89689     -.9648341E-02
  3.000  9.881563      8.953441      1.242522     -.3144011     0.1543786     0.8831742      4.262519      17.69892     -.9864701E-02
  3.100  9.773767      8.855484      1.229305     -.3110215     0.1577696     0.8707758      4.315132      17.50528     -.1008344E-01
  3.200  9.668307      8.759646      1.216377     -.3077160     0.1611961     0.8586150      4.367256      17.31583     -.1030455E-01
  3.300  9.565109      8.665861      1.203730     -.3044822     0.1646579     0.8466840      4.418886      17.13044     -.1052803E-01
  3.400  9.464099      8.574063      1.191354     -.3013178     0.1681551     0.8349758      4.470016      16.94897     -.1075389E-01
  3.500  9.365209      8.484189      1.179241     -.2982206     0.1716874     0.8234834      4.520642      16.77131     -.1098212E-01
  3.600  9.268374      8.396180      1.167383     -.2951886     0.1752550     0.8122001      4.570759      16.59734     -.1121272E-01
  3.700  9.173530      8.309977      1.155772     -.2922197     0.1788576     0.8011197      4.620365      16.42694     -.1144569E-01
  3.800  9.080616      8.225527      1.144401     -.2893120     0.1824953     0.7902361      4.669454      16.26000     -.1168103E-01
  3.900  8.989575      8.142777      1.133262     -.2864636     0.1861680     0.7795433      4.718025      16.09642     -.1191873E-01
  4.000  8.900349      8.061674      1.122348     -.2836729     0.1898756     0.7690358      4.766075      15.93610     -.1215881E-01
  4.200  8.727133      7.904221      1.101169     -.2782574     0.1973952     0.7485552      4.860603      15.62485     -.1264604E-01
  4.400  8.560564      7.752801      1.080816     -.2730526     0.2050538     0.7287536      4.953025      15.32553     -.1314273E-01
  4.600  8.400266      7.607073      1.061240     -.2680466     0.2128507     0.7095933      5.043330      15.03746     -.1364887E-01
  4.800  8.245893      7.466722      1.042399     -.2632286     0.2207854     0.6910394      5.131517      14.76001     -.1416443E-01
  5.000  8.097122      7.331457      1.024253     -.2585881     0.2288574     0.6730593      5.217584      14.49263     -.1468942E-01
  5.200  7.953655      7.201005      1.006765     -.2541158     0.2370660     0.6556232      5.301537      14.23475     -.1522383E-01
  5.400  7.815213      7.075115     0.9899009     -.2498028     0.2454108     0.6387028      5.383384      13.98590     -.1576763E-01
  5.600  7.681537      6.953550     0.9736277     -.2456410     0.2538911     0.6222721      5.463136      13.74559     -.1632084E-01
