#
# Reference Number = 2408 Incident Particle: neutron  imodel=1
# Target: Z= 91 A= 232 Number of energies= 190
# Type potential: rotational   dispersive+SO(Anal.Integr.)  relativ.Schoedr.
# First Author: R.Capote      
# Z-Range=90- 97  A-Range=228-249  E-Range=   0.001- 200.000 MeV         Ef = -6.040
# ncoll= 1 lmax= 6 ndef= 6 K= 2.0 betas:  0.178   0.115   0.012
# WARNING: V = VHF + DWV for dispersive potentials
# En(MeV)   V     RV     AV      DWV     W      RW     AW      VD     RVD    AVD     WD     RWD    AWD     VSO    RVSO   AVSO    WSO    RWSO   AWSO   VHFpn    WSpn     DVSpn     WVpn    DVVpn   V(Lane)  W(Lane)    VHF
  0.001  44.669 1.2598 0.6240  1.0256  0.0694 1.2530 0.6780  3.5677 1.1808 0.6000  2.5074 1.1808 0.6000  5.7337 1.1214 0.5900 -0.0044 1.1214 0.5900  -0.573   -0.284   -0.404    0.000    0.000   -9.393   -4.652   43.643
  0.002  44.669 1.2598 0.6240  1.0257  0.0694 1.2530 0.6780  3.5680 1.1808 0.6000  2.5081 1.1808 0.6000  5.7337 1.1214 0.5900 -0.0044 1.1214 0.5900  -0.573   -0.284   -0.404    0.000    0.000   -9.393   -4.654   43.643
  0.003  44.668 1.2598 0.6240  1.0259  0.0695 1.2530 0.6780  3.5682 1.1808 0.6000  2.5087 1.1808 0.6000  5.7336 1.1214 0.5900 -0.0044 1.1214 0.5900  -0.573   -0.284   -0.404    0.000    0.000   -9.393   -4.655   43.642
  0.004  44.668 1.2598 0.6240  1.0261  0.0695 1.2530 0.6780  3.5684 1.1808 0.6000  2.5093 1.1808 0.6000  5.7336 1.1214 0.5900 -0.0044 1.1214 0.5900  -0.573   -0.284   -0.404    0.000    0.000   -9.392   -4.656   43.642
  0.005  44.668 1.2598 0.6240  1.0262  0.0695 1.2530 0.6780  3.5686 1.1808 0.6000  2.5099 1.1808 0.6000  5.7335 1.1214 0.5900 -0.0044 1.1214 0.5900  -0.573   -0.284   -0.404    0.000    0.000   -9.392   -4.657   43.641
  0.006  44.667 1.2598 0.6240  1.0264  0.0695 1.2530 0.6780  3.5689 1.1808 0.6000  2.5105 1.1808 0.6000  5.7335 1.1214 0.5900 -0.0044 1.1214 0.5900  -0.573   -0.284   -0.404    0.000    0.000   -9.392   -4.658   43.641
  0.007  44.667 1.2598 0.6240  1.0266  0.0696 1.2530 0.6780  3.5691 1.1808 0.6000  2.5112 1.1808 0.6000  5.7334 1.1214 0.5900 -0.0044 1.1214 0.5900  -0.573   -0.284   -0.404    0.000    0.000   -9.392   -4.659   43.641
  0.008  44.667 1.2598 0.6240  1.0267  0.0696 1.2530 0.6780  3.5693 1.1808 0.6000  2.5118 1.1808 0.6000  5.7334 1.1214 0.5900 -0.0044 1.1214 0.5900  -0.573   -0.284   -0.404    0.000    0.000   -9.392   -4.660   43.640
  0.009  44.667 1.2598 0.6240  1.0269  0.0696 1.2530 0.6780  3.5695 1.1808 0.6000  2.5124 1.1808 0.6000  5.7333 1.1214 0.5900 -0.0044 1.1214 0.5900  -0.573   -0.284   -0.404    0.000    0.000   -9.392   -4.662   43.640
  0.010  44.666 1.2598 0.6240  1.0271  0.0696 1.2530 0.6780  3.5698 1.1808 0.6000  2.5130 1.1808 0.6000  5.7333 1.1214 0.5900 -0.0044 1.1214 0.5900  -0.573   -0.284   -0.404    0.000    0.000   -9.392   -4.663   43.639
  0.020  44.663 1.2598 0.6240  1.0288  0.0698 1.2530 0.6780  3.5720 1.1808 0.6000  2.5192 1.1808 0.6000  5.7328 1.1214 0.5900 -0.0044 1.1214 0.5900  -0.572   -0.285   -0.404    0.000    0.000   -9.391   -4.674   43.635
  0.030  44.661 1.2598 0.6240  1.0304  0.0701 1.2530 0.6780  3.5742 1.1808 0.6000  2.5254 1.1808 0.6000  5.7323 1.1214 0.5900 -0.0045 1.1214 0.5900  -0.572   -0.286   -0.404    0.000    0.000   -9.390   -4.686   43.630
  0.040  44.658 1.2598 0.6240  1.0321  0.0703 1.2530 0.6780  3.5764 1.1808 0.6000  2.5316 1.1808 0.6000  5.7318 1.1214 0.5900 -0.0045 1.1214 0.5900  -0.572   -0.286   -0.405    0.000    0.000   -9.389   -4.697   43.626
  0.050  44.655 1.2598 0.6240  1.0338  0.0705 1.2530 0.6780  3.5786 1.1808 0.6000  2.5378 1.1808 0.6000  5.7313 1.1214 0.5900 -0.0045 1.1214 0.5900  -0.572   -0.287   -0.405    0.000    0.000   -9.388   -4.709   43.621
