                    ************************************************************************************************
                    *  Z= 50 A=121: Positive-Parity Spin-dependent Level Density [MeV-1] for Sn121 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.127  7.15E-01 2.86E+00 2.43E+01 2.38E-01 4.18E-01 5.05E-01 4.96E-01 4.20E-01 3.12E-01 2.07E-01 1.23E-01 6.63E-02 3.22E-02 1.42E-02 5.72E-03 2.09E-03 6.96E-04 2.12E-04 5.87E-05 1.49E-05 3.44E-06 7.27E-07 1.40E-07 2.48E-08 4.01E-09 5.94E-10 8.04E-11 9.96E-12 1.13E-12 1.17E-13 1.11E-14 9.68E-16 7.71E-17
   0.50  0.179  1.76E+00 4.17E+00 3.54E+01 3.47E-01 6.09E-01 7.35E-01 7.23E-01 6.11E-01 4.55E-01 3.01E-01 1.80E-01 9.65E-02 4.69E-02 2.07E-02 8.32E-03 3.04E-03 1.01E-03 3.08E-04 8.54E-05 2.16E-05 5.00E-06 1.06E-06 2.05E-07 3.62E-08 5.85E-09 8.65E-10 1.17E-10 1.45E-11 1.64E-12 1.71E-13 1.62E-14 1.41E-15 1.12E-16
   0.75  0.220  3.27E+00 6.07E+00 5.16E+01 5.05E-01 8.86E-01 1.07E+00 1.05E+00 8.90E-01 6.62E-01 4.39E-01 2.61E-01 1.40E-01 6.83E-02 3.02E-02 1.21E-02 4.43E-03 1.48E-03 4.48E-04 1.24E-04 3.15E-05 7.29E-06 1.54E-06 2.98E-07 5.26E-08 8.51E-09 1.26E-09 1.70E-10 2.11E-11 2.39E-12 2.48E-13 2.36E-14 2.05E-15 1.64E-16
   1.00  0.253  5.48E+00 8.83E+00 7.51E+01 7.35E-01 1.29E+00 1.56E+00 1.53E+00 1.30E+00 9.64E-01 6.39E-01 3.81E-01 2.05E-01 9.95E-02 4.40E-02 1.76E-02 6.45E-03 2.15E-03 6.53E-04 1.81E-04 4.59E-05 1.06E-05 2.24E-06 4.34E-07 7.66E-08 1.24E-08 1.83E-09 2.48E-10 3.07E-11 3.48E-12 3.62E-13 3.44E-14 2.99E-15 2.38E-16
   1.25  0.283  8.70E+00 1.29E+01 1.11E+02 1.05E+00 1.84E+00 2.24E+00 2.21E+00 1.89E+00 1.42E+00 9.55E-01 5.77E-01 3.16E-01 1.57E-01 7.07E-02 2.90E-02 1.09E-02 3.73E-03 1.17E-03 3.34E-04 8.74E-05 2.10E-05 4.60E-06 9.25E-07 1.70E-07 2.88E-08 4.46E-09 6.33E-10 8.23E-11 9.83E-12 1.08E-12 1.08E-13 9.97E-15 8.43E-16
   1.50  0.310  1.34E+01 1.87E+01 1.66E+02 1.44E+00 2.56E+00 3.14E+00 3.16E+00 2.76E+00 2.13E+00 1.47E+00 9.22E-01 5.25E-01 2.72E-01 1.29E-01 5.59E-02 2.22E-02 8.10E-03 2.71E-03 8.34E-04 2.36E-04 6.13E-05 1.47E-05 3.23E-06 6.55E-07 1.22E-07 2.10E-08 3.33E-09 4.86E-10 6.53E-11 8.10E-12 9.25E-13 9.73E-14 9.44E-15
   1.75  0.335  2.02E+01 2.73E+01 2.48E+02 2.00E+00 3.56E+00 4.42E+00 4.51E+00 4.01E+00 3.16E+00 2.25E+00 1.45E+00 8.58E-01 4.63E-01 2.29E-01 1.04E-01 4.36E-02 1.68E-02 5.98E-03 1.96E-03 5.95E-04 1.66E-04 4.30E-05 1.03E-05 2.27E-06 4.64E-07 8.76E-08 1.53E-08 2.47E-09 3.70E-10 5.12E-11 6.55E-12 7.77E-13 8.53E-14
   2.00  0.358  3.01E+01 3.97E+01 3.70E+02 2.77E+00 4.97E+00 6.22E+00 6.44E+00 5.81E+00 4.69E+00 3.42E+00 2.27E+00 1.38E+00 7.73E-01 3.98E-01 1.89E-01 8.30E-02 3.37E-02 1.26E-02 4.40E-03 1.42E-03 4.24E-04 1.17E-04 3.02E-05 7.20E-06 1.59E-06 3.28E-07 6.26E-08 1.11E-08 1.82E-09 2.79E-10 3.96E-11 5.23E-12 6.41E-13
   2.25  0.380  4.46E+01 5.78E+01 5.52E+02 3.85E+00 6.94E+00 8.76E+00 9.18E+00 8.41E+00 6.91E+00 5.15E+00 3.51E+00 2.20E+00 1.27E+00 6.78E-01 3.35E-01 1.53E-01 6.52E-02 2.57E-02 9.44E-03 3.22E-03 1.02E-03 3.01E-04 8.28E-05 2.12E-05 5.05E-06 1.12E-06 2.32E-07 4.46E-08 8.01E-09 1.34E-09 2.09E-10 3.04E-11 4.12E-12
   2.50  0.401  6.56E+01 8.42E+01 8.22E+02 5.36E+00 9.71E+00 1.24E+01 1.31E+01 1.22E+01 1.02E+01 7.73E+00 5.40E+00 3.47E+00 2.06E+00 1.14E+00 5.83E-01 2.77E-01 1.23E-01 5.07E-02 1.95E-02 7.00E-03 2.35E-03 7.33E-04 2.14E-04 5.83E-05 1.49E-05 3.53E-06 7.86E-07 1.63E-07 3.18E-08 5.77E-09 9.80E-10 1.56E-10 2.31E-11
   2.75  0.420  9.62E+01 1.23E+02 1.22E+03 7.47E+00 1.36E+01 1.74E+01 1.86E+01 1.76E+01 1.49E+01 1.15E+01 8.23E+00 5.42E+00 3.31E+00 1.88E+00 9.95E-01 4.91E-01 2.26E-01 9.72E-02 3.91E-02 1.47E-02 5.17E-03 1.70E-03 5.25E-04 1.52E-04 4.11E-05 1.04E-05 2.48E-06 5.52E-07 1.15E-07 2.26E-08 4.15E-09 7.14E-10 1.15E-10
   3.00  0.439  1.41E+02 1.78E+02 1.82E+03 1.04E+01 1.91E+01 2.46E+01 2.66E+01 2.53E+01 2.18E+01 1.72E+01 1.25E+01 8.41E+00 5.27E+00 3.07E+00 1.68E+00 8.54E-01 4.07E-01 1.82E-01 7.61E-02 2.99E-02 1.10E-02 3.80E-03 1.23E-03 3.76E-04 1.08E-04 2.89E-05 7.31E-06 1.74E-06 3.87E-07 8.13E-08 1.60E-08 2.97E-09 5.19E-10
   3.25  0.457  2.06E+02 2.60E+02 2.70E+03 1.46E+01 2.68E+01 3.48E+01 3.79E+01 3.65E+01 3.18E+01 2.55E+01 1.88E+01 1.30E+01 8.30E+00 4.97E+00 2.78E+00 1.46E+00 7.20E-01 3.33E-01 1.45E-01 5.90E-02 2.27E-02 8.19E-03 2.78E-03 8.91E-04 2.68E-04 7.62E-05 2.04E-05 5.13E-06 1.22E-06 2.72E-07 5.73E-08 1.14E-08 2.13E-09
   3.50  0.474  3.00E+02 3.78E+02 4.01E+03 2.05E+01 3.77E+01 4.92E+01 5.40E+01 5.25E+01 4.64E+01 3.77E+01 2.83E+01 1.98E+01 1.30E+01 7.95E+00 4.57E+00 2.47E+00 1.25E+00 5.98E-01 2.69E-01 1.14E-01 4.54E-02 1.71E-02 6.07E-03 2.03E-03 6.42E-04 1.91E-04 5.39E-05 1.43E-05 3.60E-06 8.52E-07 1.91E-07 4.04E-08 8.06E-09
   3.75  0.491  4.38E+02 5.51E+02 5.96E+03 2.88E+01 5.31E+01 6.97E+01 7.70E+01 7.56E+01 6.75E+01 5.55E+01 4.24E+01 3.02E+01 2.02E+01 1.26E+01 7.43E+00 4.11E+00 2.15E+00 1.06E+00 4.90E-01 2.14E-01 8.87E-02 3.47E-02 1.28E-02 4.47E-03 1.48E-03 4.62E-04 1.36E-04 3.81E-05 1.01E-05 2.52E-06 5.97E-07 1.34E-07 2.84E-08
   4.00  0.507  6.38E+02 8.02E+02 8.83E+03 4.05E+01 7.49E+01 9.87E+01 1.10E+02 1.09E+02 9.81E+01 8.17E+01 6.33E+01 4.59E+01 3.12E+01 1.99E+01 1.20E+01 6.78E+00 3.63E+00 1.84E+00 8.77E-01 3.97E-01 1.70E-01 6.87E-02 2.63E-02 9.56E-03 3.29E-03 1.07E-03 3.31E-04 9.70E-05 2.69E-05 7.09E-06 1.77E-06 4.19E-07 9.40E-08
