                    ************************************************************************************************
                    *  Z= 50 A=120: Positive-Parity Spin-dependent Level Density [MeV-1] for Sn120 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.129  1.34E-01 5.38E-01 4.11E+00 2.85E-02 7.68E-02 1.03E-01 1.05E-01 8.76E-02 6.25E-02 3.88E-02 2.11E-02 1.01E-02 4.30E-03 1.62E-03 5.45E-04 1.63E-04 4.36E-05 1.04E-05 2.22E-06 4.24E-07 7.23E-08 1.11E-08 1.51E-09 1.86E-10 2.04E-11 2.01E-12 1.77E-13 1.40E-14 9.93E-16 6.32E-17 3.60E-18 1.84E-19 8.46E-21
   0.50  0.183  3.28E-01 7.75E-01 5.92E+00 4.11E-02 1.11E-01 1.49E-01 1.51E-01 1.26E-01 9.01E-02 5.59E-02 3.04E-02 1.46E-02 6.20E-03 2.34E-03 7.86E-04 2.35E-04 6.29E-05 1.50E-05 3.20E-06 6.11E-07 1.04E-07 1.59E-08 2.18E-09 2.67E-10 2.94E-11 2.89E-12 2.55E-13 2.02E-14 1.43E-15 9.10E-17 5.19E-18 2.66E-19 1.22E-20
   0.75  0.224  6.07E-01 1.12E+00 8.53E+00 5.91E-02 1.59E-01 2.14E-01 2.17E-01 1.82E-01 1.30E-01 8.05E-02 4.38E-02 2.10E-02 8.93E-03 3.37E-03 1.13E-03 3.39E-04 9.06E-05 2.16E-05 4.61E-06 8.80E-07 1.50E-07 2.30E-08 3.14E-09 3.85E-10 4.23E-11 4.16E-12 3.67E-13 2.91E-14 2.06E-15 1.31E-16 7.48E-18 3.83E-19 1.76E-20
   1.00  0.259  1.01E+00 1.61E+00 1.23E+01 8.52E-02 2.30E-01 3.09E-01 3.13E-01 2.62E-01 1.87E-01 1.16E-01 6.31E-02 3.03E-02 1.29E-02 4.86E-03 1.63E-03 4.88E-04 1.30E-04 3.11E-05 6.64E-06 1.27E-06 2.16E-07 3.31E-08 4.53E-09 5.55E-10 6.09E-11 6.00E-12 5.29E-13 4.19E-14 2.97E-15 1.89E-16 1.08E-17 5.51E-19 2.53E-20
   1.25  0.289  1.59E+00 2.32E+00 1.77E+01 1.23E-01 3.31E-01 4.45E-01 4.51E-01 3.77E-01 2.69E-01 1.67E-01 9.09E-02 4.36E-02 1.85E-02 7.00E-03 2.35E-03 7.04E-04 1.88E-04 4.49E-05 9.57E-06 1.83E-06 3.12E-07 4.76E-08 6.52E-09 7.99E-10 8.78E-11 8.64E-12 7.63E-13 6.03E-14 4.28E-15 2.72E-16 1.55E-17 7.94E-19 3.64E-20
   1.50  0.317  2.42E+00 3.34E+00 2.55E+01 1.77E-01 4.77E-01 6.41E-01 6.50E-01 5.44E-01 3.88E-01 2.41E-01 1.31E-01 6.28E-02 2.67E-02 1.01E-02 3.39E-03 1.01E-03 2.71E-04 6.46E-05 1.38E-05 2.63E-06 4.49E-07 6.86E-08 9.39E-09 1.15E-09 1.26E-10 1.25E-11 1.10E-12 8.69E-14 6.16E-15 3.92E-16 2.24E-17 1.14E-18 5.25E-20
   1.75  0.342  3.62E+00 4.81E+00 3.68E+01 2.55E-01 6.87E-01 9.23E-01 9.36E-01 7.83E-01 5.59E-01 3.47E-01 1.89E-01 9.05E-02 3.85E-02 1.45E-02 4.88E-03 1.46E-03 3.90E-04 9.31E-05 1.99E-05 3.79E-06 6.47E-07 9.89E-08 1.35E-08 1.66E-09 1.82E-10 1.79E-11 1.58E-12 1.25E-13 8.88E-15 5.65E-16 3.22E-17 1.65E-18 7.56E-20
   2.00  0.366  5.36E+00 6.93E+00 5.30E+01 3.67E-01 9.89E-01 1.33E+00 1.35E+00 1.13E+00 8.06E-01 5.00E-01 2.72E-01 1.30E-01 5.54E-02 2.09E-02 7.03E-03 2.10E-03 5.62E-04 1.34E-04 2.86E-05 5.46E-06 9.32E-07 1.42E-07 1.95E-08 2.39E-09 2.63E-10 2.58E-11 2.28E-12 1.80E-13 1.28E-14 8.14E-16 4.64E-17 2.37E-18 1.09E-19
