                    ************************************************************************************************
                    *  Z= 50 A=119: Positive-Parity Spin-dependent Level Density [MeV-1] for Sn119 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.126  8.16E-01 3.26E+00 2.61E+01 3.05E-01 5.26E-01 6.17E-01 5.84E-01 4.70E-01 3.29E-01 2.03E-01 1.11E-01 5.44E-02 2.38E-02 9.36E-03 3.31E-03 1.05E-03 3.02E-04 7.80E-05 1.82E-05 3.84E-06 7.32E-07 1.26E-07 1.96E-08 2.76E-09 3.52E-10 4.05E-11 4.22E-12 3.99E-13 3.40E-14 2.63E-15 1.84E-16 1.17E-17 6.71E-19
   0.50  0.178  2.01E+00 4.76E+00 3.81E+01 4.44E-01 7.66E-01 9.00E-01 8.51E-01 6.85E-01 4.79E-01 2.96E-01 1.62E-01 7.92E-02 3.47E-02 1.36E-02 4.82E-03 1.53E-03 4.40E-04 1.14E-04 2.65E-05 5.60E-06 1.07E-06 1.84E-07 2.86E-08 4.02E-09 5.12E-10 5.90E-11 6.16E-12 5.81E-13 4.96E-14 3.84E-15 2.69E-16 1.70E-17 9.78E-19
   0.75  0.218  3.74E+00 6.93E+00 5.55E+01 6.47E-01 1.12E+00 1.31E+00 1.24E+00 9.98E-01 6.98E-01 4.31E-01 2.36E-01 1.15E-01 5.06E-02 1.99E-02 7.02E-03 2.23E-03 6.41E-04 1.66E-04 3.87E-05 8.16E-06 1.55E-06 2.68E-07 4.17E-08 5.86E-09 7.47E-10 8.60E-11 8.97E-12 8.47E-13 7.23E-14 5.59E-15 3.91E-16 2.48E-17 1.42E-18
   1.00  0.251  6.26E+00 1.01E+01 8.09E+01 9.43E-01 1.63E+00 1.91E+00 1.81E+00 1.45E+00 1.02E+00 6.28E-01 3.44E-01 1.68E-01 7.37E-02 2.90E-02 1.02E-02 3.26E-03 9.34E-04 2.42E-04 5.64E-05 1.19E-05 2.26E-06 3.90E-07 6.07E-08 8.55E-09 1.09E-09 1.25E-10 1.31E-11 1.23E-12 1.05E-13 8.15E-15 5.71E-16 3.62E-17 2.08E-18
   1.25  0.281  9.95E+00 1.47E+01 1.18E+02 1.36E+00 2.36E+00 2.77E+00 2.63E+00 2.12E+00 1.49E+00 9.26E-01 5.11E-01 2.52E-01 1.11E-01 4.41E-02 1.57E-02 5.06E-03 1.47E-03 3.84E-04 9.09E-05 1.94E-05 3.76E-06 6.57E-07 1.04E-07 1.49E-08 1.93E-09 2.27E-10 2.41E-11 2.33E-12 2.03E-13 1.61E-14 1.15E-15 7.48E-17 4.40E-18
   1.50  0.308  1.53E+01 2.15E+01 1.79E+02 1.86E+00 3.24E+00 3.88E+00 3.77E+00 3.13E+00 2.29E+00 1.48E+00 8.59E-01 4.48E-01 2.11E-01 8.96E-02 3.45E-02 1.21E-02 3.83E-03 1.11E-03 2.90E-04 6.93E-05 1.51E-05 2.98E-06 5.38E-07 8.84E-08 1.32E-08 1.81E-09 2.25E-10 2.55E-11 2.64E-12 2.50E-13 2.15E-14 1.69E-15 1.21E-16
   1.75  0.332  2.31E+01 3.13E+01 2.69E+02 2.54E+00 4.47E+00 5.43E+00 5.38E+00 4.60E+00 3.46E+00 2.33E+00 1.41E+00 7.73E-01 3.84E-01 1.74E-01 7.16E-02 2.69E-02 9.25E-03 2.91E-03 8.34E-04 2.19E-04 5.28E-05 1.16E-05 2.35E-06 4.35E-07 7.39E-08 1.15E-08 1.64E-09 2.15E-10 2.58E-11 2.85E-12 2.88E-13 2.67E-14 2.27E-15
   2.00  0.355  3.45E+01 4.56E+01 4.05E+02 3.48E+00 6.18E+00 7.60E+00 7.68E+00 6.71E+00 5.20E+00 3.62E+00 2.28E+00 1.30E+00 6.80E-01 3.24E-01 1.42E-01 5.69E-02 2.09E-02 7.08E-03 2.20E-03 6.30E-04 1.66E-04 4.02E-05 8.97E-06 1.84E-06 3.50E-07 6.11E-08 9.83E-09 1.46E-09 2.00E-10 2.52E-11 2.93E-12 3.15E-13 3.12E-14
   2.25  0.377  5.11E+01 6.64E+01 6.08E+02 4.80E+00 8.58E+00 1.07E+01 1.09E+01 9.76E+00 7.75E+00 5.55E+00 3.62E+00 2.15E+00 1.17E+00 5.87E-01 2.70E-01 1.15E-01 4.49E-02 1.62E-02 5.41E-03 1.67E-03 4.75E-04 1.25E-04 3.05E-05 6.89E-06 1.44E-06 2.79E-07 4.99E-08 8.28E-09 1.27E-09 1.81E-10 2.39E-11 2.92E-12 3.31E-13
   2.50  0.397  7.53E+01 9.68E+01 9.11E+02 6.63E+00 1.19E+01 1.50E+01 1.56E+01 1.42E+01 1.15E+01 8.46E+00 5.68E+00 3.49E+00 1.98E+00 1.03E+00 4.99E-01 2.23E-01 9.20E-02 3.52E-02 1.25E-02 4.12E-03 1.26E-03 3.59E-04 9.46E-05 2.32E-05 5.29E-06 1.12E-06 2.21E-07 4.04E-08 6.89E-09 1.09E-09 1.61E-10 2.21E-11 2.82E-12
   2.75  0.417  1.11E+02 1.41E+02 1.36E+03 9.19E+00 1.66E+01 2.11E+01 2.22E+01 2.05E+01 1.70E+01 1.28E+01 8.82E+00 5.60E+00 3.28E+00 1.78E+00 8.96E-01 4.18E-01 1.82E-01 7.33E-02 2.76E-02 9.64E-03 3.14E-03 9.55E-04 2.71E-04 7.15E-05 1.76E-05 4.05E-06 8.69E-07 1.74E-07 3.25E-08 5.68E-09 9.25E-10 1.41E-10 2.00E-11
   3.00  0.435  1.62E+02 2.06E+02 2.04E+03 1.28E+01 2.32E+01 2.96E+01 3.16E+01 2.96E+01 2.50E+01 1.92E+01 1.36E+01 8.86E+00 5.36E+00 3.01E+00 1.57E+00 7.65E-01 3.47E-01 1.47E-01 5.81E-02 2.15E-02 7.41E-03 2.39E-03 7.23E-04 2.04E-04 5.40E-05 1.34E-05 3.10E-06 6.72E-07 1.37E-07 2.60E-08 4.64E-09 7.74E-10 1.21E-10
   3.25  0.453  2.37E+02 3.00E+02 3.04E+03 1.78E+01 3.24E+01 4.17E+01 4.49E+01 4.27E+01 3.66E+01 2.87E+01 2.08E+01 1.39E+01 8.64E+00 5.01E+00 2.71E+00 1.37E+00 6.46E-01 2.85E-01 1.18E-01 4.59E-02 1.67E-02 5.69E-03 1.82E-03 5.47E-04 1.54E-04 4.08E-05 1.01E-05 2.37E-06 5.19E-07 1.07E-07 2.07E-08 3.76E-09 6.42E-10
   3.50  0.470  3.46E+02 4.37E+02 4.53E+03 2.48E+01 4.54E+01 5.88E+01 6.39E+01 6.15E+01 5.35E+01 4.27E+01 3.15E+01 2.16E+01 1.38E+01 8.22E+00 4.58E+00 2.39E+00 1.17E+00 5.39E-01 2.33E-01 9.45E-02 3.60E-02 1.29E-02 4.36E-03 1.38E-03 4.14E-04 1.16E-04 3.08E-05 7.69E-06 1.81E-06 4.00E-07 8.33E-08 1.64E-08 3.03E-09
   3.75  0.486  5.05E+02 6.37E+02 6.75E+03 3.46E+01 6.36E+01 8.30E+01 9.10E+01 8.85E+01 7.81E+01 6.34E+01 4.76E+01 3.33E+01 2.18E+01 1.33E+01 7.65E+00 4.12E+00 2.09E+00 9.95E-01 4.46E-01 1.89E-01 7.52E-02 2.82E-02 9.99E-03 3.34E-03 1.05E-03 3.13E-04 8.79E-05 2.33E-05 5.83E-06 1.38E-06 3.07E-07 6.48E-08 1.29E-08
   4.00  0.502  7.37E+02 9.28E+02 1.00E+04 4.84E+01 8.94E+01 1.17E+02 1.30E+02 1.27E+02 1.14E+02 9.37E+01 7.16E+01 5.11E+01 3.41E+01 2.14E+01 1.26E+01 6.98E+00 3.65E+00 1.80E+00 8.35E-01 3.67E-01 1.52E-01 5.95E-02 2.20E-02 7.71E-03 2.55E-03 7.99E-04 2.37E-04 6.64E-05 1.76E-05 4.42E-06 1.05E-06 2.36E-07 5.02E-08
