                    ************************************************************************************************
                    *  Z= 48 A=116: Positive-Parity Spin-dependent Level Density [MeV-1] for Cd116 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.120  2.10E-01 8.39E-01 5.41E+00 6.22E-02 1.60E-01 1.98E-01 1.76E-01 1.23E-01 7.08E-02 3.38E-02 1.35E-02 4.58E-03 1.31E-03 3.20E-04 6.64E-05 1.18E-05 1.78E-06 2.30E-07 2.55E-08 2.41E-09 1.96E-10 1.36E-11 8.12E-13 4.15E-14 1.82E-15 6.84E-17 2.21E-18 6.11E-20 1.45E-21 2.96E-23 5.18E-25 7.79E-27 1.01E-28
   0.50  0.169  5.22E-01 1.25E+00 8.05E+00 9.26E-02 2.39E-01 2.94E-01 2.62E-01 1.84E-01 1.06E-01 5.03E-02 2.02E-02 6.82E-03 1.95E-03 4.76E-04 9.88E-05 1.75E-05 2.65E-06 3.43E-07 3.79E-08 3.59E-09 2.92E-10 2.03E-11 1.21E-12 6.18E-14 2.71E-15 1.02E-16 3.29E-18 9.10E-20 2.16E-21 4.41E-23 7.72E-25 1.16E-26 1.50E-28
   0.75  0.207  9.87E-01 1.86E+00 1.20E+01 1.38E-01 3.56E-01 4.38E-01 3.90E-01 2.74E-01 1.57E-01 7.50E-02 3.00E-02 1.02E-02 2.91E-03 7.09E-04 1.47E-04 2.61E-05 3.95E-06 5.10E-07 5.65E-08 5.35E-09 4.34E-10 3.02E-11 1.80E-12 9.20E-14 4.03E-15 1.52E-16 4.89E-18 1.35E-19 3.22E-21 6.56E-23 1.15E-24 1.73E-26 2.23E-28
   1.00  0.239  1.68E+00 2.77E+00 1.79E+01 2.06E-01 5.30E-01 6.53E-01 5.81E-01 4.08E-01 2.34E-01 1.12E-01 4.47E-02 1.51E-02 4.33E-03 1.06E-03 2.19E-04 3.88E-05 5.88E-06 7.60E-07 8.41E-08 7.97E-09 6.47E-10 4.50E-11 2.68E-12 1.37E-13 6.01E-15 2.26E-16 7.29E-18 2.02E-19 4.79E-21 9.78E-23 1.71E-24 2.57E-26 3.32E-28
   1.25  0.268  2.71E+00 4.13E+00 2.66E+01 3.06E-01 7.89E-01 9.72E-01 8.65E-01 6.07E-01 3.49E-01 1.66E-01 6.66E-02 2.25E-02 6.45E-03 1.57E-03 3.27E-04 5.78E-05 8.75E-06 1.13E-06 1.25E-07 1.19E-08 9.63E-10 6.70E-11 3.99E-12 2.04E-13 8.95E-15 3.36E-16 1.09E-17 3.01E-19 7.14E-21 1.46E-22 2.55E-24 3.83E-26 4.95E-28
   1.50  0.293  4.25E+00 6.15E+00 3.96E+01 4.56E-01 1.18E+00 1.45E+00 1.29E+00 9.05E-01 5.19E-01 2.48E-01 9.92E-02 3.35E-02 9.61E-03 2.34E-03 4.86E-04 8.61E-05 1.30E-05 1.69E-06 1.87E-07 1.77E-08 1.43E-09 9.98E-11 5.95E-12 3.04E-13 1.33E-14 5.01E-16 1.62E-17 4.48E-19 1.06E-20 2.17E-22 3.80E-24 5.71E-26 7.37E-28
   1.75  0.317  6.54E+00 9.15E+00 5.90E+01 6.79E-01 1.75E+00 2.16E+00 1.92E+00 1.35E+00 7.73E-01 3.69E-01 1.48E-01 4.99E-02 1.43E-02 3.49E-03 7.24E-04 1.28E-04 1.94E-05 2.51E-06 2.78E-07 2.63E-08 2.14E-09 1.49E-10 8.86E-12 4.53E-13 1.98E-14 7.46E-16 2.41E-17 6.67E-19 1.58E-20 3.23E-22 5.66E-24 8.50E-26 1.10E-27
   2.00  0.338  9.94E+00 1.36E+01 8.79E+01 1.01E+00 2.61E+00 3.21E+00 2.86E+00 2.01E+00 1.15E+00 5.49E-01 2.20E-01 7.44E-02 2.13E-02 5.20E-03 1.08E-03 1.91E-04 2.89E-05 3.74E-06 4.14E-07 3.92E-08 3.18E-09 2.21E-10 1.32E-11 6.74E-13 2.96E-14 1.11E-15 3.59E-17 9.93E-19 2.36E-20 4.81E-22 8.42E-24 1.27E-25 1.63E-27
