                    ************************************************************************************************
                    *  Z= 49 A=120: Positive-Parity Spin-dependent Level Density [MeV-1] for In120 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.121  5.07E+00 2.03E+01 1.54E+02 1.09E+00 2.94E+00 3.93E+00 3.97E+00 3.30E+00 2.34E+00 1.44E+00 7.72E-01 3.66E-01 1.53E-01 5.69E-02 1.88E-02 5.51E-03 1.44E-03 3.36E-04 7.00E-05 1.30E-05 2.16E-06 3.21E-07 4.26E-08 5.05E-09 5.36E-10 5.09E-11 4.33E-12 3.29E-13 2.24E-14 1.37E-15 7.46E-17 3.65E-18 1.60E-19
   0.50  0.171  1.27E+01 3.05E+01 2.42E+02 1.50E+00 4.08E+00 5.57E+00 5.79E+00 4.99E+00 3.71E+00 2.41E+00 1.38E+00 7.06E-01 3.22E-01 1.31E-01 4.80E-02 1.58E-02 4.67E-03 1.24E-03 2.98E-04 6.43E-05 1.25E-05 2.20E-06 3.49E-07 5.00E-08 6.46E-09 7.55E-10 7.96E-11 7.59E-12 6.53E-13 5.08E-14 3.58E-15 2.27E-16 1.31E-17
   0.75  0.209  2.42E+01 4.60E+01 3.80E+02 2.09E+00 5.71E+00 7.92E+00 8.42E+00 7.50E+00 5.79E+00 3.95E+00 2.40E+00 1.30E+00 6.37E-01 2.81E-01 1.12E-01 4.06E-02 1.33E-02 3.95E-03 1.07E-03 2.61E-04 5.82E-05 1.18E-05 2.17E-06 3.64E-07 5.56E-08 7.73E-09 9.78E-10 1.13E-10 1.18E-11 1.13E-12 9.84E-14 7.80E-15 5.64E-16
   1.00  0.241  4.15E+01 6.92E+01 5.95E+02 2.91E+00 8.02E+00 1.13E+01 1.22E+01 1.12E+01 8.95E+00 6.35E+00 4.04E+00 2.32E+00 1.21E+00 5.69E-01 2.45E-01 9.58E-02 3.43E-02 1.12E-02 3.34E-03 9.12E-04 2.28E-04 5.21E-05 1.09E-05 2.10E-06 3.68E-07 5.94E-08 8.77E-09 1.19E-09 1.48E-10 1.68E-11 1.75E-12 1.68E-13 1.48E-14
   1.25  0.270  6.76E+01 1.04E+02 9.28E+02 4.09E+00 1.13E+01 1.61E+01 1.78E+01 1.67E+01 1.37E+01 1.01E+01 6.67E+00 4.01E+00 2.20E+00 1.10E+00 5.04E-01 2.12E-01 8.17E-02 2.89E-02 9.42E-03 2.82E-03 7.79E-04 1.98E-04 4.63E-05 9.98E-06 1.98E-06 3.63E-07 6.13E-08 9.55E-09 1.37E-09 1.82E-10 2.22E-11 2.50E-12 2.61E-13
   1.50  0.295  1.07E+02 1.57E+02 1.44E+03 5.76E+00 1.61E+01 2.31E+01 2.59E+01 2.47E+01 2.08E+01 1.58E+01 1.08E+01 6.79E+00 3.89E+00 2.05E+00 9.93E-01 4.44E-01 1.83E-01 6.95E-02 2.44E-02 7.94E-03 2.39E-03 6.64E-04 1.71E-04 4.08E-05 9.03E-06 1.85E-06 3.51E-07 6.17E-08 1.01E-08 1.52E-09 2.13E-10 2.77E-11 3.34E-12
   1.75  0.319  1.66E+02 2.36E+02 2.24E+03 8.16E+00 2.28E+01 3.31E+01 3.76E+01 3.66E+01 3.16E+01 2.46E+01 1.74E+01 1.13E+01 6.74E+00 3.71E+00 1.89E+00 8.89E-01 3.88E-01 1.57E-01 5.91E-02 2.06E-02 6.69E-03 2.02E-03 5.66E-04 1.48E-04 3.58E-05 8.09E-06 1.70E-06 3.33E-07 6.07E-08 1.03E-08 1.63E-09 2.40E-10 3.29E-11
   2.00  0.341  2.55E+02 3.56E+02 3.48E+03 1.16E+01 3.26E+01 4.76E+01 5.47E+01 5.41E+01 4.76E+01 3.79E+01 2.76E+01 1.85E+01 1.14E+01 6.55E+00 3.48E+00 1.72E+00 7.91E-01 3.38E-01 1.35E-01 5.02E-02 1.74E-02 5.64E-03 1.70E-03 4.81E-04 1.27E-04 3.13E-05 7.20E-06 1.55E-06 3.12E-07 5.87E-08 1.03E-08 1.70E-09 2.62E-10
