                    ************************************************************************************************
                    *  Z= 50 A=118: Positive-Parity Spin-dependent Level Density [MeV-1] for Sn118 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.129  1.00E-01 4.01E-01 2.88E+00 2.41E-02 6.40E-02 8.35E-02 8.11E-02 6.40E-02 4.25E-02 2.41E-02 1.18E-02 5.05E-03 1.88E-03 6.14E-04 1.76E-04 4.41E-05 9.74E-06 1.89E-06 3.24E-07 4.90E-08 6.52E-09 7.65E-10 7.93E-11 7.25E-12 5.86E-13 4.18E-14 2.63E-15 1.47E-16 7.21E-18 3.14E-19 1.20E-20 4.09E-22 1.23E-23
   0.50  0.182  2.47E-01 5.86E-01 4.21E+00 3.52E-02 9.36E-02 1.22E-01 1.19E-01 9.36E-02 6.21E-02 3.53E-02 1.73E-02 7.39E-03 2.75E-03 8.98E-04 2.57E-04 6.45E-05 1.42E-05 2.77E-06 4.74E-07 7.16E-08 9.53E-09 1.12E-09 1.16E-10 1.06E-11 8.57E-13 6.11E-14 3.85E-15 2.14E-16 1.05E-17 4.59E-19 1.76E-20 5.98E-22 1.80E-23
   0.75  0.223  4.61E-01 8.57E-01 6.15E+00 5.15E-02 1.37E-01 1.79E-01 1.73E-01 1.37E-01 9.08E-02 5.16E-02 2.53E-02 1.08E-02 4.03E-03 1.31E-03 3.75E-04 9.43E-05 2.08E-05 4.05E-06 6.94E-07 1.05E-07 1.39E-08 1.64E-09 1.70E-10 1.55E-11 1.25E-12 8.94E-14 5.63E-15 3.14E-16 1.54E-17 6.71E-19 2.58E-20 8.75E-22 2.63E-23
   1.00  0.257  7.74E-01 1.25E+00 8.99E+00 7.54E-02 2.00E-01 2.61E-01 2.54E-01 2.00E-01 1.33E-01 7.55E-02 3.70E-02 1.58E-02 5.89E-03 1.92E-03 5.49E-04 1.38E-04 3.05E-05 5.92E-06 1.01E-06 1.53E-07 2.04E-08 2.39E-09 2.48E-10 2.27E-11 1.83E-12 1.31E-13 8.24E-15 4.59E-16 2.26E-17 9.81E-19 3.77E-20 1.28E-21 3.84E-23
   1.25  0.288  1.23E+00 1.83E+00 1.32E+01 1.10E-01 2.93E-01 3.82E-01 3.71E-01 2.93E-01 1.94E-01 1.10E-01 5.42E-02 2.31E-02 8.61E-03 2.81E-03 8.03E-04 2.02E-04 4.45E-05 8.66E-06 1.48E-06 2.24E-07 2.98E-08 3.50E-09 3.63E-10 3.32E-11 2.68E-12 1.91E-13 1.20E-14 6.71E-16 3.30E-17 1.43E-18 5.51E-20 1.87E-21 5.62E-23
   1.50  0.315  1.90E+00 2.68E+00 1.92E+01 1.61E-01 4.28E-01 5.59E-01 5.42E-01 4.28E-01 2.84E-01 1.61E-01 7.92E-02 3.38E-02 1.26E-02 4.11E-03 1.17E-03 2.95E-04 6.51E-05 1.27E-05 2.17E-06 3.27E-07 4.36E-08 5.12E-09 5.30E-10 4.85E-11 3.92E-12 2.80E-13 1.76E-14 9.81E-16 4.82E-17 2.10E-18 8.06E-20 2.74E-21 8.21E-23
   1.75  0.340  2.88E+00 3.92E+00 2.81E+01 2.36E-01 6.26E-01 8.17E-01 7.93E-01 6.26E-01 4.15E-01 2.36E-01 1.16E-01 4.94E-02 1.84E-02 6.00E-03 1.72E-03 4.31E-04 9.53E-05 1.85E-05 3.17E-06 4.79E-07 6.37E-08 7.48E-09 7.76E-10 7.10E-11 5.73E-12 4.09E-13 2.58E-14 1.43E-15 7.06E-17 3.07E-18 1.18E-19 4.00E-21 1.20E-22
   2.00  0.364  4.32E+00 5.73E+00 4.11E+01 3.45E-01 9.15E-01 1.19E+00 1.16E+00 9.15E-01 6.07E-01 3.45E-01 1.69E-01 7.23E-02 2.69E-02 8.78E-03 2.51E-03 6.31E-04 1.39E-04 2.71E-05 4.64E-06 7.00E-07 9.32E-08 1.09E-08 1.13E-09 1.04E-10 8.38E-12 5.98E-13 3.77E-14 2.10E-15 1.03E-16 4.49E-18 1.72E-19 5.85E-21 1.76E-22
