                    ************************************************************************************************
                    *  Z= 49 A=119: Positive-Parity Spin-dependent Level Density [MeV-1] for In119 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.117  2.57E-01 1.03E+00 7.36E+00 1.19E-01 1.98E-01 2.18E-01 1.89E-01 1.36E-01 8.31E-02 4.36E-02 1.98E-02 7.85E-03 2.71E-03 8.21E-04 2.18E-04 5.08E-05 1.04E-05 1.88E-06 2.98E-07 4.17E-08 5.14E-09 5.58E-10 5.35E-11 4.52E-12 3.37E-13 2.22E-14 1.29E-15 6.62E-17 3.00E-18 1.20E-19 4.23E-21 1.32E-22 3.64E-24
   0.50  0.165  6.88E-01 1.72E+00 1.23E+01 1.99E-01 3.31E-01 3.65E-01 3.17E-01 2.28E-01 1.39E-01 7.30E-02 3.32E-02 1.31E-02 4.54E-03 1.37E-03 3.65E-04 8.50E-05 1.74E-05 3.14E-06 4.99E-07 6.98E-08 8.60E-09 9.34E-10 8.95E-11 7.57E-12 5.64E-13 3.72E-14 2.16E-15 1.11E-16 5.01E-18 2.01E-19 7.08E-21 2.21E-22 6.09E-24
   0.75  0.202  1.41E+00 2.88E+00 2.06E+01 3.33E-01 5.54E-01 6.11E-01 5.30E-01 3.81E-01 2.33E-01 1.22E-01 5.55E-02 2.20E-02 7.60E-03 2.30E-03 6.10E-04 1.42E-04 2.92E-05 5.26E-06 8.35E-07 1.17E-07 1.44E-08 1.56E-09 1.50E-10 1.27E-11 9.45E-13 6.22E-14 3.61E-15 1.85E-16 8.39E-18 3.36E-19 1.19E-20 3.70E-22 1.02E-23
   1.00  0.233  2.62E+00 4.82E+00 3.45E+01 5.58E-01 9.28E-01 1.02E+00 8.87E-01 6.38E-01 3.89E-01 2.04E-01 9.29E-02 3.68E-02 1.27E-02 3.85E-03 1.02E-03 2.38E-04 4.88E-05 8.80E-06 1.40E-06 1.95E-07 2.41E-08 2.62E-09 2.51E-10 2.12E-11 1.58E-12 1.04E-13 6.05E-15 3.10E-16 1.40E-17 5.62E-19 1.98E-20 6.19E-22 1.71E-23
   1.25  0.261  4.63E+00 8.07E+00 5.92E+01 8.91E-01 1.50E+00 1.67E+00 1.48E+00 1.09E+00 6.90E-01 3.76E-01 1.79E-01 7.43E-02 2.72E-02 8.74E-03 2.48E-03 6.22E-04 1.38E-04 2.71E-05 4.71E-06 7.25E-07 9.90E-08 1.20E-08 1.29E-09 1.23E-10 1.04E-11 7.79E-13 5.19E-14 3.07E-15 1.62E-16 7.55E-18 3.13E-19 1.15E-20 3.78E-22
   1.50  0.286  8.01E+00 1.35E+01 1.04E+02 1.36E+00 2.32E+00 2.67E+00 2.45E+00 1.90E+00 1.28E+00 7.48E-01 3.86E-01 1.77E-01 7.17E-02 2.59E-02 8.37E-03 2.41E-03 6.22E-04 1.43E-04 2.96E-05 5.49E-06 9.10E-07 1.35E-07 1.81E-08 2.16E-09 2.32E-10 2.24E-11 1.94E-12 1.51E-13 1.05E-14 6.61E-16 3.72E-17 1.88E-18 8.57E-20
   1.75  0.308  1.37E+01 2.26E+01 1.82E+02 2.08E+00 3.61E+00 4.25E+00 4.04E+00 3.26E+00 2.30E+00 1.43E+00 7.92E-01 3.92E-01 1.74E-01 6.92E-02 2.48E-02 8.02E-03 2.34E-03 6.17E-04 1.47E-04 3.17E-05 6.17E-06 1.09E-06 1.74E-07 2.51E-08 3.29E-09 3.90E-10 4.19E-11 4.08E-12 3.61E-13 2.89E-14 2.09E-15 1.38E-16 8.21E-18
   2.00  0.330  2.31E+01 3.78E+01 3.18E+02 3.22E+00 5.64E+00 6.77E+00 6.61E+00 5.54E+00 4.07E+00 2.66E+00 1.56E+00 8.25E-01 3.93E-01 1.70E-01 6.67E-02 2.37E-02 7.69E-03 2.27E-03 6.09E-04 1.49E-04 3.32E-05 6.76E-06 1.25E-06 2.13E-07 3.29E-08 4.64E-09 5.98E-10 7.04E-11 7.57E-12 7.43E-13 6.67E-14 5.47E-15 4.10E-16
   2.25  0.350  3.90E+01 6.33E+01 5.53E+02 5.01E+00 8.85E+00 1.08E+01 1.08E+01 9.32E+00 7.11E+00 4.85E+00 2.99E+00 1.67E+00 8.48E-01 3.92E-01 1.66E-01 6.42E-02 2.27E-02 7.37E-03 2.19E-03 5.98E-04 1.50E-04 3.44E-05 7.26E-06 1.41E-06 2.51E-07 4.10E-08 6.17E-09 8.54E-10 1.09E-10 1.27E-11 1.37E-12 1.35E-13 1.23E-14
   2.50  0.369  6.55E+01 1.06E+02 9.59E+02 7.83E+00 1.40E+01 1.73E+01 1.76E+01 1.56E+01 1.23E+01 8.69E+00 5.58E+00 3.27E+00 1.75E+00 8.62E-01 3.89E-01 1.62E-01 6.18E-02 2.17E-02 7.06E-03 2.12E-03 5.85E-04 1.49E-04 3.52E-05 7.67E-06 1.54E-06 2.87E-07 4.93E-08 7.84E-09 1.15E-09 1.57E-10 1.97E-11 2.29E-12 2.46E-13
   2.75  0.387  1.10E+02 1.77E+02 1.66E+03 1.23E+01 2.21E+01 2.77E+01 2.87E+01 2.60E+01 2.10E+01 1.54E+01 1.02E+01 6.26E+00 3.52E+00 1.82E+00 8.70E-01 3.84E-01 1.57E-01 5.94E-02 2.08E-02 6.77E-03 2.04E-03 5.71E-04 1.48E-04 3.57E-05 7.99E-06 1.66E-06 3.21E-07 5.76E-08 9.60E-09 1.49E-09 2.14E-10 2.87E-11 3.57E-12
   3.00  0.404  1.84E+02 2.97E+02 2.87E+03 1.94E+01 3.50E+01 4.43E+01 4.67E+01 4.31E+01 3.57E+01 2.69E+01 1.85E+01 1.17E+01 6.87E+00 3.72E+00 1.87E+00 8.72E-01 3.78E-01 1.52E-01 5.71E-02 1.99E-02 6.49E-03 1.97E-03 5.56E-04 1.46E-04 3.60E-05 8.25E-06 1.76E-06 3.52E-07 6.56E-08 1.14E-08 1.85E-09 2.81E-10 3.97E-11
   3.25  0.420  3.08E+02 4.97E+02 4.94E+03 3.06E+01 5.56E+01 7.12E+01 7.60E+01 7.13E+01 6.03E+01 4.66E+01 3.30E+01 2.16E+01 1.31E+01 7.42E+00 3.89E+00 1.91E+00 8.70E-01 3.71E-01 1.48E-01 5.49E-02 1.91E-02 6.22E-03 1.89E-03 5.40E-04 1.44E-04 3.60E-05 8.44E-06 1.85E-06 3.80E-07 7.33E-08 1.32E-08 2.24E-09 3.54E-10
   3.50  0.436  5.16E+02 8.32E+02 8.50E+03 4.85E+01 8.87E+01 1.14E+02 1.24E+02 1.18E+02 1.02E+02 8.02E+01 5.84E+01 3.94E+01 2.47E+01 1.45E+01 7.89E+00 4.03E+00 1.93E+00 8.63E-01 3.62E-01 1.43E-01 5.27E-02 1.83E-02 5.96E-03 1.82E-03 5.24E-04 1.42E-04 3.59E-05 8.57E-06 1.92E-06 4.06E-07 8.04E-08 1.50E-08 2.63E-09
   3.75  0.451  8.64E+02 1.39E+03 1.46E+04 7.72E+01 1.42E+02 1.84E+02 2.01E+02 1.95E+02 1.71E+02 1.37E+02 1.02E+02 7.08E+01 4.58E+01 2.77E+01 1.56E+01 8.31E+00 4.14E+00 1.94E+00 8.54E-01 3.54E-01 1.38E-01 5.07E-02 1.75E-02 5.71E-03 1.75E-03 5.08E-04 1.39E-04 3.57E-05 8.65E-06 1.98E-06 4.28E-07 8.71E-08 1.67E-08
   4.00  0.466  1.44E+03 2.31E+03 2.48E+04 1.23E+02 2.26E+02 2.96E+02 3.26E+02 3.19E+02 2.83E+02 2.32E+02 1.76E+02 1.24E+02 8.23E+01 5.10E+01 2.97E+01 1.63E+01 8.39E+00 4.07E+00 1.86E+00 8.05E-01 3.28E-01 1.26E-01 4.58E-02 1.57E-02 5.08E-03 1.56E-03 4.50E-04 1.23E-04 3.18E-05 7.78E-06 1.80E-06 3.93E-07 8.13E-08
